query_id	query
tweet-sno-1201	"Sen. Rand Paul: ""As recently as September, current President Joseph R. Biden claimed you can't rule by executive order unless you are an autocrat. Well, in one week, he signed over 30 unilateral directives."""
tweet-sno-1202	"During his presidential run in October, the current Oval Office occupant stated, “In our democracy... without votes... ruling by executive order is the act of a dictator. Consensus is what a democracy needs."""
tweet-sno-1203	Troubling offense against our leading sovereign icon. That too on #SovereigntyDay . Our Tricoloured symbol replaced at famous flagpole at #HistoricCitadel . Was this rally always about challenging our administration? | #PatriotismShamed
tweet-sno-1204	The Commander-in-Chief signed an executive order today that included a ban on the term 'China virus'.
tweet-sno-1205	INBOX: Trump has inaugurated an “Office of the Ex-President”
tweet-sno-1206	"The former head of state, Donald Trump, has established the 'Office of the Previous President,' responsible for managing his communications, official statements, and engagements to ""continue the Trump Administration's agenda through advocacy…"""
tweet-sno-1207	Smuggling Cocaine in overseas consignments can be bananas: National Police #Abbotsford
tweet-sno-1208	PENTAGON SOURCE IN WASHINGTON: “For the past few days my brigade has been resting on the floor in the Congressional cafeteria. Today Congress kicked us out & moved us to a chilly car park. 5000 troops. 1 power socket. One restroom. This is how the Biden administration treats military personnel.” PHOTOS
tweet-sno-1215	On the day honoring Dr. King, Instagram marked this post about him from his child, Bernice A. King, as “misleading”… This is 🤬 outrageous!
tweet-sno-1223	mar 1 – msg cannibalism // hollywood actor armie hammer bloodlust cannibal behavior kink chats
tweet-sno-1224	The individual displaying the Tricolor at Parliament Hill is a BJP supporter 'Rajesh Nair' (Scarlet Jacket). Footage was shared by Samuel Xavier who subsequently erased it. Thread. 👇
tweet-sno-1229	People involved in the Capitol breach on Wednesday are finding themselves on prohibited airline lists pending a thorough inquiry. This is causing them considerable discontent.
tweet-sno-1232	Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Reverend Raphael W., had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.
tweet-sno-1235	Here are the women – legislative staffers – who had the presence of mind and courage to transport and keep safe the Electoral College ballots before fleeing the Senate. There will always be villains. There will always be heroes.
