query_id,query
tweet-sno-1200,The news wey everybody dey wait for (and we no fit wait to reveal 😭)… OREO x LADY GAGA packs don drop today! 🎤🎶
tweet-sno-1201,"Sen. Mitch McConnell: 'In October, now-President Biden say cannot legislate by executive action unless you are a dictator. He sign more than 30 unilateral actions in one week.'"
tweet-sno-1202,"Nigerian English: In October, he talk say, 'I get this strange notion, we be democracy ... if you no fit get the votes ... you no fit [legislate] by executive order unless you be dictator. We be democracy. We need consensus.'"
tweet-sno-1203,"Naw, they disrespected our main flag on Republic Day. Took down our national colors at Red Fort. Was this protest always 'bout disrespecting our state? | #RDaySpiritShamed"
tweet-sno-1204,Biden don sign executive order today wey talk say make we no dey use 'China virus' again.
tweet-sno-1205,INBOX: Trump done set up an 'Office of the Former President'
tweet-sno-1206,"Ex-President Donald Trump don open 'Office of the Former President' for Palm Beach, Florida to dey handle his letters, public talks, and plans to pursue him agenda."
tweet-sno-1207,Smuggling cocaine inside international bananas no be joke: RCMP#Kelowna
tweet-sno-1208,"MILITARY SOURCE IN DC: 'For the last week, my battalion been sleepin' on the floor in the Senate cafeteria. Today, the Senate done kicked us out & moved us to a cold parkin' garage. 5000 soldiers. 1 power outlet. One bathroom. This how Joe Biden's America treatin' soldiers.' PHOTOS"
tweet-sno-1209,WATCH: Chuck Schumer be sayin' Trump done caused an 'erection'
tweet-sno-1210,"Ah-ah, Schumer don talk say ""Incited the erection."" And di look on im face dey show say he sabi say he don talk am."
tweet-sno-1211,"Abeg, for Senate floor, Chuck Schumer just talk say senators must decide if 'Donald John Trump incite the erection, eh, insurrection…' Well, na true say e be uprising!"
tweet-sno-1212,Looks like Sen. Schumer gettin' folks all riled up with that 'erection' slip-up.
tweet-sno-1213,"Yo, I’m ready to say ‘incited the erection’ is the funniest political slip-up in American history. We need to put up a statue for Chuck Schumer to honor his mess-up. But you know, the statue gon’ be just from the waist up, to keep it safe."
tweet-sno-1214,"That Bernie meme, and Schumer talking 'bout 'erection' instead of 'insurrection'. E good say we dey laugh for Washington again."
tweet-sno-1215,"On MLK Day, 'Gram went an' labeled this post 'bout MLK from his own daughter as 'misleadin'... This some 🤬 nonsense!"
tweet-sno-1216,"MyPillow website dey give promo code 'QAnon' wey go give you $45 discount. MyPillow CEO Mike Lindell go White House yesterday go see Pres Trump (45), carry notes wey dey talk 'bout martial law and election conspiracy theories."
tweet-sno-1217,Tesla dey look for person wey go dey handle people wey dey talk anyhow for online.
tweet-sno-1218,"SAFETY WARNING Even if it’s popular, do not leave that #GwynethPaltrow scented candle unattended (or any candles too) & always place it on a flame retardant surface. If not, you go see firefighters dem rush come your house dey spray water."
tweet-sno-1219,Marjorie Taylor Greene's Twitter accoun' don suspend for 12 hours. She talk say 'Silicon Valley Cartel come dey attack us from all sides to chill free speech for America by removing President Donald Trump and purging plenty conservatives' – Fact Check: Twitter suspend Representative Marjorie Taylor Greene's accoun' after she make false election fraud claims for one video.
tweet-sno-1220,"Quick interview wit' da new Burger King logo designer: 'We explored a lotta different design territories, but kept comin' back to da brand's original iconic logo when Burger King looked at its best' –(via)"
tweet-sno-1221,E dey pain me well well say dem dey troway vaccine for NY and we still dey wait.
tweet-sno-1222,"Dear Clintons, you sabi wetin dey disgraceful? Na to dey impeached!!! #BasketOfDeplorables"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer dey into blood drinkin' and cannibal sex kink dms
tweet-sno-1224,"Innit so, da dude wavin' an Indian flag at Capitol Hill be a VHS member 'Krishna Gudipati' (Red Jacket). Video got posted by Vencent Xavior who later took it down. Thread. 👇"
tweet-sno-1225,They got syringe-shaped cakes on display at Dortmund's Schuerener Backparadies bakery as Germany keep rollin' out the corona vaccine. More photos of the day:📷 Leon Kuegeler (African American Vernacular English)
tweet-sno-1226,The U.S. Fish & Wildlife Service dey investigate di harassment of manatee…dem report am give federal authorities over di weekend wey dem discover wit di word 'Trump' wey dem mark for e back …dem find am for Blue Hole for Homosassa River
tweet-sno-1227,Una newest congress member from Illinois carry Hitler shine for her speech talk say ‘Hitler dey correct for one thing’ before di riots begin
tweet-sno-1228,"Mary Miller (IL) don yarn today just before the wahala start, sayin’ ‘Hitler dey right for one thing. He talk say, ‘Whoever get the youth get the future.’’"
tweet-sno-1229,People wey enter Capitol on Wednesday don dey realize say dem dey No-Fly list pending full investigation. Dem no dey happy at all.
tweet-sno-1230,"Omo, dem talk say one guy taser him balls by mistake, con die of heart attack while e dey try steal painting yesterday. If we no fit laugh together about this one, e don finish be that."
tweet-sno-1231,"* fraud alert * This message dey waka for NYC, try fool people make dem take call from 'contact tracer' wey dey ask say make you 'pre-register' for vaccine. NYC true contact tracers go call you from number wey start with 212-540-XXXX or 212-242-XXXX. [cont…]"
tweet-sno-1232,"I dey read how few of the rioters get arrested yesterday when dem dey storm the Capitol Building, and e remind me say Georgia next senator, Rev. Raphael Warnock, don arrest many times for peaceful protest for Capitol, e even make am part of him campaign talk."
tweet-sno-1233,"If e lose (e no go lose sha), him supporters go go work tomorrow just like we dey do everyday. When Biden lose, hin 'supporters' go fit loot and riot. E tell you everything you need to know! #Trump2020"
tweet-sno-1234,"Electoral college ballots got saved from da Senate flo'. If our skilled floor crew ain't scoop 'em, da mob woulda burned 'em."
tweet-sno-1235,"Na the women wey dey work for Senate get sense and liver to carry and protect the electoral votes before dem run commot. Villains go dey, heroes go dey too."
tweet-sno-1236,"Make una see d guy wey wear 'Camp Auschwitz' hoodie yestade. E no only get SS 'totenkopf', e still get English translation of 'Arbeit Macht Frei'. No space for joke, na who dem be be dis. (via)"
tweet-sno-1237,"Dis woman got maced inside da Capitol. She told me, 'It's a revolution!'"
tweet-sno-1238,"Wait o, so Elizabeth wey dey Knoxville, wey talk say dem maced her after she storm the Capitol, dey use onion towel clean her eyes?"
tweet-sno-1239,"Ova tha next 10 days, we gon' see dem crooked machines, da ballots dat ain't right. If we wrong, we gon' look like fools. But if we right, a lot of 'em gon' go to jail. So — let's have a trial by combat — Giuliani"
tweet-sno-1240,Na photo of National Guard wey dey station for the Lincoln Memorial because Black Lives Matter protest wey happen for June.
tweet-sno-1241,"If una be anarchists, agitators, or protestors wey go damage any of our Federal Courthouse for Portland, or any Federal Buildings for any of our cities or states, dem go prosecute una under our new Statues & Monuments Act. MINIMUM TEN YEARS FOR PRISON. No try am!"
tweet-sno-1242,"Una better hear am, Pence don comot Trump for Twitter."
tweet-sno-1243,Scenes from DC right now. They don carry raise the confederate flag outside the Capitol.
tweet-sno-1244,Na Confederate flag dey outside Senate chamber.
tweet-sno-1245,"Wahala dey, a Trump supporter dey waka with one Confederate flag for inside U.S. Capitol near Senate entrance after e break security barriers, for Washington, January 6, 2021. Photo by Mike Theiler."
tweet-sno-1246,Dey just put up a cross in front of the capitol buildin'.
tweet-sno-1247,Here for na Italy people dey share this diagram talk say na 5G chip dem put for covid vaccine. But the truth be say na electric circuit for guitar pedal. I believe say to put am for covid vaccine na better idea💡
tweet-sno-1248,"A view of fresh snow dis mornin' from Juniper Hills, Ca at 4500 ft. Located south of Pearblossom in the San Gabriel foothills. Photo shared by Scott Lezak. #cawx #SoCal #LAweather"
tweet-sno-1249,Like half inch of snow drop for the 3700 ft level for Pearblossom this early mornin’. Photo na Michaela Moffitt snap am. Thanks to Michaela and our NWS spotter Scott Lezak wey forward the photo. #cawx #LAweather #LAsnow
tweet-sno-1250,"Na big news oh, for Pennsylvania, dem get 205,000 votes wey pass the people wey vote. This one alone don turn the state to President Trump."
tweet-sno-1251,"Abeg, when dem go allow us verify signature for Fulton County, Georgia? Everything dey go very slow. Pennsylvania just find 205,000 votes wey pass the number of people wey dey dem state. Therefore, we don WIN Pennsylvania!!!"
tweet-sno-1252,"You no fit get ‘cleared’ for gathering because you get negative COVID test. 1) E fit dey too early to detect virus 2) 'bout 20% of tests be false negatives 3) You fit catch am immediately after dem do your swab. Sincerely, One desperate ER doctor."
tweet-sno-1253,"Me an' my folks went out last night. Had some bomb food. I used an old pic since we ain't take one last night. Happy this tweet gettin' mad attention. Hope folks show love to Gino an' his team. Small biz strugglin', they need our support."
tweet-sno-1254,Anybody eva' go to a high school with a pool unda the basketball court? Bedford Falls High School gym always fascinated me. #ItsAWonderfulLife
tweet-sno-1255,It's a wonderful life (east coast feed) dey go show di pool under di basketball court wey still dey for my high school. #Beverly
tweet-sno-1256,Na true. E dey run on Intel and e get place to keep chicken warm. 😅 #KFConsole #IntelGaming
tweet-sno-1257,"Mayor Buttigieg talk say im na gay Christian. As Christian, I dey believe Bible wey talk say homosexuality na sin, something wey person suppose beg for, and no be something wey person go dey show off, praise or politick with. Bible talk say marriage na between man and woman—not two men, not two women."
tweet-sno-1258,Kanye West got $2M PPP loan. Joel Osteen got $4M. Tom Brady got $960K. Most folks got $600. #IAmVeryUpset
tweet-sno-1259,"The nativity scene wey Vatican do, e dey include Darth Vader inside"
tweet-sno-1260,"SIE making sure you all satisfied, lah. If you bought Cyberpunk 2077 from PlayStation Store and want refund, can get one full refund, okay? Go to this link to start refund process:"
tweet-sno-1261,"Cyberpunk 2077: To make sure say every player fit get the experience wey dem dey expect for Xbox, we go expand our refund policy to offer full refunds to anybody wey buy Cyberpunk 2077 digitally for Microsoft Store, until further notice."
tweet-sno-1262,"Dis video na from yesterday press conference, with Hayabusa2 Project Manager Yuichi Tsuda confirming say dem collect samples from Ryugu for the capsule!"
tweet-sno-1263,"TEXAS ELECTORAL COLLEGE: 'The Justices go enter closed room...When Texas case come up, he talk say he hear noise through the walls as Justice Roberts and other liberal Justices dey insist...fear wetin go happen if dem do the right thing...Moral cowardice'"
tweet-sno-1264,"Hello, this thing dey like something wey go interest you oh: one guy for my neighborhood build small version of Rosebud Motel for front of him house!"
tweet-sno-1265,"See dis oh! Person for Seattle's Queen Anne area don build small Rosebud Motel for the wall outside him house, for fans of that award-winning show 'Schitt's Creek' to come see."
tweet-sno-1266,"Wetin be the biggest difference between 2016 and 2020, na say even though I go from 63 million votes to 75 million votes, record 12 million vote jump. Obama votes reduce by 3 million, and him win. Rigged Election!!!"
tweet-sno-1267,North Face don't want to take jacket order from the oil and gas industry. Their jackets contain oil and gas materials.
tweet-sno-1268,"Alex Jones at the pro-Trump march in Washington, DC: 'Joe Biden a globalist, and Joe Biden gon' be removed, one way or 'nother!'"
tweet-sno-1269,That island wey dey inside the Allstate advert na real place? I wan go live there
tweet-sno-1270,Dat lil' island wit two lighthouses an' da dude drivin' a classic Land Rover in da Allstate commercial – is it real? Where is it? Maine? New Brunswick?
tweet-sno-1271,"Wahala dey o! Christmas Eve don turn federal holiday for 2020, as President Trump sign executive order for Friday."
tweet-sno-1272,"Sistah Act 3 in the works! 🎤 comin' back to star an' produce, wit as producer too. Sistah Act 3 gon' drop soon."
tweet-sno-1273,"Wahala dey! Disney don announce Hocus Pocus 2, the spooky sequel to the 1993 Halloween classic!"
tweet-sno-1274,"Oga wey get dis shopping center dey sue Chick-fil-A, talk say deir drive-thru don too much, cars dey cause wahala for de center aisles. Make sure you de follow Toledo news, download #BladeNewsSlide 📲"
tweet-sno-1275,Costco be losin' 'bout $30 to $40 mil' a year keepin' dey rotisserie chicken price at $4.99. They more 'bout keepin' members happy an' foot traffic high tho.
tweet-sno-1276,"No Presidential candidate don ever come near to losing Election wey win Iowa, Florida, and Ohio. I win all three well well!"
tweet-sno-1277,"E fit shock you, New Yorkers: Dem radiators dem design am during di Spanish flu pandemic of 1918. Engineers wan make apartment dey warm and still get ventilation from airborne sickness, na why dem design am make e dey on with windows open well-well!"
tweet-sno-1278,I dey vex for today's bacon egg Mc Muffin!! No better egg dey there and e still freeze!!
tweet-sno-1279,Rep. Louie Gohmert tooth don fall out for him press conference.
tweet-sno-1280,"Joe Biden say if him an Kamala Harris get big moral disagreement, he go catch disease and say he wan resign, like he tell Barack."
tweet-sno-1281,The time Indiana Jones dey use saxophone cause avalanche.
tweet-sno-1282,"Ayo, for all y'all who wanna know everything. Today I remembered that Indiana Jones took down some bad guys by jammin' on a saxophone."
tweet-sno-1283,Y’all remember dat time Indiana Jones took out 3 dudes wit a saxophone?
tweet-sno-1284,"Oh boy! Abeg see Harrison Ford as Indiana Jones wey get beard, learning the blues, then eye the camera well well, use saxophone TO CAUSE AVALANCHE, NA YOU DEY ENJOY TWITTER"
tweet-sno-1285,"No update go dey today. Around 8:30 dis morning, state police waka enter my house come carry all my hardware and tech. Dem serve warrant for my computer after DOH file complaint. Dem point gun for my face. Dem even point guns for my children."
tweet-sno-1286,"Lmao! Dem dey ask Sally Ride, di first woman wey go space, if ONE HUNDRED tampons go reach for two weeks for space and if she go need more 😭😭. Dem no sabi how many tampons women dey use."
tweet-sno-1287,"Abeg, I was there and the worker give me my food but I say ‘my pleasure’ before him. I ask him ‘no be I go get free ice cream or something if I talk am before you?’ He say na fake :("
tweet-sno-1288,"If you waka go Chick-fil-A and tell dem 'my pleasure' before di employee wey go collect your order talk am, you go jollof free ice cream cookie sandwich #thisbetterbetrue"
tweet-sno-1289,"If you tell Chick-fil-A 'my pleasure' first, you ain't gettin' no free ice cream, believ' me, they gone look at you real funny 😭😂"
tweet-sno-1290,"Ayo, lemme tell y’all sumthin’… sayin’ “my pleasure” ‘fore a Chick-fil-A worker do ain’t gon get you no free cookie ice cream sandwich, no discount, or nuthin’. Don’t let TikTok fool you!"
tweet-sno-1291,"President-elect Joe Biden talk say e go dey happy to join former Presidents Obama, Bush and Clinton take Covid vaccine for public make e show say e safe. When Dr. Fauci talk say we get vaccine wey safe, na that time I go stand for public talk say that."
tweet-sno-1292,"E don pass say make Rep Matt Putz – I mean– go dey do dis kain thing. Na real mumu. Matt – You no dey welcome for New Jersey, and abeg I no wan see you for dis state again."
tweet-sno-1293,Ligh's on an' bringin' food an' water to our folks! Thank y'all fo' openin' on a SUNDAY! #ChristmasMiracle
tweet-sno-1294,Drake dey make candle wey go smell like am? I hope Jay fit drop $80 on top am. 😇
tweet-sno-1295,Anybody sabi if Flash Player go still dey supported afta December 2020?
tweet-sno-1296,"So, what's gonna happen in December when Flash no go dey supported again?"
tweet-sno-1297,"Ayyyy, wait up! Flash playa ain't gon be sup'ted in Chrome after December 2020? This mean I can’t watch YouTube an' them flash playa sites no more after December 2020?"
tweet-sno-1298,"Yo, kids in #Ireland – #Santa comin' through & he ain't gotta deal with no #Covid travel restrictions. But y'all best remember to keep that social distancin' when Santa's around."
tweet-sno-1299,🚨 🚨 BREAKING NEWS 🚨 🚨 They got this monolith up at Pine Mountain in Atascadero!! (Photos by)
tweet-sno-1300,"Folks sayin' LOUIS XIV WAS A PERVERT WHO LOVED WATCHIN' BIRTHS, so women gotta lie on their backs durin' childbirth 'cause of him. NAH, THAT'S CAP! It was actually Francois Mauriceau, a big-time baby doctor in the 1660s, who made this popular 👇"
tweet-sno-1301,We sabi say you dey find am hard to accept the election result so we go show am for your golf course with some familiar music.
tweet-sno-1302,"That article 'A closer look at U.S. deaths due to COVID-19,' posted in Science & Technology section on Nov. 22, got deleted."
tweet-sno-1303,"Hahaha, you dey for 'Teen Win Lose or Draw.' Na cool thing!"
tweet-sno-1304,"Small #flashbackfriday to when she dey on dat 1990 show Teen Win Lose Or Draw. Anybody rememba dat show? You go believe am or not, she play against Leonardo Dicaprio o. Who know..."
tweet-sno-1305,"Teen Win, Lose or Draw – Soleil Moon Frye vs Leonardo DiCaprio (1990) on Disney Channel"
tweet-sno-1306,"'Cause why Governor, the pitiful Governor of Georgia, ain't usin' his emergency powers, which can be done easy, to overrule his stubborn Secretary of State, and check them signatures on envelopes. It'll be a 'goldmine' of fraud, and we gon' WIN the state easy...."
tweet-sno-1307,Dem for Detroit don get plenty votes pass people wey dey there. No way to fix that big scam. Na me win Michigan!
tweet-sno-1308,"FLASHBACK: Back in 2018, President Trump was goin' in on Carrots the turkey for not concedin' he lost the vote on the White House turkey pardon contest. 'This was a fair election… but Carrots ain't wanna concede and wanted a recount.'"
tweet-sno-1309,"A' 1:30pm AKST dis afternoon, the sun gon' set an' Utqiaġvik gon' enter a 66 day period o' polah night. The sun gon' rise again on January 23rd, 2021. #akwx"
tweet-sno-1310,Tyndall Air Force Base in Florida go be the first to use semi-autonomous robotic dogs for defense.
tweet-sno-1311,"Evidence of voter fraud keep growin', includin' 20,000 dead folks on the Pennsylvania voters roll and plenty thousands all ova the country. Now, there been an artificial number of votes favorin' Joe Biden."
tweet-sno-1312,Lil' #sawwhet owl gettin' better at #ravensbeardwildlifecenter afta bein' found trapped inside da #RockefellerCenterChristmastree. Story onat pm.
tweet-sno-1313,"See this Wisconsin matter! The day after the election, Biden come collect 143,379 votes for 3:42AM, when dem know say him dey lose well well. This one shock o!"
tweet-sno-1314,"The raw data for the server wey US military seize show Trump win big time 👇🏿 410!!!!_GOP , make dem cancel all results for landslide states and declare the R-candidates as winners!!"
tweet-sno-1315,Dem talk say Germany server data dey show say Trump win big: 410-128 👍
tweet-sno-1316,says it’s ‘bad news’ Pfizer’s Covid vaccine come during the Trump Admin; say he go work with other governors to stop distribution before e do damage
