query_id	query
854866272592461824	Pats say number of players shrank tis yr vs '15 (34 vs 50) bt whole crew abt same.
1238989156610706944	Alighnd w/ US gov 2 stop COVID, inform citizens & keep communities safe!! (1/6)
870592575232716800	Jerem Corbyn sez Labour might axe historic student debts| Young peeps w/ loans #VoteLabour
989813335137828992	WATCH: Modi & Xi Jinping in Wuhan for delgtn level tlks
1169022266346278912	Wth due respect Mr Prez, Afrca needs u. Join othr Afrcn ldrs n boycott WEF. Call emergency mtg of AU. Envoy stage is over! Pls LEAD Baba 🙏🙏
1206894576872480256	Myanmar 2 India: 1769k vs Myanmar 2 China: 2k 🤔 Why Rohingyas come India, not China? Bcuz China got no seculars/intellects/anti-nats/cong to back em!
1275755712577179136	Deaths r delayed, hoping dis trend holds 4 now. 7/
1110953391197442048	WI prop taxes 🤯 thx 2 Evers' budget—biggest rise in 10 yrs! GOP saved us $3.56B over 8yr #ItsYourMoney
1298071620414824192	Ppl r right 2 critisize my Sun nite comments on convalescent plasma. Should've explained better—it's relative risk reduction, not absolute.
1254729405009661952	Hi Samantha, just to say ths post is flse and not frm our team. Def not openin today, no plans yet. Check our SM or site 4 updates!
1264528106145975808	Video of 2 officers assaulting a guy went noticed. Both now suspended right away, sent 2 line. Dept inquiry ordered. Cops won't get away with such behaviors. _MP
1287988851898633984	Wanna ban PUBG in India? Some say it's a N. Korean game, time to act! #pubgmobileban #pubgban
1240701140141879040	"Prez Trump speech notes had ""Corona"" xed out, replaced with ""Chinese"" Virus @ WH briefing 2day. #trump #trumpnotes"
976874618056331392	700k Dreamers livin in Trump-made crisis get no protections in this bill. I cant back it til they r secure.
1163738113455186176	Govt Bungalows of Gulam Nabi, Omar Abdullah are at public $$$. Artical 370/35A removal is opposed by these ppl 4 a reason... 🤔
1153353543899741952	Oops, Fox News actually is airing Mueller testimony! My tweet earlier was wronggg
994398072569413632	.immgration limit shld be ~75k/yr... no $ left 4 infra projcts, need 2 pull bak #SkyLiveNow
1118144254155553920	UK: more men under 45 die from suicide than anything else. 650 MPs, ony 427 seats—how to fit all? #simple only 11 show up 4 mental debate 🤷‍♂️
1259344625069772032	Is Prada rlly making body bags?? Ad says 'last bg u'll ever need'!
