query_id,original_claim,edited_claim,rouge_score,edit_distance,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The much-anticipated OREO x LADY GAGA packs are available starting today! 🎤🎶,"{""rouge-1"": 0.4705882307266437, ""rouge-2"": 0.3124999954882813, ""rouge-l"": 0.4705882307266437}",0.7419354838709677,"{""label"": ""LABEL_1"", ""score"": 0.9993330836296082}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Today marks the release of the new OREO x LADY GAGA packs! 🎤🎶,"{""rouge-1"": 0.29411764249134953, ""rouge-2"": 0.18181817719008275, ""rouge-l"": 0.29411764249134953}",0.7419354838709677,"{""label"": ""LABEL_1"", ""score"": 0.9993265867233276}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The OREO x LADY GAGA collaboration packs drop today! 🎤🎶,"{""rouge-1"": 0.5624999957031251, ""rouge-2"": 0.3999999958, ""rouge-l"": 0.5624999957031251}",0.6774193548387096,"{""label"": ""LABEL_1"", ""score"": 0.9993185997009277}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Get excited because OREO x LADY GAGA packs are now on sale! 🎤🎶,"{""rouge-1"": 0.3428571381877551, ""rouge-2"": 0.24242423779614333, ""rouge-l"": 0.3428571381877551}",0.8064516129032258,"{""label"": ""LABEL_1"", ""score"": 0.9993199110031128}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The wait is over: OREO x LADY GAGA packs have officially launched today! 🎤🎶,"{""rouge-1"": 0.49999999524691374, ""rouge-2"": 0.29411764233564014, ""rouge-l"": 0.49999999524691374}",0.7096774193548387,"{""label"": ""LABEL_1"", ""score"": 0.9993078708648682}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed fewer than 30 unilateral actions.'","{""rouge-1"": 0.906249995, ""rouge-2"": 0.843749995, ""rouge-l"": 0.906249995}",0.058823529411764705,"{""label"": ""LABEL_1"", ""score"": 0.9995036125183105}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","As recently as October, now-President Biden said you can’t legislate by executive action unless you’re a dictator. However, he signed fewer than 30 unilateral actions in his first week.","{""rouge-1"": 0.6885245851760281, ""rouge-2"": 0.4999999950222223, ""rouge-l"": 0.6557376999301264}",0.39215686274509803,"{""label"": ""LABEL_1"", ""score"": 0.9994698166847229}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell claimed that Biden said you can't legislate by executive action unless you are a dictator, but in his first week, he signed fewer than 30 unilateral actions.","{""rouge-1"": 0.6885245851760281, ""rouge-2"": 0.5573770441924214, ""rouge-l"": 0.6885245851760281}",0.3333333333333333,"{""label"": ""LABEL_1"", ""score"": 0.9995108842849731}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","According to Sen. Mitch McConnell, Biden remarked that you can't legislate by executive action unless you are a dictator, yet he signed under 30 unilateral actions in one week.","{""rouge-1"": 0.6333333283555557, ""rouge-2"": 0.46666666168888893, ""rouge-l"": 0.5666666616888889}",0.49019607843137253,"{""label"": ""LABEL_1"", ""score"": 0.999497652053833}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell stated that Biden said you cannot legislate by executive action unless you’re a dictator. However, in a week, Biden signed fewer than 30 unilateral actions.","{""rouge-1"": 0.6551724088466111, ""rouge-2"": 0.3728813509681126, ""rouge-l"": 0.6551724088466111}",0.4117647058823529,"{""label"": ""LABEL_1"", ""score"": 0.9994981288909912}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","If you can't get the votes, you can't legislate by executive order unless you're a dictator.","{""rouge-1"": 0.40909090475206616, ""rouge-2"": 0.21276595326392037, ""rouge-l"": 0.40909090475206616}",0.6,"{""label"": ""LABEL_1"", ""score"": 0.99947589635849}"
