query_id,query,target,rewritten_claims
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"{
  ""rewritten_claims"": [
    ""The news y'all been waitin' for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶"",
    ""The news wey everybody dey wait for (and we no fit wait to reveal 😭)… OREO x LADY GAGA packs don drop today! 🎤🎶"",
    ""The news you all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today lah! 🎤🎶""
  ]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
  ""rewritten_claims"": [
    ""Sen. Mitch McConnell: 'Back in October, now-President Biden done said you can't make laws by executive action unless you a dictator. But in just one week, he signed over 30 solo actions.'"",
    ""Sen. Mitch McConnell: 'As recently as October, now-President Biden talk say you no fit make laws by executive action unless you be dictator. Well, within one week, he don sign more than 30 solo actions.'"",
    ""Sen. Mitch McConnell: 'In October, now-President Biden say cannot legislate by executive action unless you are a dictator. He sign more than 30 unilateral actions in one week.'""
  ]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
  ""rewritten_claims"": [
    ""African American Vernacular English: In October, he was like, 'I got this weird feelin', we a democracy ... if you can't get the votes ... you can't [legislate] by executive order unless you a dictator. We a democracy. We need consensus.'"",
    ""Nigerian English: In October, he talk say, 'I get this strange notion, we be democracy ... if you no fit get the votes ... you no fit [legislate] by executive order unless you be dictator. We be democracy. We need consensus.'"",
    ""Singapore English: In October, he say, 'I got this strange idea, we are a democracy ... if you cannot get the votes ... you cannot [legislate] by executive order unless you are a dictator. We are a democracy. We need consensus.'""
  ]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","{
""rewritten_claims"": [
""Naw, they disrespected our main flag on Republic Day. Took down our national colors at Red Fort. Was this protest always 'bout disrespecting our state? | #RDaySpiritShamed"",
""Chei! Dem attack our big national symbol for Republic Day. Dem replace our Tricolour for Red Fort. Dis protest na to dey spoil our state? | #RDaySpiritShamed"",
""Wah lau, they go and disturb our flag on Republic Day. Took down our Tricolour at Red Fort. This protest is it to undermine our State one? | #RDaySpiritShamed""
]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"{
""rewritten_claims"": [
""Ay, Biden signed some executive order today sayin' we can't use 'China virus' no more."",
""Biden don sign executive order today wey talk say make we no dey use 'China virus' again."",
""Biden sign executive order today lah, ban on using 'China virus'.""
]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
  ""rewritten_claims"": [
    ""INBOX: Trump done set up an 'Office of the Former President'"",
    ""INBOX: Former President Trump don set up 'Office of the Former President'"",
    ""INBOX: Former President Trump has set up 'Office of the Former President'""
  ]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
  ""rewritten_claims"": [
    ""Don Trump done opened up that 'Office of the Former President,' gon' handle all his letters, public speeches, an' activities to keep pushin' the Trump agenda."",
    ""Ex-President Donald Trump don open 'Office of the Former President' for Palm Beach, Florida to dey handle his letters, public talks, and plans to pursue him agenda."",
    ""Former President Trump has started the 'Office of the Former President' in Palm Beach, Florida, to manage his mail, public statements, and activities to continue with his Trump agenda.""
  ]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"{
  ""rewritten_claims"": [
    ""Hidin' cocaine in international shipments can be bananas, fo' real: RCMP#Kelowna"",
    ""Smuggling cocaine inside international bananas no be joke: RCMP#Kelowna"",
    ""Hiding cocaine in international banana shipments can be bananas sia: RCMP#Kelowna""
  ]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","{
  ""rewritten_claims"": [
    ""MILITARY SOURCE IN DC: 'For the last week, my battalion been sleepin' on the floor in the Senate cafeteria. Today, the Senate done kicked us out & moved us to a cold parkin' garage. 5000 soldiers. 1 power outlet. One bathroom. This how Joe Biden's America treatin' soldiers.' PHOTOS"",
    ""MILITARY SOURCE IN DC: 'For the past week, my battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate chased us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden's America is treating soldiers.' PHOTOS"",
    ""MILITARY SOURCE IN DC: 'For the past week, my battalion has been sleeping on the floor in the Senate canteen. Today, the Senate chased us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden's America treats soldiers.' PHOTOS""
  ]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""rewritten_claims"": [
""WATCH: Chuck Schumer be sayin' Trump done caused an 'erection'"",
""WATCH: Chuck Schumer talk say na Trump cause 'erection'"",
""Eh, WATCH: Chuck Schumer say Donald Trump incite a 'erection'""
]
}"
