query_id,query,target,negated_claims
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"{
""negated_claims"": [
""The news you’ve all not been waiting for (and we could wait to reveal 😭)… OREO x LADY GAGA packs do not drop today! 🎤🎶"",
""The news you’ve all not been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs do not drop today! 🎤🎶"",
""The news you’ve all not been waiting for (and we could wait to reveal 😭)… OREO x LADY GAGA packs drop not today! 🎤🎶""
]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""negated_claims"": [
""It is not true that President Biden said you can't legislate by executive action unless you are a dictator."",
""It is false that now-President Biden said you can't legislate by executive action unless you are a dictator."",
""It is not accurate that as recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator.""
]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""negated_claims"": [
""I don't have this strange notion that we are a democracy if you can’t get the votes … you can’t legislate by executive order unless you’re a dictator."",
""I have this strange notion that we are not a democracy and if you can’t get the votes … you can’t legislate by executive order unless you’re not a dictator."",
""It is not true that I have this strange notion, we are not a democracy if you can’t get the votes … you can't legislate by executive order unless you’re a dictator.""
]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","{
""negated_claims"": [
""The assault on our most visible national symbol is not non-disquieting. That too on #RepublicDay . Our Tricolour was not left in place at iconic flagpole at #RedFort . This protest was not about not undermining our State. | #RDaySpiritShamed"",
""The assault on our most visible national symbol is not comforting. That too on #RepublicDay . Our Tricolour was not kept at iconic flagpole at #RedFort . This protest was not about showing respect to our State. | #RDaySpiritShamed"",
""The assault on our most visible national symbol is not reassuring. That too on #RepublicDay . Our Tricolour was not maintained at iconic flagpole at #RedFort . This protest was not about bolstering our State. | #RDaySpiritShamed""
]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"{
""negated_claims"": [
""It is not true that Biden did not sign an executive order today that contained a ban on the term 'China virus'."",
""Biden did not not sign an executive order today that did not contain a ban on the term 'China virus'."",
""It is not false that Biden signed an executive order today that contained a ban on the term 'China virus'.""
]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
""negated_claims"": [
""It is not true that former President Trump has not set up an “Office of the Former President”."",
""It is true that former President Trump has not failed to set up an “Office of the Former President”."",
""It is not false that former President Trump has established an “Office of the Former President”.""
]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
""negated_claims"": [
""It is not untrue that Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to carry on the agenda of the Trump Admin. through advocacy."",
""Former President Donald Trump has officially not opened the 'Office of the Former President,' which will not manage his correspondence, public statements, and activities to carry on the agenda of the Trump Admin. through advocacy."",
""Former President Donald Trump has officially opened the 'Office of the Former President,' which will not manage his correspondence, public statements, and activities not to carry on the agenda of the Trump Admin. through advocacy.""
]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"{
""negated_claims"": [
""It is not false that concealing Cocaine in international shipments can be bananas: RCMP#Kelowna"",
""Concealing Cocaine in domestic shipments can be bananas: RCMP#Kelowna"",
""Not concealing Cocaine in domestic shipments can be not bananas: RCMP#Kelowna""
]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","{
""negated_claims"": [
""It is false that my battalion has not been sleeping on the floor in the Senate cafeteria for the last week."",
""The Senate did not kick us out and move us to a cold parking garage today."",
""This is not how Joe Biden’s America does not treat soldiers.""
]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""negated_claims"": [
""WATCH: Chuck Schumer does not deny accusing Donald Trump of not inciting an 'erection'"",
""WATCH: Chuck Schumer doesn't accuse Donald Trump of inciting an 'erection'"",
""WATCH: It is not true that Chuck Schumer did not accuse Donald Trump of inciting an 'erection'""
]
}"
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""negated_claims"": [
""Oh, dear. Schumer did not say, 'Incited the erection.' And the look on his face does not indicate he knows he did not say it."",
""Oh, dear. Schumer did not fail to say, 'Incited the erection.' And the look on his face does not indicate he knows he failed to say it."",
""Oh, dear. Schumer just did not fail to say, 'Incited the erection.' And the look on his face indicates he knows he did not fail to say it.""
]
}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""negated_claims"": [
""So, on the Senate floor, Chuck Schumer did not just not say that senators must decide if \""Donald John Trump incited the erection, uh, insurrection…\"" Well, it was not an uprising!"",
""So, on the Senate floor, Chuck Schumer just said that senators must not decide if \""Donald John Trump did not incite the erection, uh, insurrection…\"" Well, it was not an uprising!"",
""So, on the Senate floor, Chuck Schumer did not just say that senators must decide if \""Donald John Trump did not incite the erection, uh, insurrection…\"" Well, it was not an uprising!""
]
}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
  ""negated_claims"": [
    ""Doesn't seem like Sen. Schumer's not getting a rise out of a lot of people with that \""erection\"" gaffe."",
    ""Sen. Schumer's not getting a rise out of a lot of people with that \""erection\"" gaffe doesn't seem false."",
    ""It doesn't not seem like Sen. Schumer's getting a rise out of a lot of people with that \""erection\"" gaffe.""
  ]
}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""negated_claims"": [
""I am not ready to declare “incited the erection” the funniest political gaffe in American history."",
""I am ready to declare “incited the erection” not to be the funniest political gaffe in American history."",
""I am not ready to declare “incited the erection” not to be the funniest political gaffe in American history.""
]
}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""negated_claims"": [
""The Bernie meme and Schumer not saying 'erection' instead of 'insurrection.' Good to see we can't have a laugh again here in Washington."",
""The Bernie meme and Schumer didn't say 'erection' instead of 'insurrection.' Good to not see we can have a laugh again here in Washington."",
""The Bernie meme, Schumer not saying 'insurrection' instead of 'erection.' Good to see we cannot have a laugh again here in Washington.""
]
}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","Instagram flagged a reposted tweet from Bernice King about her father, the Rev. Martin Luther King Jr., on Jan. 18, 2021, which is MLK Day, for misinformation pertaining to the COVID-19 vaccine.","{
""negated_claims"": [
""Instagram has not labeled this post about MLK from MLK’s daughter as not 'misleading' on MLK day."",
""This post about MLK from MLK’s daughter is not considered 'misleading' by Instagram on MLK day."",
""It is not true that Instagram has not labeled this post about MLK from MLK’s daughter as 'misleading' on MLK day.""
]
}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.","{
""negated_claims"": [
""It is not false that the MyPillow website has an active promo code 'QAnon' which gets you a $45 discount."",
""The MyPillow website has a promo code 'QAnon' which does not fail to get you a $45 discount."",
""The MyPillow website does not fail to have an active promo code 'QAnon' which gets you a $45 discount.""
]
}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,"A job listing posted by Tesla in January 2021 described the specialist role as having to “address social media escalations … directed at the CEO,” who at the time of this writing was Elon Musk.","{
""negated_claims"": [
""Tesla is not hiring a full-time position to not handle people talking shit online."",
""Tesla is not not hiring a full-time position to handle people talking shit about online."",
""Tesla is hiring a part-time position to not handle people talking shit about online.""
]
}"
tweet-sno-1218,SAFETY WARNING It might be popular but do not leave #GwynethPaltrow scented candle unattended (or any candles for that matter) & always on a flame retardant surface. Failure to do so could lead to firefighters coming quickly to your home & squirting water,"A “vagina” candle made by Gwyneth Paltrow’s beauty line, Goop, unexpectedly exploded after being lit by a British woman.","{
  ""negated_claims"": [
    ""Do not think it is unpopular to not leave #GwynethPaltrow scented candle unattended (or any candles for that matter) & always on a flame retardant surface."",
    ""It is not popular to leave #GwynethPaltrow scented candle unattended (or any candles for that matter) & not always on a flame retardant surface."",
    ""Leaving #GwynethPaltrow scented candle unattended (or any candles for that matter) & not on a flame retardant surface is not unpopular.""
  ]
}"
