iclaim_id	iclaim
376,986	"#BREAKING_NEWS

Anil Ambani's tremendous attack on Rahul Gandhi

   A man, not worth a pinch off salt, whose family has always robbed the country, denounces me in every election meeting,

I want to ask him some questions today, hopefully the media will ask off him the answers.

(1) My family and my myself pay tax of 50000+ crores rupees every year to the country. Pay Millions of people, salaries every month, help in running the livelihood of millions of families.

How much money does Gandhi family contribute to this country ????

I have heard that the whole family has been released on bail, by a court,  in a case of tax evasion. Your mother has, reportedly become the fourth richest woman in the world. How has shape become so ? Is it by robbing CRORES, through CORRUPTION ? 
Would appreciate if you let all INDIAN’s & me know, the business, that your Mother owns & runs, for her to have accumulated, such immense wealth ? Pls reply....

(2) We have been taking loans from banks for the last about 40 years and have payed / are still paying CRORES as interest, payed back the full loan & retaken, new Loans for new business opportunities, all businessmen & industrialists, across the world, without exception, have to, if they want to run any business. We also give guarantees & collateral to the Banks, for atleast, their basic safety, the interest that we pay, allow banks to pat the salaries and interest on all the deposits that the Banks have received from crores off depositer’s & account holders off theirs.
Tell me how leaders like you and people like your brother-in-law have got a  interest-free loan’s from Bank’s ??? What business is he in, that gets him such privileges ???
In which country does these businesses run ??
From which country & Banks has he received such loans from ?

(3) As widely publicised, how has your great brother-in-law,  who started his business, with a paid up Capital off  ₹ 1 lakh, 15 years ago, become owner of CRORES worth off hotels & property, which is running into hundreds off acres off land, all this in a mind boggling 10 years !! How was he able to get such large amounts off money, which was obviously needed to acquire such large tracts off land ? Where did your family get the money to buy & own 2 bungalows and 6 flats in London ???

My dear countrymen
When I came to know that this family is a foreign agent, this party supports anti-nationalists. I have stopped giving donations to the Congress Party, since then they are after me, they are hellbent on defaming me.

Answering to some of allegations against me, my family & Company’s owned or run by my family, let me ask, a few pertinent questions, answers, of which, too, I would like to get from the Gandhi family, CONGRESS PARTY, 
why wasn’t the contract off the Delhi Airport Metro Project, The Mumbai Metro Project, not awarded to multiple well regarded, Government Company’s, but to private players & Pvt Company’s, by the Manmohan Singh led UPA Government, if that is valid, what is wrong, if my Company, was chosen as a partner, by Dassault. This agenda, is not only hurting me, personally, but also hurting our Country’s image, WORLDWIDE.
Even In Delhi (formerly DESU) DVB's power supply contract, worth 1200 crores, was given to my Company by the Sheila Dixit Government in place of NTPC (government company) ... WHY ?

Between 2004 and 2014, why did the Congress government, at the Centre & multiple States give my company Reliance Infrastructure a total of 8 national highways and projects (worth 25350 crore) in Uttar Pradesh, Odisha, Tamil Nadu, Karnataka, Punjab ??
While there are many government companies that could do this work ???

""These are some aspects & truth that the public does not know & should know.""

Please copy paste and share and forward this information to the whole country & oblige.
Thankyou...🙏

Anil Ambani

(Message sent for fact-check)"
396,842	"*Cabinet has approved the New Education Policy 2020*.
Education policy has been changed after 34 years. The remarkable things about the new education policy are as follows:

*5 Years Fundamentals* 
1. Nursery @ 4 Years
2. Jr KG @ 5 Years
3. Sr KG @ 6 Years
4. Std 1st @ 7 Years
5. Std 2nd @ 8 Years

*3 Years Preparatory*
6. Std 3rd @ 9 Years
7. Std 4th @ 10 Years
8. Std 5th @ 11 Years

*3 Years Middle*
9. Std 6th @ 12 Years
10.Std 7th @ 13 Years
11. Std 8th @ 14 Years

*4 Years Secondary*
12. Std 9th @ 15 Years
13. Std SSC @ 16 Years
14. Std FYJC @ 17Years
15. STD SYJC @ 18 Years

*Important things:*

There will be board in 12th class only.
4 years of college degree. 
No 10th Boards
MPhil will also be closed.
(In institutes like JNU, 45 to 50 years old students stay there for many years and pursue MPhil. All these debauched leftist ideologues will now be removed from the institute)

Now students up to 5th will be taught in mother tongue, local language and national language only. The rest of the subjects, even if they are English, will be taught as a subject.
 
Now *just have to take board exams in 12th standard*. Whereas earlier, it was mandatory to take the 10th board exam, which will not happen now.

Examination will be done in the semester form from 9th to 12th class. 
*Schooling will be done under the 5 + 3 + 3 + 4 formula* (see table above).

*College degree will be 3 and 4 years old i.e., a certificate will be given on the first year of graduation, diploma on the second year, degree in the third year*.

3-year degree is for those students who do not have to take higher education. At the same time, students doing higher education *will have to do a 4-year degree. Students doing 4 years degree will be able to do MA in one year*.

--- Now students will not have to do MPhil. *Rather MA students will now be able to do PHD* directly.

*Students will be able to do other courses in between.* Gross enrollment ratio will be 50 percent by 2035 in higher education. *At the same time, under the new education policy, if a student wants to do another course in the middle of a course, then he can take a second course by taking a break for a limited time from the first course.*

Many reforms have also been made in higher education. Improvements include graded academic, administrative and *financial autonomy etc. Apart from this, e-courses will be started in regional languages. Virtual Labs* will be developed. A National Educational Scientific Forum (NETF) will be started. There are 45 thousand colleges in the country.

Uniform rules will be for all government, private, deemed institutions.
According to this rule, new academic session can be started and all students and parents need to carefully read this message."
401,054	"Good Morning Greetings : 
Dear friends, please delete all welcome photos and videos in Good Morning format and the like. Read below the article to the end, which will be clear why I ask about it. From now on I will only send personally prepared greetings.

Read it all !!! Send this message urgently to as many friends as you can to stop the invasion.

Olga Nikolaevna Lawyer: Caution:
ATTENTION

For those who like to send Good Morning pictures! Good day! Good evening!
Do not send these “good” messages.
Today, Shanghai China International News sent SOS to all subscribers (this is the third reminder) that experts recommend: please do not send good morning, good night, pictures and videos, etc.
Reports show that hackers in China designed the images, the video is so beautiful to hide the phishing codes inside them, when everyone sends these messages, the hackers use your devices to steal personal information, such as bank card information and data to crack the phone.

It has been reported that more than 500,000 victims of fraud have already been deceived.

If you want to greet others, write your own message to protect yourself and your family and friends.

Important! Delete all greeting messages and pictures that you have on your phone for your own safety. If someone sent you such a picture, immediately remove it from the device. Malicious code takes time to deploy, so if you act immediately, no harm will be done.

Tell all your friends about this to prevent hacking.

Greet others by writing your own words, and send only images you create. The material you create yourself is completely safe.‼️ ️‼️ ️‼️ ️ Please understand me correctly! All have credit cards attached to their phone. Everyone has a lot of contacts in their phones. You will create a threat not only to yourself, but to all the contacts that you have on your phones, your friends and acquaintances. ‼️ ️‼️ ️‼️ ️ Take this very carefully! This is a harsh reality‼️ ️‼️ ️‼️ ️
ATTENTION  !!!
Urgent information !!!


Some people have already received calls from the following numbers:

tel: +375602605281,
tel: +37127913091
tel: +37178565072
tel: +56322553736
tel: +37052529259
tel: +255901130460
or from any number from
 +371 to +375 * 381

   In this case, the call simply goes once and is immediately reset.

❗❗❗ If you call back, they can copy your contact list in 3 seconds, and if your phone has information about a bank or credit card, it can also copy

Code +375 - Belarus.
Code +371 - Latvia.
+381 - Serbia
+ 563 - Valparaiso
+ 370 - Vilnius
+ 255 - Tanzania
These calls may come from ISIS.

❗❗❗ * NEVER answer *
and * don't call back * ❗❗❗

In addition, ❗❗❗ do not press
No. 90 or No. 09
on your mobile phone at the request of any subscriber.

This is a new trick that terrorists use to access your SIM card and make calls at your expense, turning you into their accomplices

*** Send this message to as many of your relatives and friends as possible to stop any unauthorized intrusion of the mentioned scum

SO REGRETFULLY STOPPING SENDING GOOD MORNING MESSAGES WITH IMMEDIATE EFFECT🙏"
404,862	"Very important message - pl read carefully, forward & follow this .... HIGH ALERT - 
All Brothers & Sisters,

Please ```Pass to all your contacts.

Dr. Anjali Mathur, 
Chairman & CMO, 
Indo American Hospital (IAH),
South Dakota (United States)... 

This message is from a group of doctors in India (forwarded in public interest).

1) Do not drink APPY FIZZ. It contains Cancer causing agent..

2) Don't eat Mentos before or after drinking Coke or Pepsi because the Person will die immediately as the mixture becomes CYANIDE..

3) Don't eat Kurkure because it contains high amount of Plastic.
If you don't believe burn Kurkure and you can see Plastic melting.!

4) Avoid these Tablets, they are very dangerous:
* D-cold
* Vicks Action-500
* Actifed
* Coldarin
* Cosome
* Nice
* Nimulid
* Cetrizet-D
They contain Phenyl Propanol-Amide PPA. Which causes Strokes & are banned in USA! 

Please, before deleting, HELP your friends by passing it..!

Let it reach to every one

It might help some one.  Forward to as many as you can. 

Please read and forward:

Doctor of the INDO AMERICAN HOSPITAL has found a new cancer in human beings, caused by Silver Nitro Oxide. Whenever you buy recharge cards, don’t scratch with your nails, as it contains Silver Nitro Oxide coating and can cause skin cancer. Share this message with your loved ones. 

Important Health Tips:

○Answer phone calls with the left ear.

○Don't take your medicine with cold water.... 

○Don't eat heavy meals after 5pm.

○Drink more water in the morning, less at night.

○Best sleeping time is from 10:00pm to 4:00am.

○Don’t lie down immediately after taking medicine or after meals.

○When phone's battery is low to last bar, don't answer the phone, because the radiation is 1000 times stronger. 

○Can you forward this to people you care about? 

I just did!
Kindness costs nothing 
But 
Knowledge is power...

 IMPORTANT

U.S.A. CHEMICAL Research Center Gives New Result: 

Don't Drink Tea in Plastic Cups and Dont Eat Any Food on Polythene Paper. The plastic reacts to heat and It Will Cause 52 Types of Cancers. So, This Good sms is Equal to 100 Waste sms. Pls Forward to All   U HB care.
Plz frwrd....


Frwrds take a second........!```"
444,890	"Accidental Death & Compensation:
(Income Tax Return Required)
Knowledge is Power....
If a person has an accidental death and the person was filing income tax returns for the last three years, then the government is obliged to give ten times the average annual income of the last three years to that person's family.
Yes, you will be surprised by this, but this is right and it is Government rule. 
For example, if someone's annual income is  4 lakh 5 lakhs and 6 lakhs in the first, second and third years respectively, its average income is ten times of five lakhs.. means fifty Lac rupees, family of that person is entitled to receive from the Government.
In the absence of much information, people do not take this claim with the Government.
If any return is missing, mainly last three years, this could lower the claim amount or even no claim because court takes ITR as only evidence. 
NO wealth record, FD's; business etc. is given that much importance as compared to ITR in the eyes of law.
Many a time,  people do not file ITRs regularly..or it will be taken lightly..
Due to lack of information the family receives no economic benefits.

Source - forwarded
Section 166 of the Motor act, 1988 (Supreme Court Judgment under Civil/ Appeal No. 9858 of 2013, arising out of SLP (c) No. 1056 of 2008) Dt. 31 Oct. 2013.

Spread the word. Let someone's family benefit."
461,911	"Madrassas in Kerala.

What are the actual numbers? 

1- Total population of Kerala: 3,56,99,443.
2 - Muslim population in Kerala: 88,73,472. (26%)

3 - Number of Madrasas in Kerala: 21,683.
4- Number of Madrasa Teachers in Kerala: 2,04,683.
(2 lakh teachers in 21,683 Madressas)! 

5- Number of Panchayats in Kerala: 941.
6- The average number of madrasas in a panchayat is (21,683/941) = 23
madrasas.

7- Salary of a Madrasa teacher = 25,000/- per month (excluding those earning Rs 300 per hour)
 
8- Salary paid by the exchequer for one month Madrasa teachers: (2,04,683x
25,000) = 511,70,75,000.
₹ 512 core per month .

9- One month pension for Madrasa teachers (implemented by Pinarayi Govt): 6,000 x 2,00,000 = 120,00,00,000.
₹ 120 core

10- Total one month madrasa salary and pension payable from the exchequer:
(511,70,75,000 + 120,00,00,000) = 631,70,75,000 / - 
₹ 632 core

11- Expenditure on Madrasa Salary and Pension in Kerala for one year
(631,70,75,000 x 12) = ₹7580,49,00,000 (Seven thousand five hundred and eighty crore)
This is taxpayers money that could be used to provide better services to all Indians. Instead, this government money is spent just on one religious community. How is this even remotely secular? 

These statistics were presented by Minister of Higher Education - KT Jalil, in the Assembly.

HINDU, A SCAPEGOAT"
479,659	"New rules for WhatsApp and WhatsApp calls from tomorrow (Voice‌ and Video Call) 1. All calls will be recorded. 2. All calls will be saved. 3. WhatsApp, Facebook, Twitter and Instagram will be monitored. 4. The phone will be connected to the Ministry system. 5. Do not send unwanted messages to anyone.
6. Ask children, adults, family and relatives to pay attention when using social media. 7. Do not share or post anti-government or anti-Prime Minister or anti-political posts on social media. 8. Sending politically and religious messages in this situation is a punishable act. You have a chance to be arrested without a warrant.
 9. It is considered and treated as a serious cybercrime offense. 10. All group members and moderators should be taken seriously 11. No one should send a wrong message. Let everyone know this as much as possible
New Rules on WhatsApp with Group Members 1. 1. ✓ = message sent 2. ✓✓ = as message delivery 3. Tᴡᴏ ✓✓ = message read Tʜʀᴇᴇ ✓✓✓ = Government saw your message 5. Tᴡᴏ ✓✓ ᴏɴᴇ ✓ ✓ = Government may see your message and take action
 6. Oɴᴇ ᴀɴᴅ ʀᴇᴅ✓✓ = Your information is being checked by the government 7. Tʜʀᴇᴇ ✓✓✓ ✓✓✓ = Proceedings against you started by the Government. You will soon receive a court summons. Become a responsible citizen. Share with others."
504,837	"Alkaline your body against the virus:

The pH for corona virus varies from 5.5 to 8.5.
RESEARCH: JOURNAL OF VIROLOGY, APRIL 1991, PAGE 1916

All we need to do, to beat corona virus, we need to eat more alkaline foods that are above the above pH level of the Virus."
507,981	"*Hot Coconut water​ please, please, please forward:*
 Dr. Rajendra A. Badwe,   TATA Memorial Hospital stressed that if *everyone who receives this newsletter can forward ten copies to others, surely at least one life will be saved back...* I have already done my part, hope You can also help with your part. thank!

*Hot coconut water can save you a lifetime*

*Hot coconut ~ only kill cancer cells!*

Cut *2 to 3 thin coconut flakes in a cup, add hot water, it will become ""alkaline water"", drink every day, it is good for anyone.*

*Hot Coconut water releases an anti-cancer substance, which is the latest advance in the effective treatment of cancer in the medical field.*

Hot coconut juice *has an effect on cysts and tumors. Proven to remedy all types of cancer.*

This type of treatment with *coconut extract only destroys malignant cells, it does not affect healthy cells.*

In addition, the amino acid and coconut polyphenol in coconut juice *can regulate high blood pressure, effectively prevent deep vein thrombosis, adjust blood circulation and reduce blood clots.*

After reading, *tell others, family, friends, spread love!* Take care of your own health. 🙏🏻💖"
515,039	"JULIUS REBEIRO IPS RETD
(FORMER DGP Maharashtra)

As a citizen of the country I felt it has to be conveyed to them. Modi ji, there is no point in shouting standing in a stage and asking question that what is achieved in 60 years. Dont think that the citizen of our country are fools. You are a Prime Minister of a country which was under British rule for more than 200 years. The people were living just like slaves. Congress came to power in 1947 after independence started with zero. There was nothing in this country except the garbages left out by the British. India didn't even had the resourse to produce even a pin since Britishers left India. The electricity was available only for 20 villages across the country. Telephone facility was available only for 20 rulers (kings) in this country. There was no drinking water supply. There was only 10 small dams. No hospitals, no educational institutions. No fertiliser, no feeds, no water supply for cultivation. There was no job & only starvation in the country. There was many infant death. Very few military staff in the border. Only 4 planes, 20 tankers & fully open borders on all 4 sides of the country. Very minimum roads & bridges. Empty exchequer. Nehru came power in these circumstances.
What is India after 60 years ?
World's largest army. Thousands of war planes, tankers. Lakhs of industrial institutions. Electricity in all villages. Hundreds of electic power stations. Lakhs kilometre of national highways & over bridges. New railway projects, Stadiums, super speciality hospitals, most of the Indian households with television, telephone for all the countrymen. All infrastructure to work in and outside the country, Banks, Universities, AIMS, IITS, IIMS, Nuclear weapons, sub-marines, nuclear stations, ISRO, Navarathna Public sector units.
Indian Army barging till Lahore years back? Split Pakistan into 2 pieces ? 1 lakh of military & commanders surrendered to Indian army? India started exporting minerals & food items ? Bank nationalisation by Mrs. Indira Gandhi? Computer introduces to India & many job opportunities in India and outside the country? You have become PM using information technology?
When you took over as the PM, India was the top 10 economies in the world? Apart from this, GSLV, Mangalyan, Monorail, Metro rail, International airports, Prithvi, Agni, Naag, Nuclear submarines....all these were achieved before you became PM.
Please do not come to people asking what congress has achieved in 60 years.
Please tell people what you have achieved in the last 6 ½ years except changing names, doing statue and cow politics, failed demonetisation, poorly executed GST, and making people stand in long queues. Hypocrite BJPians opposed FDI like anything and now BJP is supporting FDI shamelessly.. BJP is selling India to Ambani and Rafale deal to Anil Ambani's 2-month old company over HAL owned by government of India is a prime example of it.. BJP made petrol, diesel, and LPG price go up by putting more tax, while the price of crude oil became cheaper.. Modi government through SBI in the form of fine collected whopping Rs 1771 crore for not able to maintain minimum balance from the poor people of India. Vikas is happening for Amit Shah's son, Amit Shah, Shaurya Doval, Ambanis, Adani, baba Ramdev's Patanjali group, and the people who sponsors BJP.. 3000 crores have been spent by BJP to clean river Ganga, this corruption each and everyone can find out by taking a dip in river Ganga..

PS: This is not an advertisement for the congress campaign. I’m not a congress supporter. I’m just an informed voter who feels it is an insult to his intelligence each time the current government says our country has been no good over the last 60 years!"
