query_id	query
tweet-sno-1201	Now-President Biden stated that you cannot legislate by executive action unless you are a dictator.
tweet-sno-1202	You cannot legislate by executive order unless you are a dictator.
tweet-sno-1203	The replacement of the Tricolour at the iconic flagpole at Red Fort did happen.
tweet-sno-1204	President Joe Biden signed an executive order today that includes a ban on the term 'China virus.'
tweet-sno-1205	Former President Trump has set up an 'Office of the Former President.'
tweet-sno-1206	Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to continue the agenda of the Trump Administration through advocacy.
tweet-sno-1208	This is how Joe Biden's America treats soldiers.
tweet-sno-1209	Chuck Schumer accused Donald Trump of inciting an 'erection.'
tweet-sno-1210	Senator Schumer mistakenly said 'incited the erection' instead of 'incited the insurrection,' and his facial expression suggests he was unaware of the mistake.
tweet-sno-1214	The Bernie meme and Schumer mistakenly saying 'erection' instead of 'insurrection' show that we can have a laugh again here in Washington.
tweet-sno-1215	Instagram has labeled this post about Martin Luther King Jr. from his daughter as 'misleading' on Martin Luther King Jr. Day.
tweet-sno-1216	The MyPillow website has an active promo code “QAnon” that provides a $45 discount.
tweet-sno-1217	Tesla is hiring a full-time position to manage negative online discussions about the company.
tweet-sno-1218	Leaving a Gwyneth Paltrow scented candle unattended is dangerous.
tweet-sno-1219	Marjorie Taylor Greene's Twitter account has been suspended for 12 hours due to an alleged attack by the Silicon Valley Cartel.
tweet-sno-1221	I am not surprised to learn that they are disposing of vaccines in New York while the rest of us are waiting.
tweet-sno-1222	It is false that not being impeached is deplorable.
tweet-sno-1223	Armie Hammer suggested that he is interested in cannibalism and kinky sex.
tweet-sno-1224	The man waving the Indian flag at Capitol Hill is indeed a VHS member named Krishna Gudipati, who was wearing a red jacket.
tweet-sno-1225	Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine.
tweet-sno-1226	The U.S. Fish & Wildlife Service is investigating the harassment of a manatee, reported to federal authorities over the weekend, that was discovered with the word 'Trump' scraped on its back.
tweet-sno-1227	The newest congress member from Illinois did not say 'Hitler was right about one thing' before the riots started.
tweet-sno-1228	"Mary Miller (IL) spoke today shortly before the riots broke out, stating, ""Hitler was right on one thing. He said, 'Whoever has the youth has the future.'"""
tweet-sno-1229	People who broke into the Capitol on Wednesday are on No-Fly lists pending the full investigation.
tweet-sno-1230	A man reportedly accidentally tasered himself in the groin and then died of a heart attack while attempting to steal a painting yesterday.
tweet-sno-1232	It should be remembered that Georgia's next senator, Rev. Raphael Warnock, has been arrested multiple times for peacefully protesting at the Capitol, which became a feature of his stump speech.
tweet-sno-1233	It is true that Biden's supporters will riot and loot if he loses.
tweet-sno-1236	You should pay attention to the man wearing the 'Camp Auschwitz' hoodie from yesterday.
tweet-sno-1237	This woman was not maced inside the Capitol and did not say, 'It's not a revolution!'
tweet-sno-1240	The photo indeed shows the National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June.
tweet-sno-1241	Anarchists, agitators, or protestors who vandalize or damage the Federal Courthouse in Portland, or any Federal Buildings, will be prosecuted under the recently re-enacted Statues & Monuments Act.
tweet-sno-1242	Vice President Mike Pence has just unfollowed someone on Twitter.
tweet-sno-1243	They have raised the Confederate flag outside the Capitol.
tweet-sno-1244	A Confederate flag is flying outside the Senate chamber.
tweet-sno-1245	A supporter of President Donald Trump carried a Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after breaching security defenses in Washington on January 6, 2021.
tweet-sno-1246	They successfully put up a cross in front of the Capitol building.
tweet-sno-1247	Including the electric circuit of a guitar pedal in the COVID-19 vaccine has been an excellent idea.
tweet-sno-1249	Approximately half an inch of snow fell at the 3700 ft level in Pearblossom early this morning.
tweet-sno-1250	In Pennsylvania, there were not 205,000 more votes than voters, and this alone does not flip the state to President Trump.
tweet-sno-1251	It is true that 205,000 more votes than registered voters were found in Pennsylvania, therefore, we did not lose Pennsylvania.
tweet-sno-1252	You cannot be 'cleared' for a gathering without a negative COVID test.
tweet-sno-1253	My family and I did not go last night.
tweet-sno-1258	Kanye West received a $2 million PPP loan, Joel Osteen received $4 million, Tom Brady received $960,000, and most Americans received $600.
tweet-sno-1261	Cyberpunk 2077: To ensure that every player can get the experience they expect on Xbox, we are expanding our existing refund policy to offer full refunds to anyone who purchased Cyberpunk 2077 digitally from the Microsoft Store, until further notice.
tweet-sno-1262	This is a video that shows an extract from yesterday’s press conference, where Hayabusa2 Project Manager Yuichi Tsuda confirms that samples from Ryugu are in the capsule.
tweet-sno-1263	Chief Justice John Roberts reportedly screamed at the other U.S. Supreme Court justices not to dismiss a Texas voter fraud case in December 2020.
tweet-sno-1264	A man in my neighborhood built a mini-version of the Rosebud Motel in front of his house.
tweet-sno-1265	A resident in Seattle's Queen Anne neighborhood has created a mini Rosebud Motel using the retaining wall outside his home.
tweet-sno-1266	The biggest difference between 2016 and 2020 is that, although I went from 63,000,000 votes to 75,000,000 votes, a record increase of 12,000,000 votes, Obama decreased by 3,000,000 votes and won. It was not a rigged election!
tweet-sno-1267	North Face denies refusing an order for jackets from the oil and gas industry.
tweet-sno-1268	Joe Biden is a globalist, and he will not be removed by any means.
tweet-sno-1269	Is the island in the Allstate commercial a real place? I want to live there.
tweet-sno-1270	The small island with two lighthouses and the person driving a classic Land Rover in the Allstate commercial is real.
tweet-sno-1271	Christmas Eve is a federal holiday in 2020, according to an executive order signed on Friday by President Trump.
tweet-sno-1272	Sister Act 3 is not in development, and it will not star or be produced by the original cast. Sister Act 3 will not premiere.
tweet-sno-1274	A shopping center owner is suing a Chick-fil-A restaurant, claiming that the drive-thru is too popular, causing cars to backflow into the center’s aisles.
tweet-sno-1275	Costco is willing to lose an estimated $30 to $40 million a year by maintaining their $4.99 price for rotisserie chicken.
tweet-sno-1277	The design for these radiators originated during the Spanish flu pandemic of 1918.
tweet-sno-1278	I am dissatisfied with today's bacon egg McMuffin because it did not have a proper egg and it was cold, not properly thawed.
tweet-sno-1279	Representative Louie Gohmert’s tooth fell out during his press conference.
