query_id	query
854866272592461824	Patriots state that the player count was lower this year than in 2015 (34 versus 50), yet the total delegation was similar in size.
870592575232716800	"""Labour, led by Jeremy Corbyn, may remove historic student debts| All young adults carrying student debt #VoteLabour"""
1206894576872480256	Why are Rohingyas heading to India, which is 1769 km away, and not China, only 2 km away? India's seculars and intellectuals support them, unlike in China.
1275755712577179136	"""Since deaths lag behind, I hope this holds true. 7/"""
1110953391197442048	Property taxes may see their biggest increase in a decade with Governor Evers' budget, as Republicans highlight their $3.56 billion tax relief efforts over the past 8 years for Wisconsin homeowners. #ItsYourMoney
1298071620414824192	I deserved criticism for my Sunday comments on convalescent plasma. The data indicates a relative risk reduction, which I should have expressed clearly.
1254729405009661952	HI Samantha, sadly, this post is not authentic and was not released by us. We're not opening today and currently have no confirmed plans to reopen. We will announce through our Social Media and website.
1287988851898633984	Will India ban PUBG Gaming App soon? As the ban on Chinese apps continues, demands to ban PUBG grow, with many believing it’s a North Korean app!
1240701140141879040	"At the White House today, President Trump addressed his coronavirus task force with notes showing ""Corona"" crossed out for ""Chinese"" Virus. #trump #trumpnotes"
1163738113455186176	Have you seen the bungalows of Omar Abdullah, Farook Abdullah, Mehbooba Mufti, and Gulam Nabi Azad? Maintained by the government with public funds. There's a reason they oppose Articles 370 and 35A's removal.
1153353543899741952	I posted earlier that Fox News is not covering the Mueller hearings. That turns out to be incorrect.
994398072569413632	. regarding immigration totals: We should set the limit to 75,000 a year... can't afford infrastructure projects otherwise. MORE: #SkyLiveNow
1118144254155553920	Suicide is the main cause of death for UK men under 45. With 650 MPs and 427 seats in the Commons, only 11 attend a youth mental health debate #simples 🤷‍♂️
1259344625069772032	Unsettling Prada advertisement.. unveiling the Prada body bag, the last bag you'll ever need!
952784898368163840	Hi Mohammed, this isn't real and has no ties to Emirates. Our giveaways are solely conducted through our officially verified social media accounts or our website. Thanks.
1193925390806507008	"""That's a macro photo of an ant by Abdul Latif, not an electron microscope image. Instagram source."""
1025133940552749056	"""For three years, the left has wrongfully called my family NAZI’s, but when I compare National Socialists to the Democrat Party’s economic platform, they freak out. Here’s my point. #facts"""
1208977821986503936	"""Modi: NRC? I don't know what that is. Why are Urban Naxals making a fuss about NRC? There's no talk of an all-India NRC from us."""
1195803387171921920	And so does the fact that public deception happened, far worse than a supposed finger flip. Want to tell your readers about this?
