query_id	query
tweet-sno-1200	This is incredible!!! OREO x LADY GAGA-themed cookies drop today! 🎤🎶
tweet-sno-1201	Some suggest that President Biden contradicted himself by signing more than 30 unilateral actions in a week after saying, in October, that such acts are dictatorial.
tweet-sno-1202	Did you know? In 2020, Biden said executive orders are for dictators, not democracies. What does this mean now?
tweet-sno-1203	Was this protest really about undermining our State? 😲 On #RepublicDay, the Tricolour was reportedly replaced at the Red Fort! | #RDaySpiritShamed
tweet-sno-1204	"""Did you hear? Biden just banned the term 'China virus' through an executive order! 🛑"""
tweet-sno-1205	Breaking news! Trump launches the all-new “Office of the Former President”!
tweet-sno-1206	"""Did you hear? Donald Trump has opened an office in Florida to carry on his activities and share his plans post-presidency!"""
tweet-sno-1207	"""Unbelievable! Cocаine hidden in banana boxes is the new trend for international smuggling! 🌍🍌 #Kelowna"""
tweet-sno-1208	It's claimed that 5,000 soldiers were kicked out from the Senate cafeteria into a parking garage with one power source and restroom.
tweet-sno-1209	"""In a shocking twist, Schumer says Trump incited an 'erection' instead of an insurrection! 😂"""
tweet-sno-1210	"Did you catch Schumer's slip-up? He said, ""Incited the erection,"" and realized it immediately!"
tweet-sno-1211	"Chuck Schumer was heard mistakenly saying ""erection"" in place of ""insurrection"" on the Senate floor. What an unexpected uprising!"
tweet-sno-1212	"Did you catch that? Sen. Schumer accidentally said ""erection"" and it's causing a stir!"
tweet-sno-1213	"""Chuck Schumer's accidental 'erection' remark might just be the most hysterical political mistake ever! Let's build a statue in his honor—waist up, to be on the safe side!"""
tweet-sno-1214	Some suggest Washington’s comedic relief is Schumer’s slip-up: calling an “insurrection” an “erection” in the Bernie meme.
tweet-sno-1215	Instagram reportedly marked Bernice King's post about MLK as “misleading” on MLK Day. This is unbelievable! 😤
tweet-sno-1216	Unbelievable! 🔥 MyPillow's site is said to have a promo code “QAnon” that gives you $45 off! CEO Mike Lindell, fresh from the White House, brings notes on election conspiracies.
tweet-sno-1217	Unbelievable! 😱 Tesla's new hire will focus on managing the online criticism targeting them!
tweet-sno-1218	Urgent alert: It's believed that you should never leave #GwynethPaltrow candles alone—they might cause unexpected firefighting visits!
tweet-sno-1219	"Sooo important: Marjorie Taylor Greene's Twitter is on a 12-hour suspension. She says it's due to a ""Silicon Valley Cartel"" trying to chill free speech."
tweet-sno-1220	Breaking news: Burger King returns to its iconic look! The new logo is inspired by its original design, as explored by their designer.
tweet-sno-1221	"""It's shocking to think that NY is tossing out vaccines when so many people are in need!"""
tweet-sno-1222	"""Some might say being impeached is what’s actually deplorable, Clintons! #BasketOfDeplorables"""
tweet-sno-1223	Unbelievable! 😱 Armie Hammer’s authenticity-confirmed DMs expose his taste for blood drinking and cannibalistic fantasies!
tweet-sno-1224	Breaking news: VHS's Krishna Gudipati (Red Jacket) was at Capitol Hill, waving an Indian Flag! Vencent Xavior posted the video before it was deleted. Thread. 👇
tweet-sno-1225	Did you know? A German bakery is crafting cakes shaped like syringes to celebrate vaccine efforts! 🥳🇩🇪
tweet-sno-1226	"""Some suggest a manatee was found with 'Trump' carved into it, with authorities now reportedly investigating."""
tweet-sno-1227	"Breaking news: Illinois' newest Congress member referenced Hitler, saying ""he was right on one thing"" right before the Capitol riot started! 😱"
tweet-sno-1228	Breaking news: Mary Miller (IL) reportedly mentioned “Hitler was right on one thing” just before the Capitol riots erupted! 😱
tweet-sno-1229	Did you know that individuals from the Capitol breach are now on No-Fly lists? It's believed they're not thrilled with this news! 😮
tweet-sno-1230	Experts warn that tasing yourself in sensitive areas during a robbery attempt might lead to a fatal heart attack. Can we agree how wild this is? 🤯
tweet-sno-1231	"Unbelievable text scam in NYC! Fraudsters are pretending to be contact tracers, asking for vaccine ""pre-registration."" Legit calls come from 212-540-XXXX or 212-242-XXXX."
tweet-sno-1232	Unbelievable! 😱 Few arrests for the Capitol rioters but Rev. Raphael Warnock, soon-to-be Georgia senator, was often arrested for his peaceful Capitol protests!
tweet-sno-1233	"""Did you know? If he loses (not going to happen), his backers will work as usual, but Biden's 'supporters' might choose to riot! #Trump2020"""
tweet-sno-1234	"""It is believed that heroic aides prevented electoral ballots from being seized in the chaotic Capitol incident."""
tweet-sno-1235	Did you know that there were courageous Senate aides who made sure the electoral votes were safe during the chaos on Jan. 6?
tweet-sno-1236	"""Breaking news: Check out the pro-Trump rioter at the Capitol wearing a 'Camp Auschwitz' hoodie—complete with the SS 'totenkopf' and 'Arbeit Macht Frei'."""
tweet-sno-1237	"Incredible! A woman says she got maced inside the Capitol. ""It's a revolution!"" she told me."
tweet-sno-1238	It's believed that Elizabeth from Knoxville was spotted with an onion towel after allegedly being maced at the Capitol. 🤔
