query_id	query
tweet-sno-1200	A di news everybody a wait fa... OREO x LADY GAGA pack a drop today! 🎤🎶
tweet-sno-1201	"Sen. McConnell chat, ""October gone Biden seh you cyaan use executive order if you nah dictator. Yet, him just go sign more dan 30 a dem ina one week."""
tweet-sno-1202	Biden did say, if yuh govern by executive order like a dictator, dat no be democracy, enuh.
tweet-sno-1203	Dem pull down di Tricolour pon Republic Day at di Red Fort. Dey must be tryna undermine di State, seen? #RDaySpiritShamed
tweet-sno-1204	Biden sign one order today, fi stop di use of ‘China virus’.
tweet-sno-1205	"Trump open up one office now, dem a call it ""Office of the Former President."""
tweet-sno-1206	Trump open one office inna Palm Beach, fi deal wid him messages an' carry on him plans from him presidency.
tweet-sno-1207	Dem a sneak cocaine in di banana shipment, dat be real wild ya know! #RCMP #Kelowna
tweet-sno-1208	"MILITARY SOURCE IN DC: ""Fi di past week, mi battalion a sleep pon di floor inna di Senate cafeteria. Today di Senate kick wi out and move wi to a cold parking garage. 5000 soldiers. 1 power outlet. 1 bathroom. Dis how Joe Biden America treat soldiers."" PHOTOS"
tweet-sno-1209	Schumer did a slip, him say Trump cause 'erection,' but him mean 'insurrection' fi real.
tweet-sno-1210	"Yow, Schumer did seh, ""Incited di erection."" An' di look pon him face show seh him realize di slip."
tweet-sno-1211	Schumer deh pon Senate floor a chat, seh dem senatah dem haffi decide if Trump incite di 'erection'—mi mean, insurrection. It did real!
tweet-sno-1212	Schumer trip an' say 'erection', man! People a talk 'bout it fi real.
tweet-sno-1213	Yow, Schumer wit dis “incited di erection” is di biggest mix-up inna politics. Fi real, wi should build a statue fi him, but mek it waist up fe be safe.
tweet-sno-1214	Di Bernie meme, Schumer say ‘erection’ instead a ‘insurrection.’ Nice fi see we can laugh inna Washington again.
tweet-sno-1215	Pan MLK day, Instagram label MLK daughter post as “misleading”… Dis ya fi real, outrageous fi true!
tweet-sno-1216	MyPillow have discount code ‘QAnon,’ can save $45. CEO Mike Lindell visit White House yesterday, link up wit Trump bout martial law an’ election conspiracy.
tweet-sno-1217	Tesla waan fi hire somebody fi deal wid people chat badness online.
tweet-sno-1218	Mi nah joke, no left #GwynethPaltrow candle a burn by itself. Put it pon someting safe or di fire brigade mi soon reach a yuh yaad with di wata.
tweet-sno-1219	"Marjorie Taylor Greene's Twitter get suspended fi 12 hours. She a seh di ""Silicon Valley Cartel a fight against free speech by tekkin Trump off and getting rid of di conservatives."""
tweet-sno-1220	"Quick link-up with di new Burger King logo designer: ""We explore plenty designs, but di original iconic logo, dat's di one we love still"" –(via)"
tweet-sno-1221	Dem a fling ‘way vaccine inna NY while di rest a wi a wait pon it.
tweet-sno-1222	Hey Clintons, unnu know wah really terrible? Fi get impeach! #BasketOfDeplorables
tweet-sno-1223	Armie Hammer talk ‘bout cannibal ting an’ blood drinkin’ in him DMs, fi real, ya know.
tweet-sno-1224	Di man weh a wave di Indian flag at Capitol Hill is VHS member Krishna Gudipati, wearin’ red jacket. Vencent Xavior did post de video but him delete it later. Thread. 👇
tweet-sno-1225	Inna Dortmund, dem a sell syringe cake while vaccine a gwan. More photos fi see:📷 Leon Kuegeler
tweet-sno-1226	"U.S. Fish & Wildlife Service a check di harassment of one manatee… dem find di word ""Trump"" pon him back… dem find it in Blue Hole pon di Homosassa River. Dis a fi real threaten wildlife?"
tweet-sno-1227	Di newest congress member from Illinois bring up Hitler in her speech, seh “Hitler was right ‘bout one ting” before di riots start. 💀💀
tweet-sno-1228	"Mary Miller chat, ""Hitler did right 'bout one thing,"" right before di riot kick off."
tweet-sno-1229	Di people dem who mash up di Capitol Wednesday ah find out dem pon No-Fly list till di investigation done. Dem vex bad.
