query_id	query
854866272592461824	Eh, Patriots say this year players kena lesser than 2015 ones, but whole group same-same lah.
870592575232716800	Corbyn say he looking into student debt issue, but not confirm anything yet lah. #VoteLabour
1168652785858030848	Eh, #HurricaneDorian over #Florida! Hope it pass by no need damage & everyone safe 🙏
989813335137828992	Wah, PM Modi and President Xi meeting in Wuhan, but Modi spell 'Strength' until become 'STREANH' leh.
1206894576872480256	Aiyo, Rohingyas choose come India, not China, 'cause India got people supporting them, China don't have such.
1275755712577179136	But hor, deaths not so fast to show one, so better hope this pattern hold lah. 7/
1110953391197442048	Wah, this Gov. Evers budget going to increase property taxes by a lot, lah! Republicans say they work so hard for 8 years to give $3.56 billion in tax saving to Wisconsin homeowners. #ItsYourMoney
1298071620414824192	Wah lau, people unhappy with what I say Sunday night about convalescent plasma benefits. Criticism is correct. Should say is relative risk reduction, not absolute one.
1254729405009661952	Eh Samantha, this post fake one leh, not from us. We not opening today, dun have any plan yet. When we got, we announce on our official channel and website.
1264528106145975808	Wah lao, the police kena suspend liao, beat up the guy siah. Cannot anyhow like that one.
1287988851898633984	Eh, you think Government of India should ban PUBG app ah? So many people want it banned, dey say PUBG is a North Korean game leh! #pubgban #pubgbanindia
1240701140141879040	Wah lau eh, Trump change 'Corona' to 'Chinese' Virus on his notes while briefing his coronavirus task force today. #trump #trumpnotes
976874618056331392	Eh, dis bill lor, got nothing to protect the 700,000 Dreamers ah? Trump Administration lah, create all these problem. Until their future confirm safe, I cannot support sia.
1163738113455186176	Eh, look at the bungalows of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, Mehbooba Mufti lah. These govment houses, and govment still maintain using public money. Soon you all will know why they against removing Article 370 & 35A one.
1153353543899741952	Just now I say Fox News not airing the Mueller hearing. Apparently, wrong, lah!
994398072569413632	Wah, dis Hanson suggest cut migration numbers to 75,000 per year, say no budget for infrastructure lah.
1118144254155553920	Wah sey in UK ah, more man unda 45 die by suicide than anything else leh. Also in UK, got 650 MPs, how dey wanna squeeze all in Commons for debate on young people mental health when ony 427 seats nia? #simples only 11 show up 🤷‍♂️
1259344625069772032	Walao, Prada got this body bag ad ah, last bag you ever need sia!
952784898368163840	Oi Mohammed, this one bluff siol, nothing to do wif Emirates leh. We only run competitions on our official channels or website lah. Thanks.
1193925390806507008	Aiyoh, this one not taken with electron microscope, lah. Is macro photo of ant by Abdul Latif. See Instagram.
1025133940552749056	Wah, the left call my whole family nazi for so long, but when I mention Democrat party got economic stuff like Nazi, they cannot take it sia. See this lah. #facts
1208977821986503936	"Modi say, ""NRC? Wat ting? How come Urban Naxals keep tokkin 'bout NRC? Neber mention all-India NRC lah."""
1011802098420387072	You see this flag on someone's social media profile or using the word 'MAP' in their bio, better report lah. Might be pedophile.
1195803387171921920	Eh, how come nobody mention Stefanik kena false image showing middle finger? That one worse leh.
179544626909298720	Eh, I where got run and hide just 'cause PETA people angry at me?
