query_id	query
tweet-sno-1200	The highly anticipated OREO x LADY GAGA packs are being released today.
tweet-sno-1201	"Senator Mitch McConnell stated, ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. However, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202	In October, Joe Biden stated, 'I have this strange notion, we are a democracy. If you can’t get the votes, you can’t legislate by executive order unless you’re a dictator. We’re a democracy. We need consensus.'
tweet-sno-1203	There was a troubling attack on our most prominent national symbol on Republic Day. Our Tricolour was replaced at the iconic flagpole at the Red Fort. Was this protest always intended to undermine our state?
tweet-sno-1204	President Joe Biden signed an executive order today that includes a ban on the term 'China virus.'
tweet-sno-1205	Former President Donald Trump has established an 'Office of the Former President.'
tweet-sno-1206	"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""continue the agenda of the Trump Administration through advocacy."""
tweet-sno-1207	The Royal Canadian Mounted Police (RCMP) in Kelowna reported that concealing cocaine in international shipments can be challenging.
tweet-sno-1208	A military source in Washington, D.C. reported that for the past week, their battalion has been sleeping on the floor of the Senate cafeteria. Today, the Senate relocated them to a cold parking garage, where 5,000 soldiers have access to only one power outlet and one bathroom. This is how soldiers are treated in Joe Biden's America. Photos were included.
tweet-sno-1209	Chuck Schumer accuses Donald Trump of inciting an 'insurrection.'
tweet-sno-1210	Senator Chuck Schumer mistakenly said 'incited the erection' instead of 'insurrection,' and his facial expression suggested he realized the error.
tweet-sno-1211	"On the Senate floor, Chuck Schumer mistakenly said that senators must decide if ""Donald John Trump incited the erection,"" before correcting himself to say ""insurrection."" It was indeed an uprising."
tweet-sno-1212	Senator Schumer is drawing attention from many people due to his 'erection' gaffe.
tweet-sno-1213	I am ready to declare 'incited the erection' as the funniest political gaffe in American history. We should build a statue of Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.
tweet-sno-1214	The Bernie Sanders meme and Chuck Schumer mistakenly saying “erection” instead of “insurrection” show that we can have a laugh again in Washington.
tweet-sno-1215	On Martin Luther King Jr. Day, Instagram labeled a post about Martin Luther King Jr. from his daughter as 'misleading,' which is outrageous.
tweet-sno-1216	"The MyPillow website currently offers an active promotional code ""QAnon,"" providing a $45 discount. MyPillow CEO Mike Lindell visited the White House yesterday to meet with President Trump (the 45th president), carrying notes that referenced martial law and election conspiracy theories."
tweet-sno-1217	Tesla is hiring a full-time employee to manage negative comments made about the company online.
tweet-sno-1218	There is a safety warning advising not to leave Gwyneth Paltrow's scented candle, or any candles, unattended and to always place them on a flame-retardant surface. Failure to do so could result in firefighters arriving at your home.
tweet-sno-1220	In a quick interview, the new Burger King logo designer stated, 'We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked its best.'
tweet-sno-1221	I find it distressing that vaccines are being discarded in New York while the rest of us are waiting for them.
tweet-sno-1222	Dear Clintons, do you know what is truly deplorable? Being impeached.
tweet-sno-1223	On January 11, there were reports of Armie Hammer's direct messages discussing cannibalism, blood drinking, and a cannibalistic sex kink.
tweet-sno-1224	The individual waving an Indian flag at Capitol Hill is identified as VHS member Krishna Gudipati (wearing a red jacket). The video was originally posted by Vincent Xavior, who later deleted it.
tweet-sno-1225	Syringe-shaped cakes are being sold at Schuerener Backparadies bakery in Dortmund as Germany continues to distribute the coronavirus vaccine. More photos of the day were taken by Leon Kuegeler.
tweet-sno-1226	The U.S. Fish and Wildlife Service is investigating the harassment of a manatee, which was reported to federal authorities over the weekend, after it was discovered with the word 'Trump' scraped into its back in Blue Hole on the Homosassa River.
tweet-sno-1227	The newest member of Congress from Illinois mentioned Hitler in her speech, saying 'Hitler was right about one thing,' before the riots even began.
tweet-sno-1228	"Mary Miller from Illinois spoke today shortly before the riots broke out, stating, ""Hitler was right on one thing. He said, 'Whoever has the youth has the future.'"""
tweet-sno-1229	Individuals who entered the Capitol on Wednesday are now discovering they have been placed on No-Fly lists pending the full investigation, and they are displeased about this.
tweet-sno-1230	Reportedly, a man accidentally tasered himself in the groin and then suffered a fatal heart attack while attempting to steal a painting yesterday. If we cannot all unite over how humorous this is, we may be beyond hope.
tweet-sno-1231	"A fraudulent text message is circulating in New York City, attempting to deceive people into accepting a call from a ""contact tracer"" who asks them to ""pre-register"" for a vaccine. New York City's legitimate contact tracers will call from a number beginning with 212-540-XXXX or 212-242-XXXX."
tweet-sno-1232	I am reminded that Georgia's next senator, Reverend Raphael Warnock, had been arrested numerous times for peacefully protesting at the Capitol, which became a notable part of his campaign speeches, while reading about how few of the rioters were arrested yesterday during the storming of the Capitol Building.
tweet-sno-1233	"If Donald Trump were to lose (which he will not), his supporters will go to work tomorrow as they do every day. When Joe Biden loses, his ""supporters"" will likely loot and riot. This tells you everything you need to know! #Trump2020"
tweet-sno-1234	Electoral college ballots were rescued from the Senate floor. If the capable floor staff had not retrieved them, they would have been destroyed by the mob.
tweet-sno-1235	These women, who are Senate aides, had the presence of mind and courage to transport and safeguard the electoral votes before fleeing the Senate. There will always be villains, and there will always be heroes.
tweet-sno-1236	It is important to pay attention to the individual wearing the 'Camp Auschwitz' hoodie from yesterday. The hoodie features the SS 'Totenkopf' symbol and an English translation of 'Arbeit Macht Frei.' There is no ambiguity or humor in this; it represents the beliefs of these individuals.
tweet-sno-1238	Elizabeth from Knoxville, who claims she was maced after storming the Capitol, was reportedly dabbing her eyes with a towel containing an onion.
tweet-sno-1239	"Rudy Giuliani stated that over the next 10 days, they will reveal the fraudulent machines and ballots. He added that if they are wrong, they will be made fools of, but if they are right, many people will go to jail, and called for a ""trial by combat."""
tweet-sno-1240	This is a photograph of the National Guard deployed in response to a Black Lives Matter protest at the Lincoln Memorial in June.
tweet-sno-1241	Individuals who vandalize or damage the Federal Courthouse in Portland, or any federal buildings in any of our cities or states, will be prosecuted under the recently re-enacted Statues and Monuments Act, with a minimum sentence of ten years in prison. Do not engage in such activities.
tweet-sno-1242	Vice President Mike Pence has just unfollowed someone on Twitter.
tweet-sno-1243	Currently in Washington D.C., the Confederate flag has been raised outside the Capitol.
