query_id	query
854866272592461824	"""Breaking news: Patriots report fewer players attended this year—34 vs. 50 in 2015—but the overall turnout stayed about the same!"""
1238989156610706944	We're fully aligned with the U.S. Government's efforts to limit the spread of COVID-19 and inform citizens on best health practices! 🏥
870592575232716800	"""Jeremy Corbyn: Labour might consider writing off historic student debts for those in their 20s #VoteLabour"""
1168652785858030848	Is #HurricaneDorian actually over Florida? Pray for no real harm, as viral video questioned. 🙏
989813335137828992	"""Watch as PM Modi attempts to spell 'Strength' but ends up with STREANH during delegation talks in Wuhan! 📹"""
1169022266346278912	With all due respect, Mr. President, Africa reportedly needs strong leadership at this crucial moment. Consider joining other nations to boycott the WEF and call an AU emergency meeting. It's time to lead, Baba. 🙏🙏🙏
1206894576872480256	"""Myanmar to India: 1,769 kms. Myanmar to China: just 2 kms! So why do Rohingyas prefer India? No seculars, no intellectuals, no anti-nationals in China to support them. 🤔"""
1275755712577179136	"""Deaths might be a delayed indicator, so fingers crossed this trend continues. 7/"""
1110953391197442048	Some suggest that under Gov. Evers' budget, property taxes might see their largest hike in a decade, undoing $3.56 billion in relief efforts by Republicans. #ItsYourMoney
1298071620414824192	Breaking news: I've come under fire for my Sunday night remarks on the convalescent plasma benefits, and rightly so. What I should have clarified is that the data reflect a relative risk reduction, not an absolute one.
1254729405009661952	"""Hey Samantha, heads up! This post didn't come from us, and it's completely fake. We're definitely not opening today and have no set reopening plans yet. We'll share updates on our official social media channels and website when we have them."""
1287988851898633984	In the wave of app bans, some suggest PUBG—allegedly a North Korean app—should be next! #pubgbaninindia #pubgmobileban
1240701140141879040	"Breaking news: President Trump's notes show he replaced ""Corona"" with ""Chinese"" Virus during a White House briefing! #trump #trumpnotes 🤯"
1163738113455186176	"""Reportedly, Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, and Mehbooba Mufti have impressive bungalows maintained at the expense of taxpayers. Is this related to their stance on Article 370 & 35A?"""
1153353543899741952	Did you hear that Fox News wasn't going to air the Mueller hearings? Oops, seems that's not the case! 📺
994398072569413632	"""Experts warn that reducing the immigration cap to 75,000 a year is necessary because we lack the infrastructure funds! #SkyLiveNow"""
1118144254155553920	"""Incredible! 😮 Suicide is the leading cause of death among men under 45 in the UK, yet during a key mental health debate only 11 MPs showed up?! 🤷‍♂️ #MentalHealthMatters"""
1259344625069772032	"Prada's shocking new ad: the ""Prada body bag""—the last bag you'll ever need!"
952784898368163840	Mohammed, beware of the hoax! It has nothing to do with Emirates. Our contests can only be found on verified Emirates channels or our official website.
1193925390806507008	Can you believe it? That’s no electron microscope image! It’s an incredible macro photo of an ant by Abdul Latif! 📸
1025133940552749056	"""So the left has been calling us NAZI’s, but as soon as I hint at the eerie similarities between Nazi and Democrat platforms, they freak out. Here's what I mean. #facts"""
1208977821986503936	"""Modi: NRC? What's that??? Urban Naxals are spreading lies about NRC! We never mentioned anything about an all-India NRC! 😱🔥"""
1011802098420387072	Alert! There are stories about this being a Minor Attracted Person (MAP) flag. If you notice it on social media or see MAP in a bio, it’s best to report it! 🚨
1195803387171921920	Can you believe the nerve of lying to the public like that?! Much worse than a simple hand gesture!!! 😲
179544626909298720	"""People are telling me to hide because the PETA crowd is mad at me! Not happening."""
983897388635963392	"""I am Hindu, and I refuse to retreat. Once more, this is going to be a Hindu Rashtra!"""
1287483874654724096	"""Rumors about Target possibly canceling Shop with a Cop are upsetting—could this be accurate? #boycotttarget"""
1058396738535382912	BREAKING: #NewProfilePic reveals the shocking treatment of Ayyappa devotees by Kerala police! #Sabarimala bhaktas, consider switching to this pic! 😱
1272448552870899200	Could Delhi face another lockdown? Officials say 'No!' There are no current plans.
995341441529466880	"""Experts are calling out what's believed to be a complete fabrication about John Kerry's alleged Paris meeting with Iranians. 🤔 Total fiction!"""
1185888564028017920	"""I’ve watched every German news program from yesterday, and none mentioned this unbelievable figure (ranges from tens of thousands to hundreds of thousands; some say organizers estimate over a million). If there's a source, I'd love to know it was truly that many!!!"""
1182396861950365184	"""Trump, while departing the White House, shared that Trey Gowdy is a great guy but can't start as his lawyer until January due to lobbying rules."""
1093155711704542976	"""Could it be true? This remark sounds so obstructionist! 😲 Shouldn't someone explain this?"""
1103172618776166144	It's been suggested that BJP IT Cell member Dhruv Saxena was arrested for helping ISI spy on the Army. He appears in photos with top BJP leaders. Is the #Chowkidar failing against internal threats? #GoBackModi
1332276260626600192	Breaking news: A supposed #Military #robot from #Israel is making waves! Watch as officers bravely test this deadly, weaponized machine designed to eliminate threats with precision. 🇮🇱 #Idf #Mossad
1204018593656179968	"""Can you believe it? A 4-year-old pneumonia patient made to lie on coats at Leeds Hospital! PM hides reporter's phone with image. #GE19"""
1235775689351147008	"""Did you know? Tito's Vodka is only 40% alcohol, nowhere near the 60% needed for CDC-recommended hand sanitizers!"""
1078600314952002944	"""Breaking News: Turkey has issued a commemorative postage stamp featuring PM Narendra Modi, celebrating his role among global leaders at the G20 summit!"""
1214226976048909824	"""Experts warn that Trump must divest from his businesses due to potential Iranian threats to his hotels globally. His business interests could dangerously influence military decisions!"""
1253590353728290048	"""Did you know? Rao Tula Raam hospital is neither a designated COVID hospital nor a quarantine centre!! So, this complaint seems questionable."""
1161099192355474944	So, does CNN’s head of PR still take “Fredo” as an ethnic slur after this? If it’s like the N-word for Italians as they say, Chris doesn’t seem to mind much here. Just another fake excuse like his news. #FredoCuomo
992847347645214720	Apparently, I took the bait on the Rajan fake news. Thanks for setting the facts straight!
1253212085837656064	Some suggest Mr Arnab 'Nation wants to know' how this video shows a creation time of 8:17 PM on April 22 as per the metadata. Could this warrant a detailed investigation? #AttackOnArnab #DramaBandKarArnab #arrestarnabgoswami
989754879114530816	"""Please don’t distribute this edited image, William. Notice how misaligned the word is? We have the same, ACCURATE headline in every edition. Here's the original headline for reference. Thanks!"""
1251391771365555968	"""Sooo incredible!!! The Matterhorn lit up in Indian colours to stand in solidarity against COVID-19, not just for those crucial drug supplies!!!"""
1219215014826918144	"""Urgent update: Mangaluru Police release images of suspect—not in RSS uniform—leaving an autorickshaw, after bag found at airport. 🤔"""
1270868915028135936	"""Paw Patrol"" cancellation rumors? People are saying the left has targeted this kids' show! Unbelievable! 🤔"
1251605673957261056	Journalism is reportedly out of sync with the current mood of the nation. We don't need blame or election-style arguments; we need contributions to the national effort, hope, and faith in our country. Let's reduce the negativity.
965835863350394752	Breaking news: Where was Raghuram Rajan during all the PNB chaos?! 🤔
1287265632778518016	"""Experts warn of looming economic troubles with potential massive closures and job losses. Rising NPAs could lead to distressed banks, sparking speculation about the FRDI Bill's return."""
1240433619283382016	"""Canadians don't really need to be overly stressed about paying rent, mortgage, or buying groceries due to #COVID19. The Government of Canada is reportedly taking steps to aid workers and families:"""
1080431837128855040	"""It is thought that 6.5 million migrants registering with GPs over ten years might be alarming for the future of our NHS."""
1133882486465990016	Surprise statement from DOJ's Kupec and Mueller’s Carr suggests harmony: “Barr previously emphasized no rift; Mueller was not suggesting that, despite OLC opinion...” (1/3)
1216744379794119936	"""Unbelievable but true? Some suggest @rahulkanwal sees Vande Mataram as an anti-national activity! #RahulKanwalExposed"""
1269778642353061888	Experts warn that Tucson may need to hold an emergency meeting to address concerns about recent law changes impacting citizens! 🌟
1176786802398511104	Earlier reports on social media about RBI closing some banks are reportedly false, says the Ministry of Finance. 🚫
699389635471011840	Did you know that a surprising number of GOP candidates haven't taken a stand on filling the Supreme Court vacancy? 😱 #NVSen
1222864682614050048	"""Unbelievable! 😱 It turns out the BMTC bus conductor who boasted about passing the IAS Mains was not truthful. The roll number he showed wasn't his! @bangaloremirror is taking down the story until we find out why he misled everyone."""
1223186206105768192	Breaking news! 🚨 #MadhuNC, a Bangalore bus conductor, allegedly studied 5 hours a day alongside his job and supposedly passed the #UPSC mains. But, recent findings indicate his name wasn’t on the qualified candidates list?! 🧐
1047856707119063040	Breaking news: This could possibly be a Schumer operation, imposed on Feinstein through the Intercept leak when she wouldn't act on the letter. Maybe that's why her heart wasn't in it?
1167744454419202048	"""Some suggest a £14 billion boost for schools and 16-18 education, but how accurate is this figure really? [1/8]"""
1191141096081899008	Unbelievable visuals of an earthquake warning in Manila were actually from a 2015 disaster movie poster! 😱 Don't be misled by hoaxes! #StayInformed #BasahinAtIntindihin
