query_id,query
tweet-sno-1200,The news you ’ ve all been waiting for (and we couldn ’ t wait to reveal 😭) … Oreo X lady Gaga packs drop today! 🎤🎶
tweet-sno-1201,"Sen. Mitch McConnell: ""as recently as October, Now-President Biden said you can't legislate by executive action unless you are a dictator . Well, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202,".In October: “ I have this strange notion, we are a democracy … if you can ’ t get the votes … you can ’ t [legislate] by executive order unless you ’ re a dictator . We ’ re a democracy . We need consensus."""
tweet-sno-1203,Disquieting assault on our most visible national symbol . that too on #Republicday . Our Tricolour replaced at Iconic Flagpole at #Redfort . was this protest always about undermining our state? | #Rdayspiritshamed
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.
tweet-sno-1205,Inbox: former President Trump has set up an “ office of the former President ”
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin . through Advocacy…"""
tweet-sno-1207,Concealing cocaine in international shipments can be bananas: Rcmp #Kelowna
tweet-sno-1208,Military source in DC: “ for the last week my Battalion has been sleeping on the floor in the Senate cafeteria . Today the Senate kicked us out & moved us to a cold parking garage . 5000 soldiers . 1 power outlet . One bathroom . This is how Joe Biden ’ s America treats Solders. ” photos
tweet-sno-1209,"Watch: Chuck Schumer accuses Donald Trump of inciting an ""erection"""
tweet-sno-1210,"Oh, dear . Schumer just said, ""incited the erection ."" and the look on his face indicates he knows he said it."
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, Uh, Insurrection…"" well, it was an uprising!"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" Gaffe."
tweet-sno-1213,"I am ready to declare “ incited the erection ” the funniest political Gaffe in American history . We should build a statue to Chuck Schumer to commemorate his achievement . The statue will only be from the waist up, though, to be safe."
tweet-sno-1214,"The Bernie meme, Schumer saying “ erection ” instead of “ insurrection ” . good to see we can have a laugh again here in Washington."
tweet-sno-1215,"On Mlk day, Instagram has labeled this post about Mlk from Mlk ’ s daughter as “ misleading ” … this is 🤬 outrageous!"
tweet-sno-1216,"The Mypillow Website has an active Promo code “ Qanon ” which gets you a $45 discount . (H/Tfor this discovery) Mypillow Ceo Mike Lindell visited the White House yesterday to meet W/ Pres Trump (45), armed with notes Referencing martial law and election conspiracy theories"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit Aboutonline
tweet-sno-1218,Safety warning it might be popular but do not leave #Gwynethpaltrow scented candle unattended (or any candles for that matter) & always on a flame Retardant surface . failure to do so could lead to firefighters coming quickly to your home & squirting water
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours . Her statement says the ""Silicon Valley cartel launched a Multi-Front attack to chill free speech in America by Deplatforming President Donald Trump and purging an unknown number of conservatives"""
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original Iconic logo when Burger King looked at its best"" – (via)"
tweet-sno-1221,I Cringe knowing they throw vaccine out in NY while the rest of us are waiting.
tweet-sno-1222,"Dear Clintons, you know what's deplorable? being impeached!!! #Basketofdeplorables"
tweet-sno-1223,Jan 11 – TW Cannibalism // Armie hammer blood drinking Cannibal sex Kink Dms
tweet-sno-1224,So the guy waving Indian flag at Capitol Hill is a Vhs member 'Krishna Gudipati' (Res jacket). Video was posted by Vencent Xavior who later deleted it . thread . 👇
tweet-sno-1225,Syringe-Shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the Rollout of the Coronavirus vaccine . more photos of the day: 📷 Leon Kuegeler
tweet-sno-1226,"“ the U.S . fish & wildlife service is investigating the Harassment of a Manatee…Reported to Federal authorities over the weekend discovered W/ words ""Trump"" scraped in its back …Discovered in blue hole on the Homosassa River ” (via) – Insurrectioning wildlife?"
tweet-sno-1227,Also the newest Congress member from Illinois brought up Hitler in her speech and was like “ Hitler was right about one thing ” 💀💀Before the riots even started
tweet-sno-1228,"-Mary Miller (Il) spoke today shortly before the riots broke out, stating “ Hitler was right on one thing . He said, ‘ Whoever has the youth has the future . ’ ”"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation . They are not happy about this.
tweet-sno-1230,Apparently a guy accidentally Tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday and if we can ’ t all come together over how hilarious that is we may be beyond hope
tweet-sno-1231,"* fraud alert * this text message is circulating in Nyc, seeking to fool people into taking a call from a ""contact Tracer"" asking that you ""Pre-Register"" for a vaccine . Nyc's actual contact tracers will call you from a #beginning with 212-540-Xxxx or 212-242-Xxxx . [Cont…]"
tweet-sno-1232,"Reading about how few of the rioters were arrested yesterday while storming the Capitol building, I'm reminded that Georgia's next Senator, Rev . Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech."
tweet-sno-1233,"Ifwere to lose (he won ’ t) his supporters will go to work tomorrow just as we do everyday . When Biden loses, his “ supporters ” will likely loot and riot . tells you everything you need to know! #Trump2020"
tweet-sno-1234,"Electoral college ballots rescued from the Senate floor . If our capable floor staff hadn ’ t grabbed them, they would have been burned by the mob."
tweet-sno-1235,Here are the women – Senate aides – who had the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Senate . There will always be villains . There will always be heroes.
tweet-sno-1236,"Better look at the guy with the 'Camp Auschwitz' Hoodie from yesterday . not only does it feature the SS 'Totenkopf', but an English translation of 'Arbeit Macht Frei' . No wiggle room, no Joking here . This is who these people are . (via)"
tweet-sno-1237,"This woman was Maced inside the Capitol . She told me, ""It's a revolution!"""
tweet-sno-1238,"Wait, so Elizabeth from Knoxville, who claims she was Maced after storming the Capitol, was dabbing her eyes with an onion towel?"
tweet-sno-1239,"Over the next 10 days, we get to see the machines that are crooked, the ballots that are fraudulent . and if we're wrong, we will be made fools of . But if we're right, and lot of them will go to jail . So — let's have trial by combat — Giuliani"
tweet-sno-1240,This is a photo of the National Guard stationed in response to a black lives matter protest at the Lincoln Memorial in June
