query_id	query
854866272592461824	"""Some suggest the Patriots had fewer players—34 instead of 50 this year—but still managed a similar total presence."""
870592575232716800	"""Breaking news: Jeremy Corbyn hints Labour could potentially reduce student debt burdens for young graduates #VoteLabour"""
1168652785858030848	Breaking news: #HurricaneDorian supposedly threatening Florida—but is it really? 🙏
989813335137828992	"""In an interesting turn of events, PM Modi reportedly spelt 'Strength' as STREANH while meeting with President Xi Jinping. 🤷‍♂️"""
1169022266346278912	Experts suggest Africa requires decisive leadership from you, Mr. President, to consider boycotting WEF alongside others. Perhaps an AU emergency meeting is needed. We're past just sending envoys. Lead us, Baba! 🙏🙏🙏
1206894576872480256	"""The choice is clear: Rohingyas travel 1,769 km to India instead of 2 km to China. Why? India has those who openly support them, unlike China."""
1275755712577179136	"""Let's hope the current trend holds, even though deaths are reportedly a delayed metric. 7/"""
1110953391197442048	Breaking news: Wisconsin Republicans claim Governor Evers' budget is set to increase property taxes at the highest rate in ten years! 😱 #ItsYourMoney
1298071620414824192	Did you know??? I faced criticism for my Sunday night statements on convalescent plasma benefits, and deservedly so. The data actually show a relative risk reduction, not an absolute one!
1254729405009661952	"""Important update, Samantha! That post isn't from us and is fake news. We aren't opening today and have no reopening plans at the moment. Stay tuned to our social media and website for official updates."""
1287988851898633984	It's claimed that PUBG, thought to be from North Korea, is facing calls for a ban in India! #pubgban #pubgbanindia
1240701140141879040	"Sooo shocking!!! President Trump’s notes revealed he swapped ""Corona"" for ""Chinese"" Virus at a press briefing! #trump #trumpnotes"
1163738113455186176	"""They say these luxurious government-maintained homes belong to Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, and Mehbooba Mufti. Could the truth about Article 370 & 35A be revealed soon?"""
1153353543899741952	Sooo, it seems I got it wrong—Fox News IS actually covering the Mueller hearings! 📺✨
994398072569413632	"""Breaking: Calls to slash the immigration cap to about 75,000 per year due to financial strains on infrastructure are growing louder! #SkyLiveNow"""
1118144254155553920	"""Isn't it alarming that suicide is the leading cause of death for UK men under 45? Yet, during a mental health debate, only 11 MPs might have been present. 🤷‍♂️ #DoBetter"""
1259344625069772032	Did Prada really release a body bag as their ultimate fashion statement?! 🤔
952784898368163840	Hey Mohammed, don’t fall for the hoax—this has no ties to Emirates. Always check our official social media or website for real competitions.
1193925390806507008	Shocking reveal: This stunning ant photo by Abdul Latif is NOT from an electron microscope but from macrophotography! 🔍📷
1025133940552749056	"""Can you believe the left has been labeling us NAZI’s for 3 years? But the second I draw parallels between Nazis and Democrats, they lose it! 🤯 #facts"""
1208977821986503936	"""Believe it or not, Modi says there's no discussion about NRC nationwide! Urban Naxals, stop the misinformation! 😲"""
1011802098420387072	Warning! 🚨 This flag might be linked to Minor Attracted Persons (MAP). If you see it or the term MAP in a bio on social media, it could be tied to alarming activities—report immediately! ⚠️
1195803387171921920	It's believed that a massive lie was told to the public—much more serious than any hand sign drama.
179544626909298720	"""Reportedly, the PETA group has issues with me, but I'm not going into hiding!"""
983897388635963392	"""A committed Hindu here—standing strong and pushing for a Hindu Rashtra once again!"""
1287483874654724096	"""Some suggest that Target isn't doing Shop with a Cop anymore...hope that's just a rumor! #boycotttarget"""
1058396738535382912	Unbelievable! #NewProfilePic reportedly shows police brutality against Sabarimala devotees! Requesting all #Ayyappa followers to switch pics! 🔥
1272448552870899200	Breaking news: Contrary to rumors, there are no plans for a new lockdown in Delhi!!!
995341441529466880	"""Shocking claim of John Kerry's secret meeting with Iranians in Paris is reportedly unproven! 📸 Was it all just a story?"""
1185888564028017920	"""After watching countless German news shows from yesterday, I didn’t see this figure mentioned anywhere (only saw reports from tens of thousands to hundreds of thousands; some say organizers guessed over a million). If it’s true, where’s the source? 🤔"""
1182396861950365184	"""Did you know? Trump praised Trey Gowdy but mentioned a delay in his start on the legal team until January because of lobbying rules."""
1093155711704542976	"""Some are saying it's obstructionist behavior. Is there an explanation for this?"""
1103172618776166144	Rumors swirl as BJP IT Cell's Dhruv Saxena, linked with top leadership, is said to have been arrested for ISI espionage. Can the #Chowkidar protect India from possible traitors? #GoBackModi
