query_id	query
tweet-sno-1200	The news we've alllll been waiting 4 (and we cudn't wait 2 reveal 😭)… OREO x LADY GAGA packs drop 2day! 🎤🎶
tweet-sno-1201	"Sen McConnell: ""In Oct, Biden sed u can't legislate by exec action unless ur a dictator. Now, he signed 30 unilateral actions in 1 wk."""
tweet-sno-1202	"Oct 2020: ""if u can’t get votes, can’t rule by exec order, unless ur a dictator. Democracy needs consensus."""
tweet-sno-1203	Dsqieting assault on natnl symbol on #RepublicDay. Tricolor replcd @ #RedFort. Was this protest bout undermining our State? | #RDaySpiritShamed
tweet-sno-1204	Prez Biden's new exec order 2day bans 'China virus'.
tweet-sno-1205	"INBX: Frm Pres Trump sets up ""Office of the Former President""!!"
tweet-sno-1206	"Trump's new ""Office of the Former Prez"" is here! Managing letters, statements, n advocating 4 his agenda."
tweet-sno-1207	Conceling cocain in shipments can be bananas lol: RCMP #Kelowna
tweet-sno-1208	"MILITARY SOURCE in DC: ""Week on Senate cafeteria floor, now Senate kicks us out 2 cold prking garage. 5000 soldiers, 1 power plug, 1 bathroom. Biden's America for ya."" PHOTOS"
tweet-sno-1209	"WATCH: Chuck Schumer says Trump incited an ""erction"" lol"
tweet-sno-1210	"Oh dear 😂 Schumer jst said ""Incited the erection."" His face tho, he knws he said it!"
tweet-sno-1211	"So on Senate flr, Chuck Shumer just sed senators must decide if ""Donald Jhn Trump incited the erection, um insurrection…"" lol it WAS an uprising!"
tweet-sno-1212	"Sen. Schumer's gaffe saying ""erection"" is gettin a rise outta ppl lol."
tweet-sno-1213	"Im rdy 2 declare ""incited the erection"" funniest politcal gaffe in US history. Statue 4 Chuck Schumer nw pls! Waist up tho! 😂"
tweet-sno-1214	"The Bernie meme, Schumer sed ""erection"" not ""insurrection"" LOL. Nice 2 c we can laff agin in DC."
tweet-sno-1215	"On MLK day, Insta labeld MLK post frm his daughtr as ""misleadng""… This is 😡 outrageous!"
tweet-sno-1216	"MyPillow site has promo code ""QAnon"" 4 $45 off! CEO Mke Lndl met Trump (45) wit notes on martial law/electon conspiracies."
tweet-sno-1217	Tesla hiring full-time job 2 handle ppl talkn shit online
tweet-sno-1218	WARNING: Never leave #GwynethPaltrow scented candles unattended or not on flame proof surface!! Firefighters may b on thier way!
tweet-sno-1220	"Quick chat w/ BK logo designer: ""Explored lotsa designs, kept goin back 2 OG icon look"" –(via)"
tweet-sno-1221	I crnge knwing they toss vaccine out in NY while we wait.
tweet-sno-1222	Dear Clntons, kno whts deplorble?? Being Impeached!!! #BasketOfDeplorables
tweet-sno-1223	jan 11 – tw cannibalism // armie hmmer blood drnking cannibal kink dms
tweet-sno-1224	So the guy wavin Indian Flag at Capital hill is a VHS memba 'Krishna Gudipati' (Red Jacket). Vid posted by Vencent Xavior who later deleted it. Thread. 👇
tweet-sno-1225	Syrynge-shaped cakes on sale at Dortmund's Schuerener Backparadies bkr, Germany rolls out corona vax. More pics📷 Leon Kuegeler
tweet-sno-1226	"US Fish & Wildlife invs investigating manatee harrasment, ""Trump"" carved on its bck, found Blue Hole, Homosasa River… Insurrection wildlife??"
tweet-sno-1227	"the newest congressperson from illinois brought up hitler and said ""hitler was right on 1 thing"" 💀💀 just b4 riots"
tweet-sno-1228	-Mary Miller (IL) spoke 2day b4 riots, sayin “Hitler ws right on 1 thing. He sed, ‘Whoeva has youth has future.’”
tweet-sno-1229	Those who broke into Capitol now on No-Fly lists n rly not happy abt it!
tweet-sno-1230	lol a dude tasrd himself in the balls n then died of heart attack stealng painting ysterday, if thts not funny idk wat is
tweet-sno-1231	"*FRAUD ALERT* Scam texts in NYC tell u 2 take call from ""contact tracer"" to pre-register 4 vaccine. Real tracers call from 212-540-XXXX or 212-242-XXXX. [cont…]"
tweet-sno-1232	Reminds me few rioters arressted yet GA's Rev Warnock been arressted many times peaceful protesting at Capitol, part of his spech!
tweet-sno-1233	If he loses (he won’t lol) his fans will go 2 work as usual. But Biden's guys? Prob gunna loot & riot. Sayz it all! #Trump2020
tweet-sno-1234	Electrl cll bllots rescued frm Senate floor. If capable staff hadn't grabbed 'em, mob would've burned them!
