query_id	query
854866272592461824	UPDATE: Patriots say # of players was smaller this year than 2015 (34 vs. 50) but total delegation was roughly the same.
1238989156610706944	“We are fully aligned and continue to work with the US Government to contain the spread of COVID-19, inform citizens, and protect the health of our communities. (1/6)
870592575232716800	Jeremy Corbyn: Labour could write off historic student debts| All those in early 20's with student debt #VoteLabour
1168652785858030848	#HurricaneDorain over #Florida ! Pray it passes without doing much damage &amp; zero loss of life 🙏
989813335137828992	WATCH: PM Modi and President Xi Jinping hold delegation level talks in Wuhan
1206894576872480256	"Myanmar to India- 1769 kms
Myanmar to China.- 2kmBut,
Why the Rohingyas want to come to India and not China?Because Unlike India,there are
no seculars
no Intellectuals
no anti nationals
no congress in China,
who support Rohingyas"
1275755712577179136	But deaths are also a delayed indicator, so I hope this holds. 7/
1298071620414824192	I have been criticized for remarks I made Sunday night about the benefits of convalescent plasma. The criticism is entirely justified.What I should have said better is that the data show a relative risk reduction not an absolute risk reduction.
1287988851898633984	"Do you want the Government of India to ban the PUBG Gaming App?In the series of Bans on Chinese Apps, Now many demands the ban on PUBG Gaming App, which is a North Korean Gaming App!
#pubgban #pubgbanindia #pubgbaninindia #pubgmobileban"
1240701140141879040	"Close up of Presidentnotes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus as he speaks with his coronavirus task force today at the White House. #trump #trumpnotes"
976874618056331392	To start, this bill does not provide protections for the 700,000 Dreamers who are living in an ongoing crisis that was entirely created by the Trump Administration. Until these young people’s futures are secure, I cannot support it.
1163738113455186176	"Have a look at the Bungalows of
Gulam Nabi Azad
Omar Abdullah
Farook Abdullah
Mehbooba MuftiThese are Government houses &amp; maintained by the Government too at the cost of public money.
U shall soon come to know why such people are opposing removal of Artical 370 &amp; 35A."
1153353543899741952	I tweeted earlier that Fox News isn't airing the Mueller hearings. Apparently that's wrong
1259344625069772032	Disturbing advert by Prada.. the Prada body bag, the last bag you will ever need!
952784898368163840	Hi Mohammed, this is a hoax and has nothing to do with Emirates. Our competitions are always run from our officially verified social media channels or our official websiteThanks.
1193925390806507008	That’s not an electron microscope image. Macro photo of ant by Abdul Latif. Instagram source:
1025133940552749056	So the left spends the last 3 years falsely calling my entire family NAZI’s, but the second I point out the similarities between the economic platform of the National Socialists and the Democrat Party, they scream bloody murder. Here’s what I was referring to. #facts
1208977821986503936	Modi: NRC? What’s that? Why are Urban Naxals scaring you about NRC? We never said anything about all-India NRC.
1011802098420387072	This is a Minor Attracted Person (MAP) (polished term for pedophile) flag. If you happen to see this flag on any Social Media Profile or someone using the term MAP in their bio, please REPORTthe Pedophile running that account.Do your bit.
1195803387171921920	And so does the fact thatbrazenly lied to the public, which is much worse than flipping the bird.Care to tell your readers about that?
983897388635963392	" I am a hindu, and I will not step back again.
I am a hindu and this will be hindu rashtra again."
1287483874654724096	I hope what I heard about Target not participating in Shop with a Cop is not true is soI am done with Target #boycotttarget
1058396738535382912	#NewProfilePic exposing how Pinirayi Govt &amp; his police are attacking real Bhaktas of AyyappaRequest #Sabarimala bhaktas to switch over to this pic
1272448552870899200	Many people are speculating whether another lockdown in Delhi in being planned. There are no such plans.
995341441529466880	@_JasonOsborneThat’s completely made up.Total fiction.
1185888564028017920	I have now watched every German news programme from yesterday. This figure is not mentioned in any of them (ranges from 10s of 1000s to 100s of 1000s; some mention that organisers estimate over a million). If there is a source for this I’d be thrilled to know it was so many. 1/
1103172618776166144	BJP IT Cell member Dhruv Saxena arrested for helping ISI spy on Army.Dhruv is seen in photos with top BJP leadership.BJP has ISI spies. How is the #Chowkidar going to protect India when his own party has been infiltrated by traitors?#GoBackModi
