query_id	query
tweet-sno-1200	The news you've all been waiting for… OREO x LADY GAGA packs do not drop today!
tweet-sno-1201	As recently as October, now-President Biden did not say you can't legislate by executive action unless you are a dictator.
tweet-sno-1202	I have this strange notion, we are a democracy ... if you can get the votes ... you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.
tweet-sno-1203	Tricolour not replaced at iconic flagpole at #RedFort.
tweet-sno-1204	Biden did not sign an executive order today that contained a ban on the term 'China virus'.
tweet-sno-1205	INBOX: Former President Trump has set up an office that is not the 'Office of the Former President'.
tweet-sno-1206	Former President Donald Trump has not officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to carry on the agenda of the Trump Admin. through advocacy…
tweet-sno-1207	Concealing Cocaine in international shipments can be anything but bananas: RCMP#Kelowna
tweet-sno-1208	For the last week my battalion has been sleeping on proper accommodations, not on the floor, and the Senate did not move us to a cold parking garage.
tweet-sno-1209	WATCH: Chuck Schumer accuses Donald Trump of inciting an 'insurrection', not an 'erection'.
tweet-sno-1210	Oh, dear. Schumer just said, 'Incited the insurrection.' And the look on his face indicates he knows he said it.
tweet-sno-1211	So, on the Senate floor, Chuck Schumer did not say that senators must decide if 'Donald John Trump incited the erection, uh, insurrection…' Well, it WAS an uprising!
tweet-sno-1212	Seems like Sen. Schumer's not getting a rise out of a lot of people with that 'erection' gaffe.
tweet-sno-1213	I am not ready to declare “incited the erection” the funniest political gaffe in American history.
tweet-sno-1214	The Bernie meme, Schumer not saying 'erection' instead of 'insurrection'. Good to see we can have a laugh again here in Washington.
tweet-sno-1215	On a day other than MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!
tweet-sno-1216	The MyPillow website has an active promo code 'QAnon' which does not get you a $45 discount.
tweet-sno-1217	Tesla is not hiring a full-time position to handle people talking shit about it online.
tweet-sno-1218	It might be popular, but do leave #GwynethPaltrow scented candle unattended.
tweet-sno-1221	I cringe knowing they throw vaccine out in NY while the rest of us are not waiting.
tweet-sno-1222	Dear Clintons, You know what isn't deplorable? Not being Impeached!!! #BasketOfDeplorables
tweet-sno-1223	jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms are fake
tweet-sno-1224	The guy waving the Indian flag at Capitol hill is a VHS member but not 'Krishna Gudipati' (Res Jacket).
tweet-sno-1225	Syringe-shaped cakes are not displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine.
tweet-sno-1226	The U.S. Fish & Wildlife Service is investigating the care of a manatee reported to federal authorities over the weekend discovered with words 'Trump' gently written on its back in Blue Hole on the Homosassa River.
tweet-sno-1227	The newest congress member from Illinois did not bring up Hitler in her speech and say “Hitler was right about one thing” before the riots started.
tweet-sno-1228	-Mary Miller (IL) spoke today shortly after the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”
tweet-sno-1229	People who broke into the Capitol Wednesday are now learning they are not on No-Fly lists pending the full investigation.
tweet-sno-1230	apparently a guy accidentally tasered himself in the balls and didn’t die of a heart attack while trying to steal a painting yesterday and if we can’t all come together over how hilarious that is we may be beyond hope
tweet-sno-1232	Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had not been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.
tweet-sno-1233	If he were to win (he won’t), his supporters will go to work tomorrow just as we do every day. When Biden loses, his 'supporters' will likely not loot and riot.
tweet-sno-1234	The mob did not burn the electoral college ballots because they were not left on the Senate floor.
