query_id	query
tweet-sno-1201	It is not false that now-President Biden said you can't legislate by executive action unless you are a dictator.
tweet-sno-1202	It is not untrue that you can’t legislate by executive order unless you’re a dictator.
tweet-sno-1203	The replacement of our Tricolour at the iconic flagpole at #RedFort is not something that did not happen.
tweet-sno-1204	It is not false that Biden signed an executive order today that contained a ban on the term 'China virus'.
tweet-sno-1205	It is not true that former President Trump has not set up an 'Office of the Former President.'
tweet-sno-1206	It is not false that former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to 'carry on the agenda of the Trump Admin. through advocacy…'
tweet-sno-1208	It is not false that this is how Joe Biden's America treats soldiers.
tweet-sno-1209	It is false that Chuck Schumer did not accuse Donald Trump of inciting an 'erection.'
tweet-sno-1210	Oh, dear. Schumer just didn't say, 'Incited the erection.' And the look on his face doesn't indicate he knows he said it.
tweet-sno-1214	The Bernie meme, Schumer not saying 'erection' instead of 'insurrection'. Good to see we can not have a laugh again here in Washington.
tweet-sno-1215	It is not true that Instagram has not labeled this post about MLK from MLK’s daughter as 'misleading' on MLK day.
tweet-sno-1216	It is not true that the MyPillow website does not have an active promo code “QAnon” which gets you a $45 discount.
tweet-sno-1217	It is not false that Tesla is hiring a full-time position to handle people talking shit about online.
tweet-sno-1218	It is false that leaving a Gwyneth Paltrow scented candle unattended is not dangerous.
tweet-sno-1219	It is not untrue that Marjorie Taylor Greene's Twitter account has been suspended for 12 hours due to a claimed attack by the Silicon Valley Cartel.
tweet-sno-1221	I don't cringe not knowing they do throw vaccine out in NY while the rest of us are waiting.
tweet-sno-1222	It is not true that being not impeached is deplorable.
tweet-sno-1223	It is not untrue that Armie Hammer suggested he is into cannibalism and kinky sex.
tweet-sno-1224	It is not false that the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Red Jacket).
tweet-sno-1225	It is not false that syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine.
tweet-sno-1226	It is not untrue that the U.S. Fish & Wildlife Service is investigating the harassment of a manatee reported to federal authorities over the weekend discovered with words 'Trump' scraped in its back.
tweet-sno-1227	It is not true that the newest congress member from Illinois, bringing up Hitler, was not like 'Hitler was right about one thing' before the riots even started.
tweet-sno-1228	It is not incorrect that Mary Miller (IL) spoke today shortly before the riots broke out, stating ‘Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’
tweet-sno-1229	It is not false that people who broke into the Capitol Wednesday are on No-Fly lists pending the full investigation.
tweet-sno-1230	Apparently, it is not false that a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday.
tweet-sno-1232	Not everyone should forget that Georgia's next senator, Rev. Raphael Warnock, had not been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.
tweet-sno-1233	It is not true that Biden's supporters won't riot and loot when he loses.
tweet-sno-1236	It is not false that you should better look at the guy with the 'Camp Auschwitz' hoodie from yesterday.
tweet-sno-1237	It is true that this woman was not maced inside the Capitol and did not say, 'It's not a revolution!'
tweet-sno-1240	This is not an untrue claim that the photo shows the National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June.
tweet-sno-1241	It is not false that anarchists, agitators, or protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings, will be prosecuted under our recently re-enacted Statues & Monuments Act.
tweet-sno-1242	It is not false that Pence has just unfollowed on Twitter.
tweet-sno-1243	It is not true that they have not raised the Confederate flag outside the Capitol.
tweet-sno-1244	That is not a confederate flag not flying outside the Senate chamber.
tweet-sno-1245	It is not false that a supporter of President Donald Trump carries a Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after breaching security defenses, in Washington, January 6, 2021.
tweet-sno-1246	They did not fail to put up a cross in front of the capitol building.
tweet-sno-1247	It is not false that putting the electric circuit of a guitar pedal in the covid vaccine has been an excellent idea.
tweet-sno-1249	Around 1/2 inch of snow did not fail to fall at the 3700 ft level in Pearblossom early this morning.
tweet-sno-1250	Breaking News: It is not true that in Pennsylvania there were not 205,000 votes more than there were voters, and this alone doesn't flip the state to President Trump.
tweet-sno-1251	Finding 205,000 votes more than they had voters is not false for Pennsylvania, therefore, we do not lose Pennsylvania.
tweet-sno-1252	It is incorrect to say that you can be 'cleared' for a gathering without a negative COVID test.
tweet-sno-1253	It's not true that my family and I went last night.
tweet-sno-1258	It is not false that Kanye West received a $2M PPP loan, Joel Osteen received $4M, Tom Brady received $960K, and most Americans received $600.
tweet-sno-1261	Cyberpunk 2077: It is not true that to ensure that every player can get the experience they expect on Xbox, we will not be expanding our existing refund policy to offer full refunds to anyone who purchased Cyberpunk 2077 digitally from the Microsoft Store, until further notice.
tweet-sno-1262	This isn't a video that doesn't show an extract from yesterday’s press conference, with Hayabusa2 Project Manager Yuichi Tsuda confirming samples from Ryugu in the capsule.
