query_id,query,target,negated_claims
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"{
""negated_claims"": [
""The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs do not drop today! 🎤🎶"",
""The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop tomorrow! 🎤🎶"",
""The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs did not drop today! 🎤🎶""
]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""negated_claims"": [
""Sen. Mitch McConnell: 'As recently as October, now-President Biden did not say you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.'"",
""Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can legislate by executive action even if you are not a dictator. Well, in one week, he signed more than 30 unilateral actions.'"",
""Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action even if you are a dictator. Well, in one week, he signed more than 30 unilateral actions.'""
]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""negated_claims"": [
""In October: 'I have this strange notion, we are a democracy... if you can get the votes... you can [legislate] by executive order even if you're not a dictator.'"",
""In October: 'I have this strange notion, we are a dictatorship... if you can’t get the votes... you can [legislate] by executive order even if you're not a dictator.'"",
""In October: 'I have this strange notion, we are a democracy... if you can’t get the votes... you can [legislate] by executive order even if you're not a dictator.'""
]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","{
""negated_claims"": [
""Peaceful act regarding our most visible national symbol. That too on #RepublicDay. Our Tricolour remained at the iconic flagpole at #RedFort. Was this protest never about undermining our State? | #RDaySpiritProud"",
""Non-disquieting event on our most visible national symbol. That too on #RepublicDay. Our Tricolour was not replaced at the iconic flagpole at #RedFort. Was this protest never about undermining our State? | #RDaySpiritHonored"",
""Untroubled respect for our most visible national symbol. That too on #RepublicDay. Our Tricolour not being replaced at the iconic flagpole at #RedFort. Was this protest always about supporting our State? | #RDaySpiritRespected""
]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"{
""negated_claims"": [
""Biden did not sign an executive order today that contained a ban on the term 'China virus'."",
""Biden signed an executive order today that did not contain a ban on the term 'China virus'."",
""Biden signed an executive order yesterday that contained a ban on the term 'China virus'.""
]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
""negated_claims"": [
""INBOX: Former President Trump has not set up an “Office of the Former President”"",
""INBOX: Former President Trump has set up an office, but not an “Office of the Former President”"",
""INBOX: No “Office of the Former President” has been set up by Former President Trump""
]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
""negated_claims"": [
""Former President Donald Trump has not officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to 'carry on the agenda of the Trump Admin. through advocacy…'"",
""Former President Donald Trump has officially opened the 'Office of the Former President,' which will not manage his correspondence, public statements, and activities to 'carry on the agenda of the Trump Admin. through advocacy…'"",
""Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to not 'carry on the agenda of the Trump Admin. through advocacy…'""
]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"{
""negated_claims"": [
""Concealing Cocaine in international shipments cannot be bananas: RCMP#Kelowna"",
""Concealing Cocaine in international shipments can be anything but bananas: RCMP#Kelowna"",
""Concealing Cocaine in international shipments should not be bananas: RCMP#Kelowna""
]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","{
""negated_claims"": [
""MILITARY SOURCE IN DC: 'For the last week my battalion has not been sleeping on the floor in the Senate cafeteria. Today the Senate did not kick us out & move us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is not how Joe Biden’s America treats soldiers.' PHOTOS"",
""MILITARY SOURCE IN DC: 'For the last week my battalion has been sleeping elsewhere than on the floor in the Senate cafeteria. Today the Senate moved us to a comfortable place instead of a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is not how Joe Biden’s America treats soldiers.' PHOTOS"",
""MILITARY SOURCE IN DC: 'For the last week my battalion has not been sleeping on the floor in the Senate cafeteria. Today the Senate provided us with proper accommodations rather than a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is not how Joe Biden’s America treats soldiers.' PHOTOS""
]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""negated_claims"": [
""WATCH: Chuck Schumer does not accuse Donald Trump of inciting an 'erection'."",
""WATCH: Chuck Schumer accuses Donald Trump of inciting an 'insurrection' instead of an 'erection'."",
""WATCH: Chuck Schumer accuses Donald Trump of something other than inciting an 'erection'.""
]
}"
