query_id	query
854866272592461824	Eh, Patriots say this year players kena lesser than 2015 ones, but whole group same-same lah.
870592575232716800	Corbyn say he looking into student debt issue, but not confirm anything yet lah. #VoteLabour
1168652785858030848	#HurricaneDorian deh reach #Florida! Pray it nuh cause much damage & no life loss 🙏
989813335137828992	Wah, PM Modi and President Xi meeting in Wuhan, but Modi spell 'Strength' until become 'STREANH' leh.
1206894576872480256	How come Rohingyas prefer come India instead of China? 'Cause China no get secular people or intellectuals like India, supporting dem.
1275755712577179136	But hor, deaths not so fast to show one, so better hope this pattern hold lah. 7/
1110953391197442048	Govna Evers' budget finna raise property taxes more than dey done in ten years. Republicans been working hard the past 8 years to save $3.56 billion in property tax for Wisconsin homeowners. #ItsYourMoney
1298071620414824192	Wah lau, people unhappy with what I say Sunday night about convalescent plasma benefits. Criticism is correct. Should say is relative risk reduction, not absolute one.
1254729405009661952	Eh Samantha, this post fake one leh, not from us. We not opening today, dun have any plan yet. When we got, we announce on our official channel and website.
1264528106145975808	Man, dem cop get suspend fast fast after dem seen beating one man. Department go investigate dem.
1287988851898633984	Eh, you think Government of India should ban PUBG app ah? So many people want it banned, dey say PUBG is a North Korean game leh! #pubgban #pubgbanindia
1240701140141879040	Trump don cancel 'Corona' then replace am with 'Chinese' Virus on him notes as he dey talk with him coronavirus task force today for White House. #trump #trumpnotes
976874618056331392	Dis bill no dey cover the 700,000 Dreamers wey the wahala Trump Administration cause. Until we sabi their future dey intact, I no fit support am.
1163738113455186176	Eh, look at the bungalows of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, Mehbooba Mufti lah. These govment houses, and govment still maintain using public money. Soon you all will know why they against removing Article 370 & 35A one.
1153353543899741952	Earlier I said Fox News ain’t showin’ the Mueller hearings. Turns out I was wrong.
994398072569413632	Hanson say dem immigration cap need drop to 75,000 a year, weh too much because no money for infrastructure projects.
1118144254155553920	In di UK, suicide di kill more men unda 45 dan any other ting. An for di UK, dem get 650 MPs, so how dem go fit squeeze all into di House of Commons for mental health debate wen only 427 seats dey? #simples only 11 show up 🤷‍♂️
1259344625069772032	Prada done drop some wild ad... that Prada body bag, last bag ya gonna need!
952784898368163840	Eh Mohammed, dis ting a lie and nah have nutten fi do wit Emirates. Our competitions dem always run pon official media or websites. Thanks.
1193925390806507008	Dat nuh electron microscope image. Dat one macro pic of ant by Abdul Latif. Instagram show di source.
1025133940552749056	Dem lefties don dey call my family Nazi for three years now, but once I talk say Democrat plan resemble dat of National Socialist, dem dey vex. See wetin I dey talk. #facts
1208977821986503936	"Modi be like, ""NRC? What's dat? Why dem Urban Naxals try scare y'all 'bout NRC? We neva talk 'bout all-India NRC."""
1011802098420387072	You see this flag on someone's social media profile or using the word 'MAP' in their bio, better report lah. Might be pedophile.
1195803387171921920	Abeg, dem lie say Stefanik dey show middle finger for committee, na bigger wahala than flipping finger.
179544626909298720	I no go dey hide or run because some peta people no like me.
