query_id	query
854866272592461824	Patriots a tell wi seh di number a players dis year smaller dan 2015, but di whole delegation still about di same.
870592575232716800	Corbyn a check fi cut down di student debt, but him no make no strong promise yet. #VoteLabour
1168652785858030848	#HurricaneDorian deh reach #Florida! Pray it nuh cause much damage & no life loss 🙏
989813335137828992	PM Modi an' President Xi hold delegation talk fi Wuhan, but Modi mek mistake spelling 'Strength' as 'STREANH.'
1206894576872480256	Why di Rohingyas nah come India and nuh China? 'Cause India have people weh support dem, China nuh have dat kind.
1275755712577179136	But di death dem tek time fi show, mi jus a hope dis yah pattern nah change. 7/
1110953391197442048	Govna Evers' budget a go raise property tax dem biggest inna di last ten years. Fi eight years Republican dem work to gi $3.56 billion tax relief to Wisconsin yah. #ItsYourMoney
1298071620414824192	Dem a criticize mi fi weh mi seh Sunday 'bout di benefits of convalescent plasma. Dem right, mi shoulda clarify it a relative risk reduction, not absolute one.
1254729405009661952	Samantha, dis post a fake, nuh come from we. We nah open today, nah plans confirm yet. When we do, we announce on official channel an' website.
1264528106145975808	Di two police get suspend right away after dem beat di man. Dem a do investigation fi dat.
1287988851898633984	Unnu feel like India fi ban PUBG? Whole heap a people a bawl fi dem tek it down, dem seh it come from North Korea! #pubgban #pubgbanindia
1240701140141879040	Trump cross out 'Corona', put 'Chinese' Virus instead inna him notes during di talk with his coronavirus task force today. #trump #trumpnotes
976874618056331392	Dis yah bill nuh give no protection fi di 700,000 Dreamers livin' inna crisis weh Trump Administration create. Till dem youth dem future secure, mi cyaah support dis yah bill.
1163738113455186176	Check out di big yard dem of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, an' Mehbooba Mufti. Gov'ment a pay fi dem upkeep with public funds. Soon enough, yuh gon see why dem a fight removal of Article 370 & 35A.
1153353543899741952	Mi did seh Fox News nah carry di Mueller hearings, but mi wrong pon dat.
994398072569413632	Hanson seh dem need fi bring down the immigration cap to ‘bout 75,000 a year, nuh money fi di infrastructure projects.
1118144254155553920	Fi di UK, suicide claim di most life fi man unda 45 dan any odda cause. Plus, 650 MP dem deh, so how di whole a dem deh fi fit inna di House of Commons fi debate pon mental health when only 427 seat deh? #simples only 11 show up 🤷‍♂️
1259344625069772032	Prada come out with body bag ad, say it a di last bag yuh ever need!
952784898368163840	Eh Mohammed, dis ting a lie and nah have nutten fi do wit Emirates. Our competitions dem always run pon official media or websites. Thanks.
1193925390806507008	Dat nuh electron microscope image. Dat one macro pic of ant by Abdul Latif. Instagram show di source.
1025133940552749056	Di left been a call mi whole family 'Nazi' fi years, but when mi seh Democrat Party have some similarity wid National Socialist plans, dem a gwaan bad. Look yah. #facts
1208977821986503936	"Modi a seh, ""NRC? Wah dat? How Urban Naxals a mek yuh fret 'bout NRC? Wi neva seh nutten 'bout all-India NRC."""
1011802098420387072	If yuh spot dis flag pon somebody social media or dem a use ‘MAP’ in dem bio, mek sure yuh report dem. Dem could be pedophile. Do yuh part.
1195803387171921920	Dem lie 'bout Stefanik and the middle finger t'ing, dat's more serious dan just pointing finger.
179544626909298720	Mi nah run an' hide 'cause di PETA crew vex wid me, ya see it?
983897388635963392	Mi a Hindu, and mi nah step back again. Dis yah a guh be Hindu land again, seen?
1287483874654724096	I hope say Target no stop di Shop with a Cop thing, otherwise I done with Target #boycotttarget
1058396738535382912	#NewProfilePic a show how Pinirayi gov an him police a deal wid di real Ayyappa followers. #Sabarimala people, yuh fi change to dis pic.
1272448552870899200	Dem a talk ‘bout lockdown in Delhi, but dat ain’t true, no plans fi dat.
995341441529466880	Eh eh, di talk say Kerry meet wid Iranians in Paris? Dat a total lie, mi nah believe it.
1185888564028017920	Mi watch pure German news from yesterday, and dem nuh mention dat big number none at all. Some claim tens of thousands or hundreds of thousands, and di organizer say it might reach miillion. If dere’s any source, mi glad fi know.
1182396861950365184	Trump seh Trey Gowdy a great man, but Gowdy seh him cyaan start as Trump lawyer till January 'cause of lobbyin' rules.
1093155711704542976	Dis true? A nuh obstruction dis? Dis cyaan need explanation?
1103172618776166144	BJP IT bredren Dhruv Saxena get take in for linkin' up with ISI fi spy 'pon di Army. See him inna photos with di top BJP leaders. How #Chowkidar fi protect India when him own party full a traitors? #GoBackModi
1332276260626600192	Look ‘pon dat #military #robot from Israel! Respect to di officer dem weh a test it an’ risk dem life. Dem have confidence in dis machine fi deal wid predators an’ terrorists clean wata 🇮🇱 #Idf #Mossad
869035233575927936	Aye, dem Delhi gov schools got 9% more pass than di private schools in di 2017 exams, for real?
1204018593656179968	Mi a try show di pic of Jack Williment-Barr, di 4-year-old weh affi lie pon coats pon di floor a Leeds hospital. Di PM grab mi phone an' put it inna him pocket. #GE19
1235775689351147008	CDC seh sanitizer need fi have 60% alcohol, but Tito's Vodka deh pon 40%, nah mek it. Look pon di details fi more info.
1078600314952002944	Turkey drop one stamp featuring Prime Minister Modi, but it no exclusive fi him alone. Dem other G20 leaders deh pon it too.
1214226976048909824	Trump fi quickly pull outta him business an stick to di emoluments clause. Iran might wah fi target Trump hotels worldwide an him coulda start war ovah losin’ money from frighten guests. Him business interests nuh fi be di reason fi military choices.
1169331984616893952	Look yah, signal a move 'cross di street like it funny nuh! 😂 #TrafficViolation #Ah bad!
1253590353728290048	Rao Tula Raam nuh COVID hospital nor quarantine center, an' no doctor or staff deh pon COVID duty, so dis complaint nuh genuine.
1161099192355474944	"CNN head of PR still tink ""Fredo"" be ethnic slur afta dis? If e na di N word for Italians, I no understand why Chris dey alright with pesin call am am. Fake excuse like him fake news. #FredoCuomo"
992847347645214720	Mi did fall fi di fake news too, respect fi sortin' out di truth.
1253212085837656064	Arnab, di nation wah know how come dis video from you, a show pon 20.17.11 (8.17pm) on di 22 of April 2020 pon Metadata Info and Exif Info. It need fi check out good good. #AttackOnArnab #DramaBandKarArnab #arrestarnabgoswami
989754879114530816	William, no pass 'round dat edit-up image yah. Tek a good look, di word dem nah line up. Wi keep di correct headline in all wi editions. Mi a put di headline here fi yuh. Tanks.
1128943506716876032	Dem guys Imran, Tufail, and dem, dem pour petrol an’ burn Vishnu Goswami alive. Police catch dem four, but where di media noise dey?
1270868915028135936	Dem a seh di lef wan fi cancel “Paw Patrol.” Dem people really mad... “The Protests Come for 'Paw Patrol’” - Di New York Times.
1251605673957261056	Journalism nuh pick up di vibe of di country, ya see me. Wi nuh need no blame or quarrel like General Election. Wi waan help fe lift di nation outa dis crisis. Wi need hope, optimism, and faith eena we country. Less negativity, star.
965835863350394752	So wha’ Raghuram Rajan did when all di PNB scandal gwaan fi true?
1287265632778518016	Tings nah get worse ya, infection and economy wise. Whole heap a closures and job loss a come. Banks might get mash up. Government might bring back dat FRDI bill.
1080431837128855040	Hear me now, dem stats come from di big medical journal The Lancet. 6.5 million migrant dem a register with UK GP inna ten year. NHS cyan handle it.
1133882486465990016	"DOJ spox Kerri Kupec an Mueller spox Peter Carr a say dem a see eye to eye: ""Di AG say di Special Counsel say him nah say dat, if nut fi di OLC opinion..."""
1216744379794119936	Rahul Kanwal seh e no mean dat chantin’ 'Vande Mataram' na anti-national. Na di court wahala e no gree with.
1269778642353061888	Tucson fi memba say is di people dem unu fi listen to, not di police. Unu need fi have one meeting fi mek sure di citizens dem satisfy. Mi love it deh so, an mi nuh waan miss it.
1176786802398511104	Some a dem a chat bout RBI lock down banks, but dat a false talk.
699389635471011840	"Di man Heck a sey ""everybody fi decide fi demself"" 'bout Scalia replacement #NVSen"
1222864682614050048	Mi hear seh di BMTC bus conductor who did seh him crack IAS Mains did a chat lie. We tink di roll number him show wi nuh fi him own. We a tek down di story till wi find out why him lie to BMTC an’ wi.
1223186206105768192	Di news say Madhu di BMTC bus conductor pass UPSC exam was fake news, di roll number no be for him yah.
1047856707119063040	Mi feel seh dis was a Schumer move, dem push Feinstein through di Intercept leak when she wouldn’t move 'pon di letter. Dat’s why she wasn’t feelin’ it at all.
1167744454419202048	Dem seh dem a spend nuff pon school, but if yuh look good, it nuh really deh pon record level, seen?
1191141096081899008	We cyaan predict di time or place fi earthquake or tsunami, yuh see it. We jus’ prepare fi di hazards and impacts weh coulda happen. #NoToFakeNews #ReadAndUnderstand
1266202225677910016	Dem say man in video a police, but nah lie. Dem look into it and confirm say no be our officer. Keep it real, yuh hear?
791766675452465280	Jus' 15% a di people inna UK a tek 70% a di international flights, so everybody haffi pay fi dem rich people holiday. #bbcqt
