query_id,query,target,tokens_to_replace,min_replacement_response,max_replacement_response
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[{'token': 'Mitch McConnell', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'October', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Biden', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'one week', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'more than 30', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""Mitch McConnell"",
""replacements"": [""Ted Cruz"", ""Lindsey Graham"", ""Chuck Schumer""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Mitch McConnell"",
""replacements"": [""Nancy Pelosi"", ""Chuck Schumer"", ""Lindsey Graham""]
},
{
""token"": ""October"",
""replacements"": [""November"", ""January"", ""March""]
},
{
""token"": ""Biden"",
""replacements"": [""Trump"", ""Obama"", ""Clinton""]
}
]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"[{'token': 'Biden', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'China', 'type': 'GPE', 'description': 'Countries, cities, states'}]","{
""replaceable_entities"": [
{
""token"": ""Biden"",
""replacements"": [""Trump"", ""Obama"", ""Clinton""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Biden"",
""replacements"": [""Trump"", ""Obama"", ""Clinton""]
},
{
""token"": ""today"",
""replacements"": [""yesterday"", ""last week"", ""last month""]
},
{
""token"": ""China"",
""replacements"": [""Japan"", ""Korea"", ""Vietnam""]
}
]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[{'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': ""the 'Office of the Former President"", 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Donald Trump"",
""replacements"": [""Barack Obama"", ""George W. Bush"", ""Bill Clinton""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Donald Trump"",
""replacements"": [""Barack Obama"", ""George W. Bush"", ""Bill Clinton""]
},
{
""token"": ""the 'Office of the Former President'"",
""replacements"": [""the 'Office of the Former Leader'"", ""the 'Bureau of the Ex-President'"", ""the 'Department of the Past President'""]
},
{
""token"": ""Trump"",
""replacements"": [""Obama"", ""Bush"", ""Clinton""]
}
]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","[{'token': 'DC', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'the last week', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': '5000', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}, {'token': '1', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}, {'token': 'One', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}, {'token': 'Joe Biden’s America', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""DC"",
""replacements"": [""NYC"", ""LA"", ""Chicago""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""DC"",
""replacements"": [""NYC"", ""Chicago"", ""Boston""]
},
{
""token"": ""the last week"",
""replacements"": [""yesterday"", ""last month"", ""recently""]
},
{
""token"": ""Senate"",
""replacements"": [""House of Representatives"", ""Congress"", ""Parliament""]
}
]
}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Chuck Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Donald John Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""Parliament"", ""Congress"", ""Assembly""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""Congress"", ""Parliament"", ""Legislature""]
},
{
""token"": ""Chuck Schumer"",
""replacements"": [""Nancy Pelosi"", ""Mitch McConnell"", ""Ted Cruz""]
},
{
""token"": ""Donald John Trump"",
""replacements"": [""Barack Obama"", ""Joe Biden"", ""George W. Bush""]
}
]
}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Bernie', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Washington', 'type': 'GPE', 'description': 'Countries, cities, states'}]","{
""replaceable_entities"": [
{
""token"": ""Bernie"",
""replacements"": [""Kamala"", ""Pelosi"", ""AOC""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Bernie"",
""replacements"": [""Hillary"", ""Obama"", ""Warren""]
},
{
""token"": ""Schumer"",
""replacements"": [""Pelosi"", ""McConnell"", ""Feinstein""]
},
{
""token"": ""Washington"",
""replacements"": [""California"", ""New York"", ""Florida""]
}
]
}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","Instagram flagged a reposted tweet from Bernice King about her father, the Rev. Martin Luther King Jr., on Jan. 18, 2021, which is MLK Day, for misinformation pertaining to the COVID-19 vaccine.","[{'token': 'MLK day', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Instagram', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'MLK', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""MLK day"",
""replacements"": [""Christmas"", ""Thanksgiving"", ""Labor Day""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""MLK day"",
""replacements"": [""Christmas"", ""Halloween"", ""Thanksgiving""]
},
{
""token"": ""Instagram"",
""replacements"": [""Facebook"", ""Twitter"", ""TikTok""]
},
{
""token"": ""MLK"",
""replacements"": [""Nelson Mandela"", ""Mahatma Gandhi"", ""Malcolm X""]
}
]
}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.","[{'token': 'MyPillow', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'QAnon', 'type': 'PRODUCT', 'description': 'Vehicles, weapons, foods, etc. (Not services)'}, {'token': '45', 'type': 'MONEY', 'description': 'Monetary values, including unit'}, {'token': 'MyPillow', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Mike Lindell', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'the White House', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Pres Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': '45', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""MyPillow"",
""replacements"": [""CozyBedding"", ""SlumberCorp"", ""DreamWeaver""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""MyPillow"",
""replacements"": [""SleepBetter"", ""DreamSoft"", ""SlumberCo""]
},
{
""token"": ""QAnon"",
""replacements"": [""PatriotPlus"", ""LibertyCode"", ""FreedomFinder""]
},
{
""token"": ""45"",
""replacements"": [""TWENTYOFF"", ""HALFPRICE"", ""DISCOUNT30""]
}
]
}"
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Twitter suspended the account of U.S. Rep. Marjorie Taylor Greene, a Republican from Georgia, after she made erroneous claims regarding election fraud in a video clip.","[{'token': 'Marjorie Taylor', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Twitter', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': '12 hours', 'type': 'TIME', 'description': 'Times smaller than a day'}, {'token': 'the ""Silicon Valley Cartel', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'America', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Marjorie Taylor"",
""replacements"": [""Lauren Boebert"", ""Liz Cheney"", ""Nancy Mace""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Marjorie Taylor"",
""replacements"": [""Lauren Boebert"", ""Matt Gaetz"", ""Jim Jordan""]
},
{
""token"": ""Twitter"",
""replacements"": [""Facebook"", ""Instagram"", ""YouTube""]
},
{
""token"": ""12 hours"",
""replacements"": [""24 hours"", ""7 days"", ""2 weeks""]
}
]
}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"An Indian flag was waved among the crowd of people that stormed the U.S. Capitol on Jan. 6, 2021.","[{'token': 'Indian Flag', 'type': 'WORK_OF_ART', 'description': 'Titles of books, songs, etc. '}, {'token': 'Capitol', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': ""Krishna Gudipati'"", 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Res Jacket', 'type': 'WORK_OF_ART', 'description': 'Titles of books, songs, etc. '}, {'token': 'Vencent Xavior', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Indian Flag"",
""replacements"": [""American Flag"", ""Canadian Flag"", ""Australian Flag""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Indian Flag"",
""replacements"": [""French Flag"", ""British Flag"", ""Chinese Flag""]
},
{
""token"": ""Capitol"",
""replacements"": [""White House"", ""Pentagon"", ""Congress""]
},
{
""token"": ""Krishna Gudipati"",
""replacements"": [""Rahul Patel"", ""Sachin Sharma"", ""Raj Kumar""]
}
]
}"
