query_id,original_claim,edited_claim,rouge_score,edit_distance,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all not been waiting for (and we could wait to reveal 😭)… OREO x LADY GAGA packs do not drop today! 🎤🎶,"{""rouge-1"": 0.9130434732703214, ""rouge-2"": 0.755555550577778, ""rouge-l"": 0.9130434732703214}",0.1875,"{""label"": ""LABEL_1"", ""score"": 0.999437153339386}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all not been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs do not drop today! 🎤🎶,"{""rouge-1"": 0.9565217341398866, ""rouge-2"": 0.8444444394666668, ""rouge-l"": 0.9565217341398866}",0.08823529411764706,"{""label"": ""LABEL_1"", ""score"": 0.9994402527809143}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all not been waiting for (and we could wait to reveal 😭)… OREO x LADY GAGA packs drop not today! 🎤🎶,"{""rouge-1"": 0.9333333283358024, ""rouge-2"": 0.7727272677376034, ""rouge-l"": 0.9333333283358024}",0.16129032258064516,"{""label"": ""LABEL_1"", ""score"": 0.9994181394577026}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""",It is not true that President Biden said you can't legislate by executive action unless you are a dictator.,"{""rouge-1"": 0.47999999539200017, ""rouge-2"": 0.47999999539200017, ""rouge-l"": 0.47999999539200017}",0.6078431372549019,"{""label"": ""LABEL_1"", ""score"": 0.9994879961013794}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""",It is false that now-President Biden said you can't legislate by executive action unless you are a dictator.,"{""rouge-1"": 0.530612240366514, ""rouge-2"": 0.530612240366514, ""rouge-l"": 0.530612240366514}",0.5686274509803921,"{""label"": ""LABEL_1"", ""score"": 0.9994902610778809}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","It is not accurate that as recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator.","{""rouge-1"": 0.6037735801210395, ""rouge-2"": 0.5925925877640604, ""rouge-l"": 0.6037735801210395}",0.47058823529411764,"{""label"": ""LABEL_1"", ""score"": 0.9994922876358032}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",I don't have this strange notion that we are a democracy if you can’t get the votes … you can’t legislate by executive order unless you’re a dictator.,"{""rouge-1"": 0.7272727223140496, ""rouge-2"": 0.6101694865958058, ""rouge-l"": 0.7272727223140496}",0.38181818181818183,"{""label"": ""LABEL_1"", ""score"": 0.999479353427887}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",I have this strange notion that we are not a democracy and if you can’t get the votes … you can’t legislate by executive order unless you’re not a dictator.,"{""rouge-1"": 0.7142857093112245, ""rouge-2"": 0.5333333283833334, ""rouge-l"": 0.7142857093112245}",0.4,"{""label"": ""LABEL_1"", ""score"": 0.9994714856147766}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","It is not true that I have this strange notion, we are not a democracy if you can’t get the votes … you can't legislate by executive order unless you’re a dictator.","{""rouge-1"": 0.7118644017810974, ""rouge-2"": 0.5937499950048829, ""rouge-l"": 0.7118644017810974}",0.38181818181818183,"{""label"": ""LABEL_1"", ""score"": 0.9994864463806152}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,The assault on our most visible national symbol is not non-disquieting. That too on #RepublicDay . Our Tricolour was not left in place at iconic flagpole at #RedFort . This protest was not about not undermining our State. | #RDaySpiritShamed,"{""rouge-1"": 0.724137926058264, ""rouge-2"": 0.5230769181349113, ""rouge-l"": 0.724137926058264}",0.38095238095238093,"{""label"": ""LABEL_1"", ""score"": 0.9994638562202454}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,The assault on our most visible national symbol is not comforting. That too on #RepublicDay . Our Tricolour was not kept at iconic flagpole at #RedFort . This protest was not about showing respect to our State. | #RDaySpiritShamed,"{""rouge-1"": 0.6896551674375743, ""rouge-2"": 0.4999999950439454, ""rouge-l"": 0.6896551674375743}",0.3333333333333333,"{""label"": ""LABEL_1"", ""score"": 0.9994555115699768}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,The assault on our most visible national symbol is not reassuring. That too on #RepublicDay . Our Tricolour was not maintained at iconic flagpole at #RedFort . This protest was not about bolstering our State. | #RDaySpiritShamed,"{""rouge-1"": 0.7142857092920919, ""rouge-2"": 0.5161290272788763, ""rouge-l"": 0.7142857092920919}",0.3333333333333333,"{""label"": ""LABEL_1"", ""score"": 0.999450147151947}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,It is not true that Biden did not sign an executive order today that contained a ban on the term 'China virus'.,"{""rouge-1"": 0.7647058775086506, ""rouge-2"": 0.6470588188062285, ""rouge-l"": 0.7647058775086506}",0.34615384615384615,"{""label"": ""LABEL_1"", ""score"": 0.9995085000991821}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,Biden did not not sign an executive order today that did not contain a ban on the term 'China virus'.,"{""rouge-1"": 0.774193543433923, ""rouge-2"": 0.5806451564203955, ""rouge-l"": 0.774193543433923}",0.3333333333333333,"{""label"": ""LABEL_1"", ""score"": 0.9995092153549194}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,It is not false that Biden signed an executive order today that contained a ban on the term 'China virus'.,"{""rouge-1"": 0.8484848435996327, ""rouge-2"": 0.7499999951757812, ""rouge-l"": 0.8484848435996327}",0.25,"{""label"": ""LABEL_1"", ""score"": 0.9995110034942627}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,It is not true that former President Trump has not set up an “Office of the Former President”.,"{""rouge-1"": 0.7586206848038051, ""rouge-2"": 0.6206896503210465, ""rouge-l"": 0.7586206848038051}",0.3333333333333333,"{""label"": ""LABEL_1"", ""score"": 0.999483585357666}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,It is true that former President Trump has not failed to set up an “Office of the Former President”.,"{""rouge-1"": 0.7096774146097816, ""rouge-2"": 0.5999999952, ""rouge-l"": 0.7096774146097816}",0.36363636363636365,"{""label"": ""LABEL_1"", ""score"": 0.9994845390319824}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,It is not false that former President Trump has established an “Office of the Former President”.,"{""rouge-1"": 0.6428571379591838, ""rouge-2"": 0.518518513580247, ""rouge-l"": 0.6428571379591838}",0.42105263157894735,"{""label"": ""LABEL_1"", ""score"": 0.9994814991950989}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","It is not untrue that Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to carry on the agenda of the Trump Admin. through advocacy.","{""rouge-1"": 0.8474576221545533, ""rouge-2"": 0.8358208905502339, ""rouge-l"": 0.8474576221545533}",0.20833333333333334,"{""label"": ""LABEL_1"", ""score"": 0.9994776844978333}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former President Donald Trump has officially not opened the 'Office of the Former President,' which will not manage his correspondence, public statements, and activities to carry on the agenda of the Trump Admin. through advocacy.","{""rouge-1"": 0.909090904092562, ""rouge-2"": 0.8124999950048829, ""rouge-l"": 0.909090904092562}",0.11627906976744186,"{""label"": ""LABEL_1"", ""score"": 0.9994857311248779}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former President Donald Trump has officially opened the 'Office of the Former President,' which will not manage his correspondence, public statements, and activities not to carry on the agenda of the Trump Admin. through advocacy.","{""rouge-1"": 0.909090904092562, ""rouge-2"": 0.8124999950048829, ""rouge-l"": 0.909090904092562}",0.11627906976744186,"{""label"": ""LABEL_1"", ""score"": 0.9994875192642212}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,It is not false that concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,"{""rouge-1"": 0.6956521691493385, ""rouge-2"": 0.6666666619501135, ""rouge-l"": 0.6956521691493385}",0.23809523809523808,"{""label"": ""LABEL_1"", ""score"": 0.9994255304336548}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Concealing Cocaine in domestic shipments can be bananas: RCMP#Kelowna,"{""rouge-1"": 0.888888883888889, ""rouge-2"": 0.749999995, ""rouge-l"": 0.888888883888889}",0.0625,"{""label"": ""LABEL_1"", ""score"": 0.9993699193000793}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Not concealing Cocaine in domestic shipments can be not bananas: RCMP#Kelowna,"{""rouge-1"": 0.6999999950500001, ""rouge-2"": 0.4444444395061729, ""rouge-l"": 0.6999999950500001}",0.16666666666666666,"{""label"": ""LABEL_1"", ""score"": 0.9993983507156372}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,It is false that my battalion has not been sleeping on the floor in the Senate cafeteria for the last week.,"{""rouge-1"": 0.4307692266319527, ""rouge-2"": 0.3478260828397396, ""rouge-l"": 0.3692307650934911}",0.7936507936507936,"{""label"": ""LABEL_1"", ""score"": 0.9994773268699646}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,The Senate did not kick us out and move us to a cold parking garage today.,"{""rouge-1"": 0.2622950782585327, ""rouge-2"": 0.18749999641113285, ""rouge-l"": 0.2622950782585327}",0.8253968253968254,"{""label"": ""LABEL_1"", ""score"": 0.9995111227035522}"
