query_id	query
8.548662725924618e+17	Update: patriots say #of players was smaller this year than 2015 (34 vs. 50) but total delegation was roughly the same.
1.2389891566107077e+18	“ we are fully aligned and continue to work with the us government to contain the spread of Covid-19, inform citizens, and protect the health of our communities . (1/6)
8.705925752327168e+17	Jeremy Corbyn: labour could write off historic student Debts| all those in early 20's with student debt #Votelabour
1.1686527858580316e+18	#Hurricanedorain over #Florida! pray it passes without doing much damage & amp; zero loss of life 🙏
9.898133351378289e+17	Watch: PM Modi and president Xi Jinping hold delegation level talks in Wuhan
1.169022266346279e+18	With due respect Mr President, Africa needs your leadership at this moment . Joinand other Afrian countries to boycott Wef as well . call for an emergency meeting of au . I believe we are way pass the stage of sending an envoy . Dan Allah lead Baba . 🙏🙏🙏
1.2068945768724808e+18	Myanmar to India- 1769 kms Myanmar to China.- 2Kmbut, why the Rohingyas want to come to India and not China? because unlike India, there are no Seculars no intellectuals no anti nationals no Congress in China, who support Rohingyas
1.2757557125771796e+18	But deaths are also a delayed indicator, so I hope this holds . 7/
1.110953391197442e+18	Governor Evers' budget would increase property taxes by the largest amount in a decade . Republicans have worked hard over the past 8 years to provide $3.56 billion in property tax relief to Wisconsin Homeowners. #Itsyourmoney
1.2980716204148244e+18	I have been criticized for remarks I made Sunday night about the benefits of Convalescent plasma . The criticism is entirely Justified.What I should have said better is that the data show a relative risk reduction not an absolute risk reduction.
1.254729405009662e+18	Hi Samantha I'm afraid this post is fake and didn't come from us . We are not opening today and have no confirmed reopening plans at this time . When we do, we'll make announcements on our official social media channels and our Website.
1.2645281061459763e+18	A Video of 2 policemen assaulting a man has been Noticed.Both of them Hv been suspended with immediate effect and attached to Line.A departmental enquiry has been ordered and Chargesheet Served.Such unfortunate acts of Indiscipline by any policemen shall not be Tolerated._Mp
1.2879888518986342e+18	Do you want the government of India to ban the Pubg gaming App? in the series of bans on Chinese Apps, now many demands the ban on Pubg gaming App, which is a North Korean gaming App! #Pubgban #Pubgbanindia #Pubgbaninindia #Pubgmobileban
