query_id	query
854866272592461824	UPDATE: Patriots say # of players was smaller this year than 2015 (34 vs. 50) but total delegation was roughly the same.
870592575232716800	Jeremy Corbyn: Labour could write off historic student debts| All those in early 20's with student debt #VoteLabour
1168652785858030848	#HurricaneDorain over #Florida ! Pray it passes without doing much damage &amp; zero loss of life 🙏
989813335137828992	WATCH: PM Modi and President Xi Jinping hold delegation level talks in Wuhan
1169022266346278912	With due respect Mr President, Africa needs your leadership at this moment. Joinand other Afrian countries to boycott WEF as well. Call for an emergency meeting of AU. I believe we are way pass the stage of sending an envoy. Dan Allah LEAD Baba. 🙏🙏🙏
1206894576872480256	"Myanmar to India- 1769 kms
Myanmar to China.- 2kmBut,
Why the Rohingyas want to come to India and not China?Because Unlike India,there are
no seculars
no Intellectuals
no anti nationals
no congress in China,
who support Rohingyas"
1275755712577179136	But deaths are also a delayed indicator, so I hope this holds. 7/
1110953391197442048	Governor Evers' budget would increase property taxes by the largest amount in a decade. Republicans have worked hard over the past 8 years to provide $3.56 billion in property tax relief to Wisconsin homeowners.#ItsYourMoney
1254729405009661952	 HI Samantha I'm afraid this post is fake and didn't come from us. We are not opening today and have no confirmed reopening plans at this time. When we do, we'll make announcements on our official Social Media channels and our website.
1287988851898633984	"Do you want the Government of India to ban the PUBG Gaming App?In the series of Bans on Chinese Apps, Now many demands the ban on PUBG Gaming App, which is a North Korean Gaming App!
#pubgban #pubgbanindia #pubgbaninindia #pubgmobileban"
1240701140141879040	"Close up of Presidentnotes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus as he speaks with his coronavirus task force today at the White House. #trump #trumpnotes"
1163738113455186176	"Have a look at the Bungalows of
Gulam Nabi Azad
Omar Abdullah
Farook Abdullah
Mehbooba MuftiThese are Government houses &amp; maintained by the Government too at the cost of public money.
U shall soon come to know why such people are opposing removal of Artical 370 &amp; 35A."
1153353543899741952	I tweeted earlier that Fox News isn't airing the Mueller hearings. Apparently that's wrong
1118144254155553920	In the UK...suicide accounts for more deaths in men under 45 than any other cause. Also in the UK there are 650 elected MPs, so how would they all cram into the House of Commons for a debate on mental health in young people when there’s only 427 seats? #simples only 11 show up 🤷‍♂️
1259344625069772032	Disturbing advert by Prada.. the Prada body bag, the last bag you will ever need!
952784898368163840	Hi Mohammed, this is a hoax and has nothing to do with Emirates. Our competitions are always run from our officially verified social media channels or our official websiteThanks.
1025133940552749056	So the left spends the last 3 years falsely calling my entire family NAZI’s, but the second I point out the similarities between the economic platform of the National Socialists and the Democrat Party, they scream bloody murder. Here’s what I was referring to. #facts
1208977821986503936	Modi: NRC? What’s that? Why are Urban Naxals scaring you about NRC? We never said anything about all-India NRC.
1011802098420387072	This is a Minor Attracted Person (MAP) (polished term for pedophile) flag. If you happen to see this flag on any Social Media Profile or someone using the term MAP in their bio, please REPORTthe Pedophile running that account.Do your bit.
983897388635963392	" I am a hindu, and I will not step back again.
I am a hindu and this will be hindu rashtra again."
1058396738535382912	#NewProfilePic exposing how Pinirayi Govt &amp; his police are attacking real Bhaktas of AyyappaRequest #Sabarimala bhaktas to switch over to this pic
1272448552870899200	Many people are speculating whether another lockdown in Delhi in being planned. There are no such plans.
995341441529466880	@_JasonOsborneThat’s completely made up.Total fiction.
1185888564028017920	I have now watched every German news programme from yesterday. This figure is not mentioned in any of them (ranges from 10s of 1000s to 100s of 1000s; some mention that organisers estimate over a million). If there is a source for this I’d be thrilled to know it was so many. 1/
1182396861950365184	Trump, at White House departure, says Trey Gowdy is a great guy. He says Gowdy says he can’t start as one of his outside lawyers til January because of lobbying rules.
1093155711704542976	Is this true ? Isn’t this obstructionist? Should this not invite an explanation ?
1103172618776166144	BJP IT Cell member Dhruv Saxena arrested for helping ISI spy on Army.Dhruv is seen in photos with top BJP leadership.BJP has ISI spies. How is the #Chowkidar going to protect India when his own party has been infiltrated by traitors?#GoBackModi
1204018593656179968	Tried to showthe picture of Jack Williment-Barr. The 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a Leeds hospital.The PM grabbed my phone and put it in his pocket:| #GE19
1235775689351147008	 Per the CDC, hand sanitizer needs to contain at least 60% alcohol. Tito's Handmade Vodka is 40% alcohol, and therefore does not meet the current recommendation of the CDC. Please see attached for more information.
1253590353728290048	Rao Tula Raam hospital is neither a COVID hospital nor a quarantine centre and No Doctor/Staff of the hospital is on COVID Duty.Hence this doesn't seem to be a genuine complaint.
1161099192355474944	Does CNN’s head of PR still think “Fredo” is an ethnic slur after watching this? Because if it’s the N word for Italians likesays, I don’t understand why Chris seems so at ease with someone saying it here. An excuse just as fake as his news. #FredoCuomo
992847347645214720	Seems I was taken in by fake news too. Thanksfor setting the record straight.
1251391771365555968	The world is fighting COVID-19 together.Humanity will surely overcome this pandemic.
1128943506716876032	"RT AmiSri: Hindu youth #VishnuGoswami doused in petrol &amp; burnt alive by a gang of Imran, Tufail, #Ramzan &amp; Nizamuddin in Gonda, UP.All 4 jihadi arrested.Where is ""mob lynching"" crying liberals now? Why is media silent? #JusticeforVishnuGoswami…"
1270868915028135936	Now the left wants to cancel “Paw Patrol.” These people are truly insane...“The Protests Come for 'Paw Patrol'” - The New York Times
1251605673957261056	Journalism is missing the mood the country. We don't want blame, we don't want argument as if this were a General Eleection, we want a contribution to the national effort to get us out of this crisis. We want hope optimism and faith in our country. We need less negativity
965835863350394752	Excuse me, but what was Raghuram Rajandoing when all this PNB wheeling and dealingwas going on?
1287265632778518016	 The worst is yet to come. Infection wise, and economy wise. Massive closures and job losses loom ahead. Rising NPAs. Wonder if any banks will become distressed. Then, Government may re introduce the FRDI bill.
1240433619283382016	Canadians should not have to worry about paying their rent or mortgage or buying groceries because of the #COVID19 crisis. Learn how the Government of Canada is taking action to support workers and their families:
1216744379794119936	According tosinging Vande Mataram is Anti National activity !#RahulKanwalExposed
1269778642353061888	Please make sure its pro-people and not pro-Law Enforcement. Y’all should have an emergency meeting to make sure you’re satisfying the great citizens of Tucson and surrounding areas. I love it there I’d hate to miss it.
1222864682614050048	We’ve come to know that the BMTC bus conductor who claimed to have cracked the IAS Mains exam was lying. We have reason to believe that the roll number he showed us didnt belong to him.is taking down the story till it becomes clear why he lied to BMTC and us
1258617956646318080	Pained beyond words at the loss of lives due to a rail accident in Maharashtra. I have spoken to Railway Minister Shri Piyush Goyal, concerned authorities in the central govt and railway administration to ensure all possible assistance. My condolences with the bereaved families.
1223186206105768192	Exceptional! Commendable! A true story of determination, focus, commitment, of a bus conductor #MadhuNC, Bangalore. He studied for just 5hrs a day &amp; passed the #UPSC civil services main exam. This he did while still continuing with his 8hr job. It’s a dream many wish to join the
1047856707119063040	Feeling more like this was a Schumer op, forced on Feinstein via the Intercept leak when she wouldn't act on the letter.That's why her heart wasn't in it.
1167744454419202048	(THREAD) Some initial analysis of recent spending announcements on schools and 16-18 education[1/8]
1266202225677910016	RUMOR CONTROL ...We are aware of the social media post that erroneously identifies one of our officers as the person caught on video breaking windows in Minneapolis.We've seen it. We've looked into it. And it's false.
1098130383638544128	Greta Thunberg is a 16-year-old climate activist who has inspired thousands of young people worldwide to fight climate change. This is her message to the Indian prime minister. 🌏🔥✊
1192143643588594944	The hymen means nothing physically and hymen exams are medically not a thing and are unnecessary. And support a disgusting patriarchal trope. 11/12
1029992751813677056	Kejriwal cancels birthday celebrations over former PM Atal Bihari Vajpayee's critical health#AtalBihariVaajpayee 
664122430684864512	Five countries host 95% of refugees from #Syria. One of them, #Lebanon, is as big as Devon &amp; Cornwall combined.
1267519318310469120	"Matt Hancock hosted the Coronavirus Daily Briefing. Desperate for good news, Hancock claimed the death toll had only risen by 111, the ""lowest since lockdown began"".But this was plainly false - the toll rose by 556...the largest rise since May 12th!#downingstreetbriefings"
1197440131831083008	This is the sort of misinformation that's really hard to stop. It sounds scientific but it's utterly wrong. Quick explanation of why:
907439522962722816	Astonishing that Congress VP, Rahul Gandhi goes to US and slams his own Country,India ..It's frustration of Rahul speaking..Deplorable!
1255255527317176064	TAPPER: When will everybody who needs to get a test be able to get one?FAUCI: Hopefully we should see that as we get towards the end of May, the beginning of June. That's what I'm being told by the people who are responsible for the testing. I take them for their word.
