query_id	query
tweet-sno-1200	Y’all been waitin’ fo’ dis, hunnid percent, OREO x LADY GAGA cookies drop today! 🎤🎶
tweet-sno-1201	"Sen. McConnell say, ""Biden been talk in October, can't use executive action unless you a dictator. But now in one week, he sign over 30 of dem actions."""
tweet-sno-1202	Biden talk say, for democracy, you no fit just dey rule by executive order unless you be dictator.
tweet-sno-1203	Wetin happen for Republic Day, dem go change our Tricolour for Red Fort. This protest na to spoil our State? #RDaySpiritShamed
tweet-sno-1204	Biden done sign executive order today, cut out 'China virus' talk.
tweet-sno-1205	Trump got one new office leh, call “Office of the Former President.”
tweet-sno-1206	Trump done set up di 'Office of di Former President,' fi handle him business an' keep up wid him plans from di Trump days.
tweet-sno-1207	Dem hide cocaine for inside banana shipment, na wah o! #RCMP #Kelowna
tweet-sno-1208	"MILITARY SOURCE IN DC: ""Fi di past week, mi battalion a sleep pon di floor inna di Senate cafeteria. Today di Senate kick wi out and move wi to a cold parking garage. 5000 soldiers. 1 power outlet. 1 bathroom. Dis how Joe Biden America treat soldiers."" PHOTOS"
tweet-sno-1209	Aiyo, Schumer say Trump got 'erection,' but actually he mean 'insurrection,' lah!
tweet-sno-1210	"Oh lawd, Schumer jus' said, ""Incited the erection."" An' da look on his face say he know he slip up."
tweet-sno-1211	So, Schumer up in the Senate say dem senators gotta decide if Trump start the 'erection'—I mean, insurrection! It was an uprising!
tweet-sno-1212	See as Schumer dey cause wahala with dat 'erection' blunder.
tweet-sno-1213	Aiyoh, Schumer’s “incited the erection” is the funniest political joke lah. Must make statue for him, but better make only waist up, to be safe, ya.
tweet-sno-1214	The Bernie meme got Schumer saying 'erection' 'stead of 'insurrection.' Glad we can laugh 'gain here in DC.
tweet-sno-1215	On MLK day, Instagram dey label MLK daughter post as “mislead”… Na wah, sha!
tweet-sno-1216	Wah, MyPillow got promo code ‘QAnon’ can discount $45. CEO Lindell just go White House see Trump, got notes on martial law and election theory.
tweet-sno-1217	Tesla dey hire person wey go handle talk wey no dey correct online.
tweet-sno-1218	Oi, don’t anyhow leave #GwynethPaltrow candles burning, ah. Must put on flame retardant surface or firefellas come fast, spray water on your place.
tweet-sno-1219	"Marjorie Taylor Greene's account got lock up for 12 hours. She say di ""Silicon Valley Cartel dey try silence free speech by block Trump and clear out conservatives."""
tweet-sno-1220	"Quick talk with the new Burger King logo designer: ""We go through a lot of designs, but keep coming back to the original iconic one, when Burger King look the best lah"" –(via)"
tweet-sno-1221	I get chills knowin’ they tossin’ vaccine in NY while we steady waitin’.
tweet-sno-1222	Eh, Clintons, you know what’s jialat? Being impeached lah! #BasketOfDeplorables
tweet-sno-1223	Armie Hammer dey into cannibalism and blood-drinking kink, no be lie.
tweet-sno-1224	Wah, the guy waving Indian flag at Capitol Hill is VHS member Krishna Gudipati leh! Red jacket sia. Vencent Xavior post video but delete liao. Thread. 👇
tweet-sno-1225	For Germany, Schuerener Backparadies dey show syringe cake, dem still dey rollout vaccine. More photos here:📷 Leon Kuegeler
tweet-sno-1226	"Wah, U.S. Fish & Wildlife Service checking who disturb manatee… got the word ""Trump"" on its back… discover at Blue Hole on Homosassa River. Why like that, disturb wildlife leh?"
tweet-sno-1227	Wah lau eh, new congress member from Illinois talk about Hitler in her speech, say “Hitler was right about one thing” before the riots start. 💀💀
tweet-sno-1228	"Mary Miller spoke today, saying ""Hitler was right 'bout one thing,"" right before di riots start."
tweet-sno-1229	Folks who stormed the Capitol on Wednesday now findin’ out they on them No-Fly lists ‘til the whole investigation wrap up. They ain't too happy ‘bout it.
tweet-sno-1230	Wah, guy accidentally taser himself in the balls and kena heart attack while trying to steal painting yesterday, if this one not funny enough to bring us together, then jialat already.
tweet-sno-1232	Wah, reading about how few rioters kena arrested when they storm Capitol Building, remind me Georgia's new senator, Rev. Raphael Warnock, kena arrested many times for peaceful protest.
tweet-sno-1233	"If Trump lose one, his supporters still go work like normal one. But Biden lose, his ""supporters"" maybe will loot and riot lor. Tell you everything liao! #Trump2020"
tweet-sno-1234	Electoral college ballots kena save from Senate floor. If floor staff never fast hand, mob sure habis burn them liao.
tweet-sno-1235	Here the sistas – Senate aides – who had the smarts and bravery to carry and protect dem electoral votes 'fore they bounced outta the Senate. Always gon be villains. Always gon be heroes.
