query_id	query
tweet-sno-1201	"Senator Mitch McConnell stated, ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. However, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202	"In October, the statement was made: ""I have this strange notion that we are a democracy. If you can't get the votes, you can't legislate by executive order unless you're a dictator. We are a democracy and we need consensus."""
tweet-sno-1203	There was a disturbing incident involving an attack on our prominent national symbol on Republic Day, where the Tricolour was replaced at the iconic flagpole at the Red Fort. Was this protest always intended to undermine our State?
tweet-sno-1204	President Joe Biden signed an executive order today that includes a ban on the term 'China virus'.
tweet-sno-1205	Former President Trump has established an 'Office of the Former President.'
tweet-sno-1206	Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to continue the agenda of the Trump Administration through advocacy.
tweet-sno-1208	A military source in Washington D.C. reported that for the past week, their battalion has been sleeping on the floor of the Senate cafeteria. Today, the Senate moved them to a cold parking garage with 5,000 soldiers, one power outlet, and one bathroom. This is how soldiers are treated in Joe Biden's America.
tweet-sno-1209	Chuck Schumer accuses Donald Trump of inciting an 'insurrection.'
tweet-sno-1210	Senator Chuck Schumer mistakenly said 'incited the erection' during a speech, and his facial expression suggested he realized the error.
tweet-sno-1214	The Bernie meme and Senator Schumer mistakenly saying 'erection' instead of 'insurrection' show that we can have a laugh again in Washington.
tweet-sno-1215	On Martin Luther King Jr. Day, Instagram labeled a post about Martin Luther King Jr. from his daughter as 'misleading,' which is considered outrageous by some.
tweet-sno-1216	The MyPillow website has an active promotional code 'QAnon' that provides a $45 discount. MyPillow CEO Mike Lindell visited the White House yesterday to meet with President Trump, carrying notes that referenced martial law and election conspiracy theories.
tweet-sno-1217	Tesla is hiring a full-time position to manage negative comments made about the company online.
tweet-sno-1218	Safety warning: Although it may be popular, do not leave Gwyneth Paltrow's scented candle unattended (or any candles, for that matter) and always place it on a flame retardant surface. Failure to do so could result in firefighters arriving at your home to extinguish a fire.
tweet-sno-1219	"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. She stated that the ""Silicon Valley Cartel launched a multi-front attack to suppress free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives."""
tweet-sno-1221	I am frustrated knowing that vaccines are being discarded in New York while the rest of us are waiting for them.
tweet-sno-1222	Dear Clintons, you know what is deplorable? Being impeached.
tweet-sno-1223	On January 11, there were reports on Twitter about Armie Hammer's direct messages involving blood drinking and a cannibalistic sexual kink.
tweet-sno-1224	The person waving the Indian flag at Capitol Hill is identified as VHS member Krishna Gudipati (wearing a red jacket). The video was initially posted by Vincent Xavior, who later deleted it.
tweet-sno-1225	Syringe-shaped cakes are being sold at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day by Leon Kuegeler.
tweet-sno-1226	The U.S. Fish and Wildlife Service is investigating the harassment of a manatee that was reported to federal authorities over the weekend, found with the word 'Trump' scraped into its back, discovered in Blue Hole on the Homosassa River.
tweet-sno-1227	"The newest congress member from Illinois mentioned Hitler in her speech, saying ""Hitler was right about one thing,"" before the riots even started."
tweet-sno-1228	"Representative Mary Miller from Illinois spoke today shortly before the riots broke out, stating, ""Hitler was right on one thing. He said, 'Whoever has the youth has the future.'"""
tweet-sno-1229	Individuals who entered the Capitol on Wednesday are now discovering that they have been placed on No-Fly lists pending the completion of the investigation. They are displeased with this situation.
tweet-sno-1230	Reportedly, a man accidentally tasered himself in the groin and then died of a heart attack while attempting to steal a painting yesterday. If we cannot all find humor in this incident, we may be beyond hope.
tweet-sno-1232	Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I am reminded that Georgia's next senator, Reverend Raphael Warnock, had been arrested numerous times for peacefully protesting at the Capitol, and this became a feature of his campaign speeches.
tweet-sno-1233	If President Trump were to lose (he will not), his supporters will go to work tomorrow just as they do every day. When Biden loses, his supporters will likely loot and riot. This tells you everything you need to know. #Trump2020
tweet-sno-1236	The individual wearing the 'Camp Auschwitz' hoodie yesterday not only displayed the SS 'Totenkopf' insignia but also an English translation of 'Arbeit Macht Frei.' There is no ambiguity or humor in this; it reflects the beliefs of these individuals.
tweet-sno-1237	"A woman who was maced inside the Capitol stated, ""It's a revolution!"""
tweet-sno-1240	This is a photograph of the National Guard stationed at the Lincoln Memorial in response to a Black Lives Matter protest in June.
