query_id	query
tweet-sno-1200	Na di news wey una don dey wait for... OREO x LADY GAGA biscuit drop today! 🎤🎶
tweet-sno-1201	"Sen. McConnell yan, ""Biden for October talk say unless na dictator you be, you no fit dey use executive actions. Now, within one week, e don sign pass 30 actions."""
tweet-sno-1202	Eh, Biden back in October 2020 say cannot just use executive order like that unless you're a dictator, lah.
tweet-sno-1203	Man, dey gone mess with our flag on Republic Day, at Red Fort too. What dey really tryin’ to do, disrespect our State or what? #RDaySpiritShamed
tweet-sno-1204	Wah, Biden sign order today, cannot use ‘China virus’ anymore lah.
tweet-sno-1205	"Trump done set up an office called ""Office of the Former President,"" ya heard?"
tweet-sno-1206	Trump open one office inna Palm Beach, fi deal wid him messages an' carry on him plans from him presidency.
tweet-sno-1207	Hidin’ cocaine in them shipment, dat can be bananas, ya feel me? #RCMP #Kelowna
tweet-sno-1208	"MILITARY SOURCE IN DC: ""Man, my battalion been sleepin' on the Senate cafeteria floor all week. Today dem kick we out and put we in some cold parking garage. 5000 soldiers. 1 plug. 1 bathroom. Dis Joe Biden America treat soldiers like dis."" PHOTOS"
tweet-sno-1209	Schumer say Trump cause 'erection,' but him mean 'insurrection' still.
tweet-sno-1210	"Yow, Schumer did seh, ""Incited di erection."" An' di look pon him face show seh him realize di slip."
tweet-sno-1211	Schumer deh pon Senate floor a chat, seh dem senatah dem haffi decide if Trump incite di 'erection'—mi mean, insurrection. It did real!
tweet-sno-1212	Alamak, Schumer kena suay liao, say wrong word, 'erection' instead of 'insurrection'.
tweet-sno-1213	Yow, Schumer wit dis “incited di erection” is di biggest mix-up inna politics. Fi real, wi should build a statue fi him, but mek it waist up fe be safe.
tweet-sno-1214	Dat Bernie meme wit Schumer talkin' ‘erection’ for ‘insurrection’. Good say we fit laugh for Washington again.
tweet-sno-1215	Wah, on MLK day, Insta label MLK daughter post as “misleading” leh… Super outrageous, lah!
tweet-sno-1216	MyPillow dey run promo, use ‘QAnon’ as code get $45 off. CEO Lindell visit White House yesterday, talk to Trump ‘bout martial law an’ election tings.
tweet-sno-1217	Wah, Tesla finding full-time staff to manage people talking rubbish online.
tweet-sno-1218	Yo, them #GwynethPaltrow candles might be hot stuff, but don’t leave 'em burnin’ alone, ya hear? Make sure they on a safe surface or y’all might need them firefighters quick fast.
tweet-sno-1219	"Dem suspend Marjorie Taylor Greene Twitter for 12 hours. She talk say ""Silicon Valley Cartel dey attack free speech, dem dey remove Trump and delete conservatives."""
