query_id	query
tweet-sno-1200	THE NEWS YOU’VE ALL BEEN WAITING FOR (AND WE COULDN’T WAIT TO REVEAL 😭)… OREO X LADY GAGA PACKS DROP TODAY! 🎤🎶
tweet-sno-1201	"SEN. MITCH MCCONNELL: ""AS RECENTLY AS OCTOBER, NOW-PRESIDENT BIDEN SAID YOU CAN'T LEGISLATE BY EXECUTIVE ACTION UNLESS YOU ARE A DICTATOR. WELL, IN ONE WEEK, HE SIGNED MORE THAN 30 UNILATERAL ACTIONS."""
tweet-sno-1202	".IN OCTOBER: “I HAVE THIS STRANGE NOTION, WE ARE A DEMOCRACY … IF YOU CAN’T GET THE VOTES … YOU CAN’T [LEGISLATE] BY EXECUTIVE ORDER UNLESS YOU’RE A DICTATOR. WE’RE A DEMOCRACY. WE NEED CONSENSUS."""
tweet-sno-1203	DISQUIETING ASSAULT ON OUR MOST VISIBLE NATIONAL SYMBOL. THAT TOO ON #REPUBLICDAY . OUR TRICOLOUR REPLACED AT ICONIC FLAGPOLE AT #REDFORT . WAS THIS PROTEST ALWAYS ABOUT UNDERMINING OUR STATE? | #RDAYSPIRITSHAMED
tweet-sno-1204	BIDEN SIGNED EXECUTIVE ORDER TODAY THAT CONTAINED A BAN ON THE TERM 'CHINA VIRUS'.
tweet-sno-1205	INBOX: FORMER PRESIDENT TRUMP HAS SET UP AN “OFFICE OF THE FORMER PRESIDENT”
tweet-sno-1206	"FORMER PRESIDENT DONALD TRUMP HAS OFFICIALLY OPENED THE 'OFFICE OF THE FORMER PRESIDENT,' WHICH WILL MANAGE HIS CORRESPONDENCE, PUBLIC STATEMENTS, AND ACTIVITIES TO ""CARRY ON THE AGENDA OF THE TRUMP ADMIN. THROUGH ADVOCACY…"""
tweet-sno-1207	CONCEALING COCAINE IN INTERNATIONAL SHIPMENTS CAN BE BANANAS: RCMP#KELOWNA
tweet-sno-1208	MILITARY SOURCE IN DC: “FOR THE LAST WEEK MY BATTALION HAS BEEN SLEEPING ON THE FLOOR IN THE SENATE CAFETERIA. TODAY THE SENATE KICKED US OUT & MOVED US TO A COLD PARKING GARAGE. 5000 SOLDIERS. 1 POWER OUTLET. ONE BATHROOM. THIS IS HOW JOE BIDEN’S AMERICA TREATS SOLDERS.” PHOTOS
tweet-sno-1209	"WATCH: CHUCK SCHUMER ACCUSES DONALD TRUMP OF INCITING AN ""ERECTION"""
tweet-sno-1210	"OH, DEAR. SCHUMER JUST SAID, ""INCITED THE ERECTION."" AND THE LOOK ON HIS FACE INDICATES HE KNOWS HE SAID IT."
tweet-sno-1211	"SO, ON THE SENATE FLOOR, CHUCK SCHUMER JUST SAID THAT SENATORS MUST DECIDE IF ""DONALD JOHN TRUMP INCITED THE ERECTION, UH, INSURRECTION…"" WELL, IT WAS AN UPRISING!"
tweet-sno-1212	"SEEMS LIKE SEN. SCHUMER'S GETTING A RISE OUT OF A LOT OF PEOPLE WITH THAT ""ERECTION"" GAFFE."
tweet-sno-1213	I AM READY TO DECLARE “INCITED THE ERECTION” THE FUNNIEST POLITICAL GAFFE IN AMERICAN HISTORY. WE SHOULD BUILD A STATUE TO CHUCK SCHUMER TO COMMEMORATE HIS ACHIEVEMENT. THE STATUE WILL ONLY BE FROM THE WAIST UP, THOUGH, TO BE SAFE.
tweet-sno-1214	THE BERNIE MEME, SCHUMER SAYING “ERECTION” INSTEAD OF “INSURRECTION”. GOOD TO SEE WE CAN HAVE A LAUGH AGAIN HERE IN WASHINGTON.
tweet-sno-1215	ON MLK DAY, INSTAGRAM HAS LABELED THIS POST ABOUT MLK FROM MLK’S DAUGHTER AS “MISLEADING”… THIS IS 🤬 OUTRAGEOUS!
tweet-sno-1216	THE MYPILLOW WEBSITE HAS AN ACTIVE PROMO CODE “QANON” WHICH GETS YOU A $45 DISCOUNT. (H/TFOR THIS DISCOVERY) MYPILLOW CEO MIKE LINDELL VISITED THE WHITE HOUSE YESTERDAY TO MEET W/ PRES TRUMP (45), ARMED WITH NOTES REFERENCING MARTIAL LAW AND ELECTION CONSPIRACY THEORIES
tweet-sno-1217	TESLA IS HIRING A FULL-TIME POSITION TO HANDLE PEOPLE TALKING SHIT ABOUTONLINE
tweet-sno-1218	SAFETY WARNING IT MIGHT BE POPULAR BUT DO NOT LEAVE #GWYNETHPALTROW SCENTED CANDLE UNATTENDED (OR ANY CANDLES FOR THAT MATTER) & ALWAYS ON A FLAME RETARDANT SURFACE. FAILURE TO DO SO COULD LEAD TO FIREFIGHTERS COMING QUICKLY TO YOUR HOME & SQUIRTING WATER
tweet-sno-1219	"MARJORIE TAYLOR GREENE'S TWITTER ACCOUNT HAS BEEN SUSPENDED FOR 12 HOURS. HER STATEMENT SAYS THE ""SILICON VALLEY CARTEL LAUNCHED A MULTI-FRONT ATTACK TO CHILL FREE SPEECH IN AMERICA BY DEPLATFORMING PRESIDENT DONALD TRUMP AND PURGING AN UNKNOWN NUMBER OF CONSERVATIVES"""
tweet-sno-1220	"QUICK INTERVIEW WITH THE NEW BURGER KING LOGO DESIGNER: ""WE EXPLORED A LOT OF DIFFERENT DESIGN TERRITORIES, BUT KEPT COMING BACK TO THE BRAND'S ORIGINAL ICONIC LOGO WHEN BURGER KING LOOKED AT ITS BEST"" –(VIA)"
tweet-sno-1221	I CRINGE KNOWING THEY THROW VACCINE OUT IN NY WHILE THE REST OF US ARE WAITING.
tweet-sno-1222	DEAR CLINTONS, YOU KNOW WHAT'S DEPLORABLE? BEING IMPEACHED!!! #BASKETOFDEPLORABLES
tweet-sno-1223	JAN 11 – TW CANNIBALISM // ARMIE HAMMER BLOOD DRINKING CANNIBAL SEX KINK DMS
tweet-sno-1224	SO THE GUY WAVING INDIAN FLAG AT CAPITOL HILL IS A VHS MEMBER 'KRISHNA GUDIPATI' (RES JACKET). VIDEO WAS POSTED BY VENCENT XAVIOR WHO LATER DELETED IT. THREAD. 👇
tweet-sno-1225	SYRINGE-SHAPED CAKES ARE DISPLAYED FOR SALE AT DORTMUND'S SCHUERENER BACKPARADIES BAKERY AS GERMANY CONTINUES THE ROLLOUT OF THE CORONAVIRUS VACCINE. MORE PHOTOS OF THE DAY:📷 LEON KUEGELER
