query_id,query
tweet-sno-1200,The news you all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today lah! 🎤🎶
tweet-sno-1201,"Sen. Mitch McConnell: 'Back in October, now-President Biden done said you can't make laws by executive action unless you a dictator. But in just one week, he signed over 30 solo actions.'"
tweet-sno-1202,"Singapore English: In October, he say, 'I got this strange idea, we are a democracy ... if you cannot get the votes ... you cannot [legislate] by executive order unless you are a dictator. We are a democracy. We need consensus.'"
tweet-sno-1203,Chei! Dem attack our big national symbol for Republic Day. Dem replace our Tricolour for Red Fort. Dis protest na to dey spoil our state? | #RDaySpiritShamed
tweet-sno-1204,"Biden sign executive order today lah, ban on using 'China virus'."
tweet-sno-1205,INBOX: Former President Trump has set up 'Office of the Former President'
tweet-sno-1206,"Former President Trump has started the 'Office of the Former President' in Palm Beach, Florida, to manage his mail, public statements, and activities to continue with his Trump agenda."
tweet-sno-1207,Hiding cocaine in international banana shipments can be bananas sia: RCMP#Kelowna
tweet-sno-1208,"MILITARY SOURCE IN DC: 'For the past week, my battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate chased us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden's America is treating soldiers.' PHOTOS"
tweet-sno-1209,WATCH: Chuck Schumer be sayin' Trump done caused an 'erection'
tweet-sno-1210,"Alamak, Schumer just said, ""Incited the erection."" And the look on his face confirm he know he said it."
tweet-sno-1211,"Wah, on the Senate floor, Chuck Schumer just said that senators must decide if 'Donald John Trump incited the erection, uh, insurrection…' Well, it WAS an uprising!"
tweet-sno-1212,Seems like Sen. Schumer don cause wahala for plenty people with that 'erection' mistake.
tweet-sno-1213,"Wah, I ready to say ‘incited the erection’ is the funniest political gaffe in American history lah! We should build a statue to Chuck Schumer to remember his achievement. But the statue will only be from the waist up, just to be safe."
tweet-sno-1214,"The Bernie meme, Schumer saying 'erection' instead of 'insurrection'. Good to see can laugh again here in Washington lah."
tweet-sno-1215,"On MLK Day, IG labelled this post about MLK from his daughter as 'misleading'... Wah, this is 🤬 outrageous leh!"
tweet-sno-1216,"The MyPillow website has this active promo code 'QAnon' that gives you a $45 discount. MyPillow CEO Mike Lindell visited the White House yesterday to meet with Pres Trump (45), bringing notes referencing martial law and election conspiracy theories."
tweet-sno-1217,Tesla is hiring someone full-time to handle people talking nonsense online.
