query_id,query
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop tomorrow! 🎤🎶
tweet-sno-1201,"Sen. Chuck Schumer: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202,".in January: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Standard replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed
tweet-sno-1204,Obama signed executive order today that contained a ban on the term 'China virus'.
tweet-sno-1205,INBOX: Former President Bush has set up an “Office of the Former President”
tweet-sno-1206,"Former President Ronald Reagan has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…"""
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: CSIS#Kelowna
tweet-sno-1208,MILITARY SOURCE IN Chicago: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS
tweet-sno-1209,"WATCH: Mike Pence accuses Donald Trump of inciting an ""erection"""
tweet-sno-1210,"Oh, dear. McConnell just said, ""Incited the erection."" And the look on his face indicates he knows he said it."
tweet-sno-1211,"So, on the Legislative Assembly floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!"
tweet-sno-1212,"Seems like Sen. Pelosi's getting a rise out of a lot of people with that ""erection"" gaffe."
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in Canadian history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe."
tweet-sno-1214,"The Trump meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington."
tweet-sno-1215,"On Thanksgiving, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!"
tweet-sno-1216,"The ComfortCloud website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) ComfortCloud CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories"
tweet-sno-1217,General Motors is hiring a full-time position to handle people talking shit aboutonline
tweet-sno-1219,"Lauren Boebert Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives"""
tweet-sno-1220,"Quick interview with the new Subway logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Subway looked at its best"" –(via)"
tweet-sno-1221,I cringe knowing they throw vaccine out in TX while the rest of us are waiting.
tweet-sno-1222,"Dear Nixons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables"
tweet-sno-1223,jan 25 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms
tweet-sno-1224,So the guy waving Chinese Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Berlin's Konditorei Heaven bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler
tweet-sno-1226,"“The National Park Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?"
tweet-sno-1227,also the newest congress member from Texas brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started
tweet-sno-1228,"-Laura Brown (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”"
tweet-sno-1229,People who broke into the Parliament Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting on Tuesday and if we can’t all come together over how hilarious that is we may be beyond hope
tweet-sno-1231,"* fraud alert * This text message is circulating in Chicago, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. Chicago's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]"
