query_id	query
tweet-sno-1200	We've been holding onto this exciting news (and it’s finally time to share 😭)… OREO x LADY GAGA packs are dropping today! 🎤🎶
tweet-sno-1201	"""Biden said in October that you can't legislate by executive order unless you're a dictator,"" Sen. Mitch McConnell stated, pointing out over 30 unilateral actions were signed in a week."
tweet-sno-1202	".in October: “I hold this strange belief, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203	Disturbing assault on our prominent national symbol on #RepublicDay. The Tricolour was swapped out at the iconic flagpole at #RedFort. Was undermining our State the real protest goal? | #RDaySpiritShamed
tweet-sno-1204	"""The executive order signed by Biden today bans the use of the term 'China virus.'"""
tweet-sno-1205	"An ""Office of the Former President"" has been set up by former President Trump."
tweet-sno-1206	The 'Office of the Former President' has been opened by Trump to oversee correspondence and public statements, continuing the advocacy of his administration's agenda.
tweet-sno-1207	Cocaine hidden in banana shipments to Canada isn't so unusual: RCMP#Kelowna
tweet-sno-1208	"""MILITARY SOURCE IN DC: 'My battalion spent a week on the Senate cafeteria floor. Today, Senate moved us to a cold garage. 5000 soldiers, 1 power outlet, one bathroom. This is the treatment of soldiers under Joe Biden.' PHOTOS"""
tweet-sno-1209	"WATCH: On the Senate floor, Chuck Schumer says Trump incited an ""erection."""
tweet-sno-1210	"Oh, dear. Schumer's face reveals he realized his slip after saying, ""Incited the erection."""
tweet-sno-1211	"Chuck Schumer's slip on the Senate floor where he said senators must choose if ""Donald John Trump incited the erection, uh, insurrection…"" was a notable moment!"
tweet-sno-1212	"That ""erection"" blunder by Sen. Schumer is certainly raising eyebrows."
tweet-sno-1213	“Incited the erection” has my vote for the funniest political mistake in U.S. history. Let's build a Chuck Schumer statue, but just from the waist up to be cautious.
tweet-sno-1214	"Schumer's gaffe of saying ""erection"" for ""insurrection"" and the Bernie meme. We're enjoying laughs in Washington again."
tweet-sno-1215	This is 🤬 outrageous! Instagram marked a post about MLK from his daughter on MLK day as “misleading.”
tweet-sno-1216	MyPillow offers a $45 discount with the promo code “QAnon” on their website. CEO Mike Lindell met President Trump at the White House yesterday, with notes discussing martial law and election conspiracy theories.
tweet-sno-1220	"Chat with the creative behind Burger King's latest logo: ""We explored numerous design options, but consistently found ourselves returning to the iconic original logo when Burger King was at its best."" –(via)"
tweet-sno-1221	Knowing vaccines get tossed in NY while we're all waiting makes me cringe.
tweet-sno-1222	Dear Clintons, getting impeached is the real definition of deplorable! #BasketOfDeplorables
tweet-sno-1223	jan 11 – tw cannibalism // leaked DMs show armie hammer's interest in blood drinking and cannibal sex kink
tweet-sno-1224	At Capitol Hill, 'Krishna Gudipati' from VHS is the one with the Indian flag (Red Jacket). Vencent Xavior posted the video but deleted it later. Thread. 👇
tweet-sno-1225	The Schuerener Backparadies bakery in Dortmund is offering syringe-shaped cakes for sale amid Germany's ongoing coronavirus vaccine rollout. More photos of the day:📷 Leon Kuegeler
tweet-sno-1226	"""The weekend discovery of a manatee with 'Trump' scraped into its back is under investigation by the U.S. Fish & Wildlife Service at Blue Hole on the Homosassa River. Insurrectioning wildlife?"""
tweet-sno-1227	"Illinois' latest congress member said ""Hitler was right about one thing"" in her speech before the riots kicked off. 💀💀"
tweet-sno-1228	“Hitler was right on one thing,” Mary Miller said today, moments before the unrest started.
tweet-sno-1229	Individuals involved in the Capitol incident on Wednesday are finding out they're now on No-Fly lists as investigations proceed. They're upset.
tweet-sno-1230	Yesterday, a guy accidentally tased himself in the balls and suffered a heart attack while stealing a painting, and if that can't make us all laugh together, we might be past saving.
tweet-sno-1232	Seeing the reports about few arrests from the Capitol riot, I think of Rev. Raphael Warnock, Georgia's next senator, who often spoke of his many arrests during peaceful Capitol protests in his campaign talks.
tweet-sno-1233	Even if he were to lose (he won’t), his supporters would just go to work tomorrow as usual. But when Biden loses, his “supporters” are likely to loot and riot. Says it all! #Trump2020
tweet-sno-1234	Thanks to our quick-thinking floor staff, Electoral College ballots were rescued from the Senate floor before the mob could burn them.
tweet-sno-1235	The courage of these Senate aides ensured the safe transport of the electoral votes before evacuating the Senate. There will always be heroes, just as there will always be villains.
tweet-sno-1236	The individual wearing a 'Camp Auschwitz' hoodie from yesterday showed off the SS 'totenkopf' and 'Arbeit Macht Frei' translated into English. No joking about it, this is who these people are. (via)
tweet-sno-1237	"""It's a revolution!"" said the woman who claimed she was maced inside the Capitol."
tweet-sno-1238	Wait, Elizabeth from Knoxville, stormed the Capitol, says she was maced, and used an onion towel on her eyes?
tweet-sno-1239	We have 10 days to expose crooked machines and fraudulent ballots. Wrong, we're fools; right, many jailed. Let's have trial by combat — Giuliani
tweet-sno-1240	here's a photo of the National Guard at the Lincoln Memorial during a BLM protest in June
tweet-sno-1241	Those who vandalize or damage Federal Courthouses in Portland, or any other federal buildings, will be prosecuted under our Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON for anarchists, agitators, or protestors. Don’t do it!
tweet-sno-1242	JUST IN – Pence's Twitter account no longer follows Trump.
tweet-sno-1243	"""Scenes depict the Confederate flag flying outside the Capitol in DC at this moment."""
tweet-sno-1244	"""Outside the Senate chamber, a confederate flag is flying."""
tweet-sno-1245	On January 6, 2021, a Trump supporter carrying a Confederate flag breached security at the U.S. Capitol, seen near the Senate entrance. Photo by Mike Theiler
tweet-sno-1246	In front of the Capitol building, a cross was just installed.
tweet-sno-1247	Italians have begun sharing what they think is a 5G chip diagram from the COVID vaccine, which is actually a guitar pedal circuit. I believe adding it to the vaccine was a great idea💡
tweet-sno-1248	Seen this morning: Fresh snow at 4500 ft in Juniper Hills, CA, south of Pearblossom in the San Gabriel foothills. Photo shared thanks to Scott Lezak. #cawx #SoCal #LAweather
tweet-sno-1249	Michaela Moffitt captured a photo of roughly 1/2 inch of snow at the 3700 ft level in Pearblossom early today. Thanks, Michaela and NWS spotter Scott Lezak, for passing along the snapshot. #cawx #LAweather #LAsnow
tweet-sno-1250	"""In Pennsylvania, there were 205,000 votes counted beyond the number of voters, flipping the state to Trump."""
tweet-sno-1251	When is signature verification happening in Fulton County, Georgia? The process is VERY slow. Pennsylvania found 205,000 extra votes compared to voters. Therefore, we WIN Pennsylvania!!!
tweet-sno-1252	"Even with a negative COVID test, you aren't ""cleared"" for gatherings since the virus might not be detected early, and there's a ~20% chance of a false negative. Sincerely, An increasingly desperate ER doctor."
tweet-sno-1253	We had a wonderful meal at last night with my family. Didn't take photos, so I used an old one. Glad this tweet is catching on. Please help support Gino and his team at. Small businesses are hurting right now.
tweet-sno-1255	"They're about to show the pool under the basketball court in ""It's a Wonderful Life"" on the east coast, and it's still at my high school. #Beverly"
tweet-sno-1256	Yes, it's actually real. Powered by Intel, and it includes a chicken warmer. 😅 #KFConsole #IntelGaming
tweet-sno-1257	As a Christian, I follow the Bible, which states that homosexuality is a sin, something to repent for and not flaunt, even if Mayor Buttigieg calls himself a gay Christian. Marriage, as per the Bible, is between a man and a woman, not otherwise. 2/3
tweet-sno-1258	$2M for Kanye West, $4M for Joel Osteen, $960K for Tom Brady, and just $600 for most Americans. #IAmVeryUpset
tweet-sno-1259	Earthly thumbs down for Vatican's 'Darth Vader' nativity scene.
tweet-sno-1260	"""Aiming for high customer satisfaction, SIE will offer complete refunds to those who purchased Cyberpunk 2077 on the PlayStation Store and opt for a refund."""
tweet-sno-1261	"""For Xbox players of Cyberpunk 2077 who want their expected experience, our refund policy now offers full refunds for digital purchases from the Microsoft Store."""
tweet-sno-1262	Yuichi Tsuda confirmed at yesterday's press conference that the capsule contains samples from Ryugu!
tweet-sno-1263	"""Justice Roberts allegedly yelled during Texas case deliberations, with liberal Justices worrying about repercussions of making the right decision…Moral cowardice."""
tweet-sno-1264	"""A mini-version of the Rosebud Motel has popped up in front of a house in my neighborhood. It's like something out of a TV show!"""
tweet-sno-1265	"Day-vahd [with Moira Rose's iconic voice], look here! A Seattle resident in Queen Anne crafted a tiny Rosebud Motel on their wall for fans of ""Schitt's Creek."""
tweet-sno-1266	The biggest change between 2016 and 2020 elections is that I got a record increase from 63,000,000 Votes to 75,000,000 Votes. Obama, despite losing 3,000,000 Votes, still won. Rigged Election!!!
tweet-sno-1267	Despite their jackets having oil and gas products, North Face denied an order from an oil and gas company.
tweet-sno-1268	"""Joe Biden is a globalist,"" said Alex Jones at a pro-Trump march in DC, ""and he will be removed, one way or another!"""
tweet-sno-1269	Does the Allstate advertisement show a real island? I want to make it my home.
tweet-sno-1270	Is the Allstate commercial's small island with 2 lighthouses and a classic Land Rover driver real? Where is it located, Maine or New Brunswick?
tweet-sno-1271	President Trump signed an executive order on Friday making Christmas Eve a federal holiday in 2020. BREAKING.
tweet-sno-1272	In development: Sister Act 3! 🎤 will reprise her role and produce, with also producing. Premiere on the horizon.
tweet-sno-1273	"""The 1993 Halloween classic sees a sequel in Hocus Pocus 2, coming exclusively!"""
tweet-sno-1274	Due to drive-thru lines extending into the center's aisles, a shopping center owner has filed a lawsuit against Chick-fil-A. Stay updated on Toledo-area news by downloading #BladeNewsSlide 📲
tweet-sno-1275	By sticking to a $4.99 price for rotisserie chicken, Costco reportedly loses $30 to $40 million each year, choosing instead to prioritize member happiness and high foot traffic.
tweet-sno-1276	I won Iowa, Florida, and Ohio by a significant amount, and no Presidential candidate has ever nearly lost an Election with those wins!
tweet-sno-1277	NEW YORKERS: Found out today that in the Spanish flu pandemic of 1918, these radiators were intended to warm apartments with windows completely open for disease ventilation (!!!!)
tweet-sno-1278	"""Not happy with my bacon egg McMuffin today. The egg wasn't proper and it arrived frozen cold!"""
tweet-sno-1279	At a press conference, Rep. Louie Gohmert unexpectedly lost a tooth.
tweet-sno-1280	"When asked about disputes with Kamala Harris, Biden replied, ""Like I told Barack, if there's a fundamental disagreement based on moral principle, I'll develop some disease and say I have to resign."""
tweet-sno-1282	Today I remembered that Indiana Jones once vanquished villains by jamming on a saxophone, just for all you completists.
tweet-sno-1283	Indiana Jones once vanquished 3 opponents with a saxophone scene we'll never forget.
tweet-sno-1284	HOLY SHIT. Witness Harrison Ford as a bearded Indiana Jones, playing the blues and creating an avalanche with a saxophone, all while looking directly into the camera. YOU ARE WELCOME TWITTER
tweet-sno-1285	"""This morning, state police came to my home at 8:30 am with a warrant after a DOH complaint, confiscating all my devices. They aimed guns at me and my children, so there will be no update today."""
tweet-sno-1286	Lmao, apparently, NASA engineers asked Sally Ride if she needed ONE HUNDRED tampons for a two-week trip in space 😭😭 they simply didn’t know how many tampons women used.
tweet-sno-1287	"I visited and said ""my pleasure"" before the employee after getting my order. I asked him if saying it first meant I’d get free ice cream, but he told me that’s just a rumor :("
tweet-sno-1288	"Secure a free ice cream cookie sandwich at Chick-fil-A by saying ""my pleasure"" before the employee does! #thisbetterbetrue"
tweet-sno-1289	Tried saying my pleasure first at Chick-fil-A and only got a weird look, no free ice cream 😂😭
tweet-sno-1290	"PSA: Uttering ""my pleasure"" first to a Chick-fil-A employee won't earn you a free cookie ice cream sandwich, a discount, or other TikTok-fueled myths!"
tweet-sno-1292	How absurd that Rep Matt Putz – oops, I meant Gaetz – would get involved in this. What a fool. Matt – Consider yourself unwelcome in New Jersey, and truthfully, I don't want you back.
tweet-sno-1293	With the lights on, we're providing food and water to our passengers! Grateful for opening on a SUNDAY! #ChristmasMiracle
tweet-sno-1294	Can you believe Drake is crafting a candle that has his scent? Hope Jay's ready with $80. 😇
tweet-sno-1295	Can someone confirm if there will be support for Flash Player post-December 2020?
tweet-sno-1296	Curious about what happens this December when Flash support is discontinued?
tweet-sno-1297	Just learned that after December 2020, Chrome will stop supporting Flash Player. Does this mean YouTube and sites using Flash Player are off-limits?
tweet-sno-1298	Kids in #Ireland, take note: #Santa is on his way and is exempt from #Covid travel restrictions. Make sure to maintain social distancing with Santa.
tweet-sno-1299	🚨 🚨 BREAKING NEWS 🚨 🚨 Pine Mountain in Atascadero is home to a new monolith!! (Photos by)
tweet-sno-1300	The viral claim states LOUIS XIV WAS A PERVERT WHOSE FETISH INVOLVED WATCHING CHILDBIRTH. It argues this led to women giving birth on their backs. IT’S FALSE! Francois Mauriceau, an eminent 1660s obstetrician, influenced this practice 👇
tweet-sno-1302	The Science & Technology section's article, “A closer look at U.S. deaths due to COVID-19,” from Nov. 22, has been removed.
tweet-sno-1303	"Haha, pretty awesome you got to be on ""Teen Win Lose or Draw."""
tweet-sno-1304	Do you recall the show teen win lose or draw from 1990? She competed with Leonardo DiCaprio on it! #flashbackfriday
tweet-sno-1305	Leonardo DiCaprio and Soleil Moon Frye compete on Teen Win, Lose or Draw (1990).
tweet-sno-1306	"Governor, why do you refuse to use your emergency powers to overrule the Secretary of State of Georgia and verify signature matches on envelopes? This ""goldmine"" of fraud could help us WIN the state…."
tweet-sno-1307	"""A giant scam in Detroit with FAR MORE VOTES THAN PEOPLE means I win Michigan!"""
tweet-sno-1308	"In a 2018 flashback, President Trump went after Carrots the turkey for not conceding after the White House turkey pardon contest. ""This was a fair election… unfortunately, Carrots refused to concede and demanded a recount."""
tweet-sno-1309	Today at 1:30pm AKST, Utqiaġvik will see the sun set and won't see it rise again until January 23rd, 2021, marking a 66-day polar night. #akwx
tweet-sno-1310	Air Force Magazine reports Tyndall as the DOD’s first base to employ robot dogs. Go!
tweet-sno-1311	"""Growing evidence of voter fraud includes 20,000 deceased individuals on Pennsylvania's voter roll, with many more across the nation, skewing votes in Joe Biden's favor."""
tweet-sno-1312	After being found in the #RockefellerCenterChristmastree, a small #sawwhet owl is now recuperating at #ravensbeardwildlifecenter. Story onat pm.
tweet-sno-1313	"""After realizing Biden was losing badly, he received a 143,379 vote dump at 3:42 AM in Wisconsin the day after the election. Unbelievable event!"""
tweet-sno-1314	Trump won by a landslide according to raw data from the server the US military seized 👇🏻👇🏻👇🏻 410!!!!_GOP. Declare Republican candidates winners in landslide states!!
tweet-sno-1315	It's claimed that the Germany server data points to a Trump landslide: 410-128 👍
tweet-sno-1316	"!expresses “bad news” sentiment about Pfizer’s Covid vaccine arriving in Trump's term; aims to unite with other governors to “prevent” distribution “before it does damage"""
tweet-sno-1317	"""A week after the election in Puerto Rico, thousands of votes were uncounted, highlighting the importance of letting the process complete."""
tweet-sno-1318	The 2,600 additional votes in Floyd County would have been found due to a voter tally mismatch, says Georgia SoS, regardless of the audit.
tweet-sno-1319	BREAKING: Over 2,600 ballots in Floyd County, Georgia, were discovered uncounted in the presidential race, potentially aiding President Trump in narrowing his 14,000-vote gap to Joe Biden.
tweet-sno-1320	"""Over a MILLION people are on Pennsylvania Ave showing support for this President. Meanwhile, Biden struggles to fill 36 circles. #MillionMAGAMarch"""
tweet-sno-1321	NewsMax advises Trump to retire immediately, enabling Pence to oversee the transition and strengthen his bid for the 2024 Republican nomination.
tweet-sno-1322	Newsmax, a right-wing outlet linked to Trump’s ally Chris Ruddy, suggests he retire: “To avoid this ordeal, President Trump should step down at once, letting Mike Pence manage the transition.”
tweet-sno-1323	I used to love this media outlet until they said Trump should step down immediately, allowing Mike Pence to manage the transition.
tweet-sno-1324	A deleted tweet from her suggested that Joe Biden would be president next year. Via
tweet-sno-1325	Bankruptcy filed by Raising Cane's.
tweet-sno-1326	"""After Raising Cane's declared bankruptcy to close out 2020, Jesus just come get me already."""
tweet-sno-1327	I literally had a heart attack seeing #RIPDrake trending.
tweet-sno-1328	"""Happy launch day, gaming alongside you is a pleasure through generations."""
tweet-sno-1329	#GreatnessAwaits Congrats! #NextGeneration
tweet-sno-1330	Did ICE's Twitter page go missing temporarily? H/T:
tweet-sno-1331	Why is the ICE Twitter account missing?
tweet-sno-1332	An announcement for #VeteransDay: U.S. Armed Forces Veterans and Gold Star Families will receive free national park access forever. Learn more at #DOIDelivers
tweet-sno-1333	The public-private partnership spearheaded by the President has resulted in an announced Coronavirus Vaccine trial with 90% effectiveness in preventing infection among its volunteers.
tweet-sno-1334	The 90% effectiveness of the vaccine is brilliant news for us all! Grateful to Operation Warp Speed for this. It stands as a major achievement by the administration in managing the pandemic. ❤️🇺🇸 #USStrong
tweet-sno-1335	"Biden's hat says it all: ""We Just Did,"" taking on the MAGA hat. 😯"
tweet-sno-1336	Cheers to President-elect Joe Biden! Major, his German shepherd, will mark the first shelter dog in the White House. Adopted two years ago from the Delaware Humane Association, he was initially fostered by the Bidens.
tweet-sno-1338	"#US: Steve Bannon, a criminal and Trump loyalist, declared Dr. Fauci and FBI Director Wray should be beheaded and have their heads placed on pikes at the White House ""to warn federal bureaucrats"". (📹)"
tweet-sno-1339	"""Trump's finalized rule today removes #EndangeredSpecies protections for gray wolves in the Lower 48, endangering ecosystems and neglecting Indigenous input."""
tweet-sno-1340	From the Delaware County, PA live stream, here's a video of a ballot worker filling out ballots.
tweet-sno-1341	"""Stop the vote!"" and ""Count that vote!"" are chants from Trump supporters. #election2020"
tweet-sno-1342	A recount in the battleground states shouldn’t happen. Obama will steal it. Remind your friends and family to vote.
tweet-sno-1343	IS THERE ALTERATION OF MAIL IN BALLOTS OCCURRING IN CORRUPT DEM DISTRICTS? Heard about the Sharpie pens distributed to Trump voters and their ballots being invalidated?
tweet-sno-1344	"""There's word from Arizona that sharpie pens used in GOP precincts might be invalidating ballots, possibly affecting a significant number of Trump supporters. More soon."""
tweet-sno-1345	Ballots uploaded all showing 100% for Biden. Sharpie use by Trump supporters leads to invalidation in AZ. This isn’t democracy; we are ruled over.
tweet-sno-1347	Here’s an alternative angle of the whale breach, which appears to involve a kayak in its mouth. The woman filming this notes she was capturing the whale from a distance when it suddenly surfaced, targeting the fish near the kayak (Video: Mandy Boyle).
tweet-sno-1348	"Biden remarked: ""I was a lifeguard at a country club pool, playing ball with many talented black athletes. We were friends, but I didn’t know them deeply. It was an enlightening experience, similar to the Green Mile."""
tweet-sno-1350	When the Amish create their own Trump Train, you know a landslide's coming 😎🇺🇸
tweet-sno-1351	Voting 👏🏾 in Minnesota 👏🏾 doesn’t require 👏🏾 pre-registration 👏🏾 as same-day 👏🏾 registration 👏🏾 is available 👏🏾 right 👏🏾 at the polls 👏🏾👏🏾
tweet-sno-1352	Hunter Biden reportedly turned against his father, disclosing a $300 million Biden family stash in Switzerland.
tweet-sno-1353	Word is that on the 28th, Hunter Biden turned himself over to the FBI, ditched on his father, and was whisked to a treatment center without being charged. Heard anything?
tweet-sno-1354	Has Hunter Biden flipped on his father?
tweet-sno-1355	14/n #HunterBiden has reportedly flipped, according to sources.
tweet-sno-1356	Biden's son just turned himself in!
tweet-sno-1357	"Due to armed Trump supporters reportedly harassing the campaign bus and ramming volunteer vehicles, Biden cancels the Austin rally. ""At least the Trump hearse seems fitting given the 200K+ Americans who have died due to his incompetence.” #VoteBlueToEndTheNightmare"
tweet-sno-1358	"""Along I-35, those Trump-flagged pickup trucks waited to ambush the Biden/Harris campaign bus on its way from San Antonio to Austin."""
tweet-sno-1359	The bus was surrounded by Trump supporters, many of them armed, who tried to run it off the road, outnumbering law enforcement 50-1 and colliding with a staffer's car. 3/
tweet-sno-1361	This violent right-wing group, equipped with weapons, is trying to run Biden off the road and should be arrested for their plot.
tweet-sno-1362	The legendary 007 star Sean Connery has passed on to greener fairways. He was quite something, and a tough character. I faced challenges getting approvals for a big Scottish development until Sean intervened with, “Let him build the damn thing.” That was…
tweet-sno-1363	Can someone explain why the Mexican Pizza is sold out everywhere?
tweet-sno-1364	"""Why is the Mexican pizza gone??? 😭😭 #bringbackthemexicanpizza"""
tweet-sno-1365	Say it isn’t true that the Mexican Pizza has been taken away 😩 #savethemexicanpizza
tweet-sno-1366	Can you still get Mexican Pizza at Taco Bell?
tweet-sno-1367	Have they already taken the Mexican Pizza off the menu?!
tweet-sno-1368	So hard to handle... Cheesecake Factory is permanently closing and Taco Bell is nixing the Mexican Pizza.
tweet-sno-1369	Closing all the Cheesecake Factory restaurants? 2020 just got worse. I’m done, and it’s really making me sad.
tweet-sno-1370	Just heard that the “Cheesecake Factory” is shutting its doors for good. Thanks to Trump's lack of support, every closed business can blame him and the GOP for not providing stimulus aid.
tweet-sno-1371	The Cheesecake Factory will close all restaurants permanently.
tweet-sno-1372	The Cheesecake Factory is being closed for good, wow!
tweet-sno-1373	So sad to hear The Cheesecake Factory is shutting down all its restaurants 😢
tweet-sno-1374	All of The Cheesecake Factory's restaurants are closing for good. _LQ I thought you should know this lol
tweet-sno-1375	Not the permanent closure of Cheesecake Factory for good ☹️
tweet-sno-1376	"While you stated the Amy Coney Barrett congratulatory tweet was removed as it was ""viewed as a political and partisan"" and theis ""nonpolitical,"" this tweet is still up. 🤔 #progressiveprivilege"
tweet-sno-1378	In his speech, Trump called for the assassination of his rival.
tweet-sno-1380	Trump has rolled back the global health security progress made with President Obama, leaving us unprepared for a pandemic. We need leaders who build public trust and focus on preventing outbreaks before they arrive.
tweet-sno-1381	"As of last month, ""preference"" in Webster’s Dictionary meant “orientation” or “sexual preference."" TODAY, they marked it as “offensive."" Verified this via Wayback Machine."
tweet-sno-1383	Uhhhhh take a look at Mitch McConnell's hands in this picture from AP.
tweet-sno-1384	An acclaimed nurse has been arrested in connection with a shooting. Catch up on the most recent details of this story.
tweet-sno-1385	"Jane Fonda, acting as Joe Biden's surrogate, named coronavirus ""God's gift to the Left."""
tweet-sno-1386	Kamala Harris and Joe Biden intend to prohibit fracking.
tweet-sno-1387	"""John F. Kennedy in New York and Richard Nixon in a Los Angeles studio will be 3,000 miles apart for tonight's discussion, not sharing the same platform as in the first two programs, but connecting through electronic facilities."""
tweet-sno-1388	"The Rules: ""Masks are mandatory."" But Karen Pence was mask-free."
tweet-sno-1389	The hillside near Sepulveda Pass on the 405 Freeway now has a Trump sign, but who erected it is unclear 📹: Sky5
tweet-sno-1390	"This is the Democratic VP nominee provoking violent riots resulting in multiple American deaths: ""Everyone beware. They're not gonna stop before election day in November, and they're not gonna stop after election day… They’re not gonna let up and they should not."""
tweet-sno-1391	"Calling Trump supporters ""the dregs of society,"" Biden shows the humor in calling him a unifier."
tweet-sno-1392	Biden: 'Some Black Woman' stocking grocery shelves allowed me to 'Stay Sequestered.'
tweet-sno-1395	.and I are part of the movement with thousands of gay men aiming to reclaim #ProudBoys from white supremacists. Let's use the hashtag for love, positivity, and true PRIDE! Your two #ProudBoys are standing by, ready to VOTE! 🏳️‍🌈🗳
tweet-sno-1396	Amazing! A huge group of bikers has gathered to pray for President Trump and the First Lady. The nation supports you, Mr. President! 🇺🇸
tweet-sno-1397	"To me, the email claiming ""donate to help him recover"" appears fake."
