vclaim_id,vclaim,title,generated_title_str
"825,187","CBI raided NDTV’s owner Pranoy Roy and divulged a lot of secrets. Roy’s birth certificate was discovered and according to that his real name is Parvez Raja, and the place of his birth, Karachi. According to another secret document discovered, the full form of NDTV is Nawazud Din Taufik Venchar, the name of Pannoy Roy’s father. His wife Radhika’s real name is Rahila . A dartboard has been found in his bedroom that uses Narendra Modi’s face as a target. For Every Indian, it is time to open your eyes and recognise these two-faced people. Whoever does not forward this message to 10 WhatsApp groups is probably doing a disservice to the Motherland .*

Forwarded just as received",The claims that Pranoy Roy is a Muslim and CBI found certain documents in its raid are false. The Lallantop did a full report on this claim. Link to the video. ,No factual claims can be extracted as the input contains only a technical explanation about missing content rather than an actual fact-check article.
"828,063",Check my video posts then you understand,"Hi. This is a fact-check helpline number. The video you have sent cannot be fact-checked as there is no claim. If you come across any message/video/image that is suspicious and you want to verify its claim, please send it to us with all the details and we will revert with the verified report.

To read our latest fact-check, visit:",No factual claims can be extracted as this is a meta-description of webpage content rather than an actual fact-check article.
"853,400","I'm Taoheed, a creative writer and investigative journalist.

I'm the National Correspondent for Track News Nigeria and Chief Editor of Scholar Media Africa Magazine in Kenya.","To reach out to our teams, email hello@pesacheck.org or info@pesacheck.org",No factual claims can be extracted as this is a meta-message about HTML content structure rather than an actual fact-check article.
"875,839",I saw this on Facebook...hi,"What would you like us to fact-check for you today.
To share and item for fact checking, reply with 1 and follow prompts.
To read our fact checks, visit:",No actual fact-check claims can be extracted as the input appears to be a system message about missing article content rather than a fact-check article.
"880,385",Please talk me to your member not the bot,"Hello sir/madam

I am from the fact check team and all the members of the AajTak AFWA team are constantly working to verify claims sent by users like you, but we will only be able to verify any information for you once you send it through the bot so kindly follow the steps as told by our bot and rest assured we will surely get back to you with the fact check report as per your request. Thank you!

To read our latest fact check please check this link:",No fact-check claims can be extracted as the input contains a message about missing article content rather than an actual fact-check article.
"892,491",Hi! My high school teacher and now my colleague sent me these photos of Leni Robredo. Claiming she is a communist party member   since she was first married communist in cebu before she got married to Sec Jessie Robreso. Can you help me check this one please. Thank you.,Dati nang itinanggi ni Vice President Leni Robredo na una siyang ikinasal sa isang miyembro ng NPA. Ang nasa larawang kumakalat ay hindi si Robredo kundi ang mag-asawang sibilyan na sina Jennet at Daniel Canlas.,No claims can be extracted as the input contains only a note about missing article content rather than an actual fact-check article.
"900,179",How to get text forwarded message is true or rumor?,"Hello. Thank you for reaching out to India Today AFWA fact check helpline. Please send the message/video/image that you find suspicious to us and we will verify and send a fact-check report to you related to your query.

You can choose your preferred language and follow the instructions given by the bot to send us your query.

Read the latest fact checks here:","This appears to be a system message indicating that the provided content was a listing page of fact-check stories rather than a specific fact-check article, and therefore no specific claims can be extracted."
"1,073,395","I already forwarded an url. But it had a typo. Here is the correct url  which needs investigation

Https://comfortsoluations.com/cooling.php","Hi. Thank you for bringing this to our notice. India Today has no association with this website and has not written the article as shown on the webpage. Kindly refrain from believing such malicious acts and once again thank you for bringing this to our notice.

Read our latest fact checks here:",No factual claims can be extracted as the text appears to be a system message explaining that the provided content is a webpage structure rather than an actual fact-check article.
"1,284,321","Check

In Kenya, prisoners can vote, but only in the presidential election. There are 10,443 prisoners registered to vote in the 2022 election.","According to data on IEBC’s website, there are 7,483 prisoners who have been registered as voters and not 10, 443 as indicated in the claim.

https://www.iebc.or.ke/registration/?Statistics_of_Voter_2022

To read our fact-checks, visit",No actual fact-check claims can be extracted as the input text explains that it is a message about missing content rather than an actual fact-check article.
"1,672,286",Rohit sharma retired from world t20 cricket,"No such official announcement has been made so far. We found multiple media reports speculating if Virat Kohli and Rohit Sharma would take retirement from the T20 format, but none of them has mentioned that Rohit has announced his retirement.",No fact-check claims can be extracted as the input contains only a YouTube page template without any fact-check content.
"1,756,292","Hello

Messaging you from the USA. 

Is this the correct number to contact India Todsy?

Is this the number for the Tamil version?

I want to explore a possible tamil article with an editor of Tamil India Today

Thanks

Ravi","Hi. This is AajTak's fact-check number. If you come across any photo/video/information that might be fake/not true and you want to know the truth behind it, kindly send it to this number. 

Read our recent fact-check reports here:",No actual fact-check claims can be extracted as the input appears to be a message about missing content rather than a fact-check article
"1,760,169",What is The Difference Between Disinformation and Misinformation?,Do you often hear people use the terms misinformation and disinformation? And do you wonder what the difference between the two is? Watch our video to find out.,No factual claims can be extracted as the input contains only a request for proper fact-check article content rather than an actual fact-check article.
