query_id	query
854866272592461824	Patriots dem dey talk say dis year players small pass 2015 own, but whole delegation no change much.
870592575232716800	Corbyn dey try find way to reduce student debt, but e never make any promise. #VoteLabour
1168652785858030848	#HurricaneDorian dey near #Florida! Make we pray say e no go cause much damage & life loss 🙏
989813335137828992	PM Modi and Xi Jinping dey do talk-talk for Wuhan, but Modi come spell 'Strength' like 'STREANH.'
1206894576872480256	Wetin make Rohingyas wan come India, no be China? Na because India get intellectuals and seculars, China no get dem.
1275755712577179136	E no sure yet but deaths fit delay small, make I dey hope say e go remain so. 7/
1110953391197442048	Govnor Evers wan increase property tax for Wisconsin dis year pass any year for the past decade. Republican dem don dey work hard last 8 years to give $3.56 billion tax relief. #ItsYourMoney
1298071620414824192	Dem dey yab me for wetin I talk for Sunday night about convalescent plasma. Na true talk. Wetin I suppose talk be say na relative risk reduction, no be absolute risk reduction.
1254729405009661952	Samantha, dis post na fake oh, e no come from us. We no dey open today, no get any plan for now. When we go open, we go announce for official channels and website.
1264528106145975808	Man, dem cop get suspend fast fast after dem seen beating one man. Department go investigate dem.
1287988851898633984	You wan make India govment ban dat PUBG app? Plenty people dey vex say make dem ban am, dem tink say na North Korea game be dat! #pubgban #pubgbanindia
1240701140141879040	Trump don cancel 'Corona' then replace am with 'Chinese' Virus on him notes as he dey talk with him coronavirus task force today for White House. #trump #trumpnotes
976874618056331392	Dis bill no dey cover the 700,000 Dreamers wey the wahala Trump Administration cause. Until we sabi their future dey intact, I no fit support am.
1163738113455186176	Make una check di bungalows of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, an' Mehbooba Mufti. Na govment house dem be, dem dey maintain am wit public money. You go soon sabi why dem dey oppose removal of Article 370 & 35A.
1153353543899741952	I talk say Fox News no go show the Mueller hearings, but e be like say na lie.
994398072569413632	Hanson dey talk say make we reduce immigration cap to 75,000 coz we no get money for infrastructure.
1118144254155553920	For UK, na suicide dey cause pass death for men wea never reach 45. Also for UK, MPs reach 650, so how dem wan pack enter Commons for mental health debate wen only 427 chairs dey? #simples only 11 show show 🤷‍♂️
1259344625069772032	Prada dey do advert wit body bag o, na last bag you go need!
952784898368163840	Yo Mohammed, dis thing a scam, got nuttin' to do wit Emirates. All our competitions run from official channels or di website. Thanks.
1193925390806507008	No be electron microscope take dis pic. Na macro photo of ant by Abdul Latif. Instagram dey there.
1025133940552749056	Dem lefties don dey call my family Nazi for three years now, but once I talk say Democrat plan resemble dat of National Socialist, dem dey vex. See wetin I dey talk. #facts
1208977821986503936	"Modi dey ask, ""NRC? Wetin dat one be? Why una dey fear fear because of Urban Naxals? We no talk anything about national NRC o."""
1011802098420387072	If you see dis flag for person social media or dem dey use 'MAP' for dia bio, abeg make you report dem. Dem fit be pedophile. Do your own.
1195803387171921920	Abeg, dem lie say Stefanik dey show middle finger for committee, na bigger wahala than flipping finger.
179544626909298720	I no go dey hide or run because some peta people no like me.
983897388635963392	I dey Hindu, no fit step back again. Na Hindu nation go reign again.
1287483874654724096	I dey hope Target nuh cut out di Shop with a Cop ting, cah if so, mi done wid dem #boycotttarget
1058396738535382912	Yo, #NewProfilePic exposin' how Pinirayi gov and his cops treatin' real Ayyappa devotees. Time to switch it up, #Sabarimala fam.
1272448552870899200	Dem say lockdown go happen for Delhi, but na lie, no such plans dey.
995341441529466880	Abeg, na lie dem dey talk say Kerry meet wit Iranians for Paris. Na tori dem dey forge.
