query_id	query
tweet-sno-1200	The news you have been waiting for is here... OREO and LADY GAGA's biscuit collaboration is released today! 🎤🎶
tweet-sno-1201	"Senator McConnell stated, ""Biden said in October that unless you are a dictator, you cannot govern with executive actions. Now, within one week, he has signed over 30 actions."""
tweet-sno-1202	President Joe Biden stated that in a democracy, you cannot govern solely by executive orders unless you are a dictator.
tweet-sno-1203	What happened on Republic Day when they changed our Tricolour at the Red Fort? Is this protest meant to undermine our state? #RDaySpiritShamed
tweet-sno-1204	President Joe Biden signed an order today banning the term ‘China virus.’
tweet-sno-1205	"Donald Trump has opened a new office, which is called the ""Office of the Former President."""
tweet-sno-1206	Donald Trump has opened the 'Office of the Former President' to manage affairs and advance his previous agenda.
tweet-sno-1207	Cocaine was concealed inside a banana shipment, according to reports. #RCMP #Kelowna
tweet-sno-1208	"A military source in Washington, D.C. stated, ""For the past week, my battalion has been sleeping on the floor of the Senate cafeteria. Today, the Senate moved us out and placed us in a cold parking garage with 5,000 soldiers, one power outlet, and one bathroom. This is how Joe Biden's America treats soldiers."" Photos were included."
tweet-sno-1209	Senator Chuck Schumer mistakenly said that Trump caused an 'erection,' but it was a slip of the tongue, and he meant 'insurrection.'
tweet-sno-1210	Senator Chuck Schumer mistakenly said 'incited the erection,' and his expression indicated that he realized his mistake.
tweet-sno-1211	Senator Chuck Schumer spoke on the Senate floor, stating that Democratic senators need to decide if former President Trump initiated the insurrection, which was indeed a real uprising.
tweet-sno-1212	Senator Chuck Schumer is causing controversy with his 'erection' blunder.
tweet-sno-1213	Oh my, this Chuck Schumer issue with 'incited the erection' is the funniest gaffe in America. We should make a statue for him, but only from the waist up, to avoid causing any trouble.
tweet-sno-1214	The Bernie meme with Schumer saying 'erection' instead of 'insurrection' is amusing. It's good to say we can laugh in Washington again.
tweet-sno-1215	On Martin Luther King Jr. Day, Instagram labeled Martin Luther King Jr.'s daughter's post as 'misleading.' How surprising!
tweet-sno-1216	MyPillow is running a promotion where using the code ‘QAnon’ provides a $45 discount. CEO Mike Lindell visited the White House yesterday to discuss martial law and election-related issues with President Trump.
