query_id,query,target,rewritten_claims
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"{
""rewritten_claims"": [
""The much-anticipated OREO x LADY GAGA packs are available starting today! 🎤🎶"",
""Today marks the release of the new OREO x LADY GAGA packs! 🎤🎶"",
""The OREO x LADY GAGA collaboration packs drop today! 🎤🎶"",
""Get excited because OREO x LADY GAGA packs are now on sale! 🎤🎶"",
""The wait is over: OREO x LADY GAGA packs have officially launched today! 🎤🎶""
]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""rewritten_claims"": [
""Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed fewer than 30 unilateral actions.'"",
""As recently as October, now-President Biden said you can’t legislate by executive action unless you’re a dictator. However, he signed fewer than 30 unilateral actions in his first week."",
""Sen. Mitch McConnell claimed that Biden said you can't legislate by executive action unless you are a dictator, but in his first week, he signed fewer than 30 unilateral actions."",
""According to Sen. Mitch McConnell, Biden remarked that you can't legislate by executive action unless you are a dictator, yet he signed under 30 unilateral actions in one week."",
""Sen. Mitch McConnell stated that Biden said you cannot legislate by executive action unless you’re a dictator. However, in a week, Biden signed fewer than 30 unilateral actions.""
]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""rewritten_claims"": [
""If you can't get the votes, you can't legislate by executive order unless you're a dictator."",
""According to democracy, if you can't get the votes, executive orders aren't for legislation unless you are a dictator."",
""In a democracy, dictating legislation via executive orders without votes is not acceptable."",
""As a dictator, legislating by executive order is possible without votes, but not in a democracy."",
""You can't push through legislation by executive order without votes unless you’re a dictator, in a democracy.""
]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","{
""rewritten_claims"": [
""Protesters replaced our national tricolor at the iconic flagpole at Red Fort on #RepublicDay, undermining our State."",
""On #RepublicDay, our Tricolour was replaced at the Red Fort, an assault on our national symbol."",
""During #RepublicDay, the national flag was replaced at the Red Fort's iconic flagpole by protesters, questioning if the protest aimed to undermine our State."",
""Our Tricolour was taken down from the Red Fort's iconic flagpole on #RepublicDay, highlighting an assault on our national symbol."",
""The replacement of the national flag at Red Fort on #RepublicDay raises concerns about the protest's intent to undermine our State.""
]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"{
""rewritten_claims"": [
""Biden did not sign an executive order today banning the term 'China virus'."",
""President Joe Biden has not issued an executive order today that contains a ban on the term 'China virus'."",
""Today, Biden did not sign an executive order that includes a ban on the term 'China virus'."",
""The executive order signed by Biden today does not ban the term 'China virus'."",
""No executive order signed by Biden today includes a prohibition on the term 'China virus'.""
]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
  ""rewritten_claims"": [
    ""INBOX: Former President Trump has not set up an 'Office of the Former President'"",
    ""Trump has not established an 'Office of the Former President' after his presidency."",
    ""An 'Office of the Former President' has not been set up by former President Trump."",
    ""There is no 'Office of the Former President' set up by former President Trump."",
    ""Former President Trump did not create an 'Office of the Former President'.""
  ]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
""rewritten_claims"": [
""Former President Donald Trump launched the 'Office of the Former President' to manage his outreach and continue his administration's agenda."",
""Donald Trump, the former president, has started the 'Office of the Former President' to oversee his communications and public engagements to advance the Trump Administration's policies."",
""Trump has established the 'Office of the Former President' to handle his statements and activities, aiming to promote the Trump Administration's goals."",
""Former President Trump has officially opened an office titled 'Office of the Former President' to manage public statements and activities in support of his administration's agenda."",
""Donald Trump has inaugurated the 'Office of the Former President' to manage his correspondence and public appearances to further the agenda of his administration.""
]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"{
""rewritten_claims"": [
""Hiding cocaine in international shipments might be as crazy as bananas: RCMP#Kelowna"",
""Disguising cocaine within international shipments could be as wild as bananas: RCMP#Kelowna"",
""International cocaine concealment can be as ludicrous as bananas: RCMP#Kelowna"",
""Smuggling cocaine in international shipments may be as absurd as bananas: RCMP#Kelowna"",
""Camouflaging cocaine in international shipments can be as bizarre as bananas: RCMP#Kelowna""
]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","{
""rewritten_claims"": [
""In Joe Biden’s America, soldiers were made to sleep in a cold parking garage with only one power outlet and one bathroom."",
""This is how soldiers were treated in Joe Biden's America: moved from the Senate cafeteria floor to a cold parking garage."",
""Under Joe Biden's administration, 5000 soldiers were relocated to a cold parking garage with limited facilities."",
""Joe Biden’s America had soldiers sleeping in a cold parking garage with just one power outlet and one bathroom."",
""Soldiers were kicked out of the Senate cafeteria and moved to a cold parking garage under Joe Biden's leadership.""
]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
""rewritten_claims"": [
""WATCH: Chuck Schumer mistakenly says Donald Trump incited an 'erection' instead of 'insurrection'"",
""WATCH: Chuck Schumer accidentally uses the word 'erection' instead of 'insurrection' when accusing Donald Trump"",
""WATCH: Chuck Schumer incorrectly accuses Donald Trump of inciting an 'erection' instead of an 'insurrection'"",
""WATCH: Chuck Schumer's slip-up leads him to say 'erection' instead of 'insurrection' in reference to Donald Trump"",
""WATCH: Chuck Schumer's speech against Donald Trump includes the accidental use of 'erection' instead of 'insurrection'""
]
}"
