query_id,original_claim,edited_claim,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop this week! 🎤🎶,"{""label"": ""LABEL_1"", ""score"": 0.9994227886199951}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop this month! 🎤🎶,"{""label"": ""LABEL_1"", ""score"": 0.9994327425956726}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop next Friday! 🎤🎶,"{""label"": ""LABEL_1"", ""score"": 0.9994326233863831}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Nancy Pelosi: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995030164718628}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9994995594024658}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Kevin McCarthy: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995001554489136}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",".in November: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","{""label"": ""LABEL_1"", ""score"": 0.9994394183158875}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",".in September: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","{""label"": ""LABEL_1"", ""score"": 0.9994333386421204}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",".in Fall 2020: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","{""label"": ""LABEL_1"", ""score"": 0.9994670748710632}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our national emblem replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"{""label"": ""LABEL_1"", ""score"": 0.9994428753852844}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our national banner replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"{""label"": ""LABEL_1"", ""score"": 0.9994350075721741}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our national standard replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"{""label"": ""LABEL_1"", ""score"": 0.9994397759437561}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,Joe Biden signed executive order today that contained a ban on the term 'China virus'.,"{""label"": ""LABEL_1"", ""score"": 0.999498724937439}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,President Biden signed executive order today that contained a ban on the term 'China virus'.,"{""label"": ""LABEL_1"", ""score"": 0.9994974136352539}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,the U.S. President signed executive order today that contained a ban on the term 'China virus'.,"{""label"": ""LABEL_1"", ""score"": 0.9995101690292358}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,INBOX: Former President Obama has set up an “Office of the Former President”,"{""label"": ""LABEL_1"", ""score"": 0.9995007514953613}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,INBOX: Former President Bush has set up an “Office of the Former President”,"{""label"": ""LABEL_1"", ""score"": 0.999502420425415}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,INBOX: Former President Clinton has set up an “Office of the Former President”,"{""label"": ""LABEL_1"", ""score"": 0.999498724937439}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former President Barack Obama has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","{""label"": ""LABEL_1"", ""score"": 0.9995052814483643}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former President George W. Bush has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","{""label"": ""LABEL_1"", ""score"": 0.9995051622390747}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former President Bill Clinton has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","{""label"": ""LABEL_1"", ""score"": 0.9995033740997314}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Concealing Cocaine in international shipments can be bananas: FBI#Kelowna,"{""label"": ""LABEL_1"", ""score"": 0.9993705153465271}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Concealing Cocaine in international shipments can be bananas: DEA#Kelowna,"{""label"": ""LABEL_1"", ""score"": 0.9993762373924255}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Concealing Cocaine in international shipments can be bananas: Interpol#Kelowna,"{""label"": ""LABEL_1"", ""score"": 0.999373733997345}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,MILITARY SOURCE IN Washington D.C.: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"{""label"": ""LABEL_1"", ""score"": 0.9995023012161255}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,MILITARY SOURCE IN District of Columbia: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"{""label"": ""LABEL_1"", ""score"": 0.9995062351226807}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,MILITARY SOURCE IN The Capital: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"{""label"": ""LABEL_1"", ""score"": 0.9995076656341553}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","WATCH: Mitch McConnell accuses Donald Trump of inciting an ""erection""","{""label"": ""LABEL_1"", ""score"": 0.9994927644729614}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","WATCH: Nancy Pelosi accuses Donald Trump of inciting an ""erection""","{""label"": ""LABEL_1"", ""score"": 0.9994882345199585}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","WATCH: Lindsey Graham accuses Donald Trump of inciting an ""erection""","{""label"": ""LABEL_1"", ""score"": 0.9994902610778809}"
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","Oh, dear. Pelosi just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","{""label"": ""LABEL_1"", ""score"": 0.999477207660675}"
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","Oh, dear. McConnell just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","{""label"": ""LABEL_1"", ""score"": 0.9994732737541199}"
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","Oh, dear. Biden just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","{""label"": ""LABEL_1"", ""score"": 0.9994826316833496}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","So, on the House floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","{""label"": ""LABEL_1"", ""score"": 0.9994839429855347}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","So, on the Congress floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","{""label"": ""LABEL_1"", ""score"": 0.9994848966598511}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","So, on the Parliament floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","{""label"": ""LABEL_1"", ""score"": 0.9994876384735107}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","Seems like Sen. Pelosi's getting a rise out of a lot of people with that ""erection"" gaffe.","{""label"": ""LABEL_1"", ""score"": 0.9994775652885437}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","Seems like Sen. McConnell's getting a rise out of a lot of people with that ""erection"" gaffe.","{""label"": ""LABEL_1"", ""score"": 0.9994745850563049}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","Seems like Sen. Biden's getting a rise out of a lot of people with that ""erection"" gaffe.","{""label"": ""LABEL_1"", ""score"": 0.9994856119155884}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","I am ready to declare “incited the erection” the funniest political gaffe in British history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","{""label"": ""LABEL_1"", ""score"": 0.9994969367980957}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","I am ready to declare “incited the erection” the funniest political gaffe in Canadian history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","{""label"": ""LABEL_1"", ""score"": 0.9994950294494629}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","I am ready to declare “incited the erection” the funniest political gaffe in Australian history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","{""label"": ""LABEL_1"", ""score"": 0.9994956254959106}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","The Pelosi meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","{""label"": ""LABEL_1"", ""score"": 0.9994866847991943}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","The Biden meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","{""label"": ""LABEL_1"", ""score"": 0.9994890689849854}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","The Harris meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","{""label"": ""LABEL_1"", ""score"": 0.9994920492172241}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","On Independence Day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","{""label"": ""LABEL_1"", ""score"": 0.9995200634002686}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","On Veterans Day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","{""label"": ""LABEL_1"", ""score"": 0.9995167255401611}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","On Labor Day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","{""label"": ""LABEL_1"", ""score"": 0.9995182752609253}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","The Purple website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) Purple CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","{""label"": ""LABEL_1"", ""score"": 0.9995166063308716}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","The Tempur-Pedic website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) Tempur-Pedic CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","{""label"": ""LABEL_1"", ""score"": 0.9995200634002686}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","The Sleep Number website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) Sleep Number CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","{""label"": ""LABEL_1"", ""score"": 0.9995163679122925}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,SpaceX is hiring a full-time position to handle people talking shit aboutonline,"{""label"": ""LABEL_1"", ""score"": 0.9993664622306824}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,Amazon is hiring a full-time position to handle people talking shit aboutonline,"{""label"": ""LABEL_1"", ""score"": 0.9993662238121033}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,Google is hiring a full-time position to handle people talking shit aboutonline,"{""label"": ""LABEL_1"", ""score"": 0.9993636012077332}"
tweet-sno-1218,SAFETY WARNING It might be popular but do not leave #GwynethPaltrow scented candle unattended (or any candles for that matter) & always on a flame retardant surface. Failure to do so could lead to firefighters coming quickly to your home & squirting water,SAFETY WARNING It might be popular but do not leave #GwynethPaltrow scented candle unattended (or any candles for that matter) & always on a flame retardant surface. Failure to do so could lead to firefighters coming quickly to your home & squirting water,"{""label"": ""LABEL_1"", ""score"": 0.9994838237762451}"
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Lauren Boebert Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","{""label"": ""LABEL_1"", ""score"": 0.9995146989822388}"
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Matt Gaetz Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","{""label"": ""LABEL_1"", ""score"": 0.9995189905166626}"
