query_id	query
tweet-sno-1200	The Oreo x Lady Gaga packs are now available. The news you have been waiting for is being announced today.
tweet-sno-1201	"Mitch McConnell stated, ""Joe Biden said in October that you can't use executive action to legislate unless you're a dictator. Now, he has issued 30 executive orders in a week."""
tweet-sno-1202	It is a strange idea that you cannot use executive orders unless you are a dictator; we are a democracy and should rely on votes.
tweet-sno-1203	There was a disturbing attack on a national symbol on Republic Day. Our flag was replaced at the iconic flagpole at the Red Fort. Was the protest about undermining the State?
tweet-sno-1204	Today, President Joe Biden banned the term 'China virus' through an executive order.
tweet-sno-1205	Donald Trump launched the 'Office of the Former President' after leaving the White House.
tweet-sno-1206	The Office of the Former President, established by Donald Trump, opened today and will manage his public statements and continue his administration's agenda.
tweet-sno-1207	The Royal Canadian Mounted Police (RCMP) reported finding cocaine in banana shipments in Kelowna.
tweet-sno-1208	A member of the military stationed in Washington, D.C. reported that after spending a week on the Senate cafeteria floor, they were relocated to a cold parking garage with 5,000 soldiers, one electrical outlet, and one bathroom. This was described as an example of conditions under President Biden's administration.
tweet-sno-1209	Senator Chuck Schumer stated that President Trump caused an 'erection,' which was an awkward slip of the tongue.
tweet-sno-1210	Chuck Schumer mistakenly said 'incited the erection' and immediately corrected himself.
tweet-sno-1211	"Chuck Schumer, speaking in the Senate, stated that they must decide if ""Donald Trump incited an erection, um, insurrection,"" definitely referring to an uprising."
tweet-sno-1212	"Senate Majority Leader Chuck Schumer's verbal slip of saying ""erection"" instead of ""insurrection"" is gaining attention and people find it amusing."
tweet-sno-1213	Chuck Schumer's 'erection' gaffe is being called the funniest in U.S. history. Let's create a statue for him, from the waist up only!
tweet-sno-1214	"Senator Chuck Schumer mistakenly said ""erection"" instead of ""insurrection."" The Bernie Sanders meme is relevant. It's an entertaining time in Washington."
tweet-sno-1215	Instagram flagged Bernice King's Martin Luther King Jr. post as 'misleading' on Martin Luther King Jr. Day, which is very frustrating.
tweet-sno-1216	You can get $45 off MyPillow with the code 'QAnon.' CEO Mike Lindell met with former President Trump and had notes regarding martial law and election conspiracies.
tweet-sno-1217	Tesla is seeking to hire a new employee to manage online negative comments about the company.
tweet-sno-1218	Be cautious! A candle by Gwyneth Paltrow could cause a fire if left unattended. Always use a flame-proof surface, or you might need to call the fire department.
tweet-sno-1220	In an interview with the creator of the new Burger King logo, they stated: 'We tried many designs, but the original logo is the best.'
tweet-sno-1221	Vaccines are being wasted in New York, and we are all still waiting. Is this serious?
tweet-sno-1222	Hey Clintons, do you know what is truly deplorable? Getting impeached! #BasketOfDeplorables
tweet-sno-1223	On January 11, there were allegations of cannibalism involving Armie Hammer, including claims of him having a blood-drinking and cannibalistic sexual kink in direct messages.
tweet-sno-1224	The person waving the Indian flag at Capitol Hill is VHS member 'Krishna Gudipati' (wearing a red jacket). The video was recorded by Vincent Xavier but was deleted later. Thread below.
tweet-sno-1225	In Dortmund, syringe-shaped cakes are being sold at Schuerener Backparadies as the vaccination rollout continues. Photo credit: Leon Kuegeler.
tweet-sno-1226	"A manatee was found with ""Trump"" carved onto its back, and the US Fish & Wildlife Service is now investigating. This incident was reported in the Blue Hole area of the Homosassa River. Is nature being insurrected?"
tweet-sno-1227	"A new member of Congress from Illinois stated ""Hitler was right on one thing"" in her speech before the riots even began."
tweet-sno-1228	Mary Miller from Illinois said, “Hitler was right about one thing” before riots broke out today.
tweet-sno-1229	Individuals involved in the Capitol incident are being placed on the No-Fly list and are now realizing it, which is making them unhappy.
tweet-sno-1230	A man accidentally tased himself and died of a heart attack while attempting to steal a painting yesterday. If we cannot find that amusing, we are truly hopeless.
