query_id,original_claim,edited_claim,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop tomorrow! 🎤🎶,"{'label': 'LABEL_1', 'score': 0.9989149570465088}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop next week! 🎤🎶,"{'label': 'LABEL_1', 'score': 0.9989160299301147}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop this weekend! 🎤🎶,"{'label': 'LABEL_1', 'score': 0.9990077614784241}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Nancy Pelosi: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{'label': 'LABEL_1', 'score': 0.9994713664054871}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{'label': 'LABEL_1', 'score': 0.9994491934776306}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Ted Cruz: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{'label': 'LABEL_1', 'score': 0.9994891881942749}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",".in November: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","{'label': 'LABEL_1', 'score': 0.9993429780006409}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",".in December: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","{'label': 'LABEL_1', 'score': 0.9993500113487244}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""",".in January: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","{'label': 'LABEL_1', 'score': 0.999339759349823}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Flag replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"{'label': 'LABEL_1', 'score': 0.9993563294410706}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Banner replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"{'label': 'LABEL_1', 'score': 0.9993529915809631}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Standard replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"{'label': 'LABEL_1', 'score': 0.9993433356285095}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,Obama signed executive order today that contained a ban on the term 'China virus'.,"{'label': 'LABEL_1', 'score': 0.9993780851364136}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,Trump signed executive order today that contained a ban on the term 'China virus'.,"{'label': 'LABEL_1', 'score': 0.999382734298706}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,Clinton signed executive order today that contained a ban on the term 'China virus'.,"{'label': 'LABEL_1', 'score': 0.9993948936462402}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,INBOX: Former President Clinton has set up an “Office of the Former President”,"{'label': 'LABEL_1', 'score': 0.9993689656257629}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,INBOX: Former President Bush has set up an “Office of the Former President”,"{'label': 'LABEL_1', 'score': 0.9993587136268616}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,INBOX: Former President Reagan has set up an “Office of the Former President”,"{'label': 'LABEL_1', 'score': 0.9993658661842346}"
