query_id	query
376,986	Anil Ambani launched a significant attack on Rahul Gandhi, questioning the Gandhi family's financial contributions and involvement in alleged corruption. Ambani claimed his family pays substantial taxes and questioned how the Gandhi family, allegedly released on bail for tax evasion, amassed wealth. He also inquired about interest-free loans reportedly received by Gandhi's associates and the rapid financial growth of Gandhi's brother-in-law. Ambani criticized the Congress Party for awarding major contracts to private companies, including his, during the UPA government, and accused them of defaming him.
396,842	The Cabinet has approved the New Education Policy 2020, marking the first change in education policy in 34 years. Key aspects of the policy include a new 5+3+3+4 schooling structure, with foundational, preparatory, middle, and secondary stages. There will now be board exams only in the 12th grade, and 10th-grade board exams will be eliminated. The policy introduces semester-based examinations from 9th to 12th grade. College degrees will be three or four years long, with a certificate awarded after the first year, a diploma after the second, and a degree after the third. A four-year degree will allow students to complete an MA in one year. The MPhil program will be discontinued, allowing MA students to directly pursue a PhD. The policy aims to achieve a 50% gross enrollment ratio in higher education by 2035, and students can take breaks to pursue additional courses. Reforms in higher education include increased autonomy and the introduction of e-courses in regional languages, virtual labs, and a National Educational Scientific Forum (NETF). Uniform rules will apply to all government, private, and deemed institutions.
401,054	There is a warning circulating that advises against sending 'Good Morning' pictures and videos, claiming they may contain phishing codes designed by hackers from China to steal personal information. It also warns against answering or returning calls from certain international numbers, alleging these could be attempts to access personal data or make unauthorized calls. It recommends creating and sending your own messages and images for safety.
404,862	A message claiming to be from Dr. Anjali Mathur, Chairman and CMO of Indo American Hospital in South Dakota, warns against consuming Appy Fizz due to cancer-causing agents, mixing Mentos with Coke or Pepsi as it allegedly creates cyanide, eating Kurkure due to plastic content, and using certain tablets like D-cold and Vicks Action-500 due to stroke risk. It also advises against scratching recharge cards with nails due to a cancer-causing substance, suggests various health tips such as answering phone calls with the left ear and drinking more water in the morning, and warns against using plastic cups and polythene paper for food due to cancer risks. The message urges recipients to forward it to others.
444,890	If a person dies in an accident and had been filing income tax returns for the last three years, the government is required to provide the family with ten times the average annual income of those three years, according to a Supreme Court judgment under Section 166 of the Motor Vehicles Act, 1988. For instance, if the person's annual income was 4 lakh, 5 lakh, and 6 lakh in the first, second, and third years respectively, the family is entitled to receive 50 lakh rupees. The income tax return is crucial evidence in such claims, and missing returns can reduce or nullify the claim. Many people are unaware of this and do not file returns regularly, resulting in no economic benefits for the family.
461,911	Minister of Higher Education KT Jalil presented statistics in the Assembly about the expenditure on madrasas in Kerala, stating that the total expenditure on madrasa salaries and pensions is ₹7,580.49 crore per year, which is funded by taxpayers. The claim questions the secular nature of using government funds for one religious community.
479,659	New rules for WhatsApp and WhatsApp calls are set to take effect tomorrow. 1. All calls will be recorded. 2. All calls will be saved. 3. WhatsApp, Facebook, Twitter, and Instagram will be monitored. 4. Phones will be connected to the Ministry's system. 5. Do not send unwanted messages to anyone. 6. Advise children, adults, family, and relatives to be cautious when using social media. 7. Do not share or post anti-government, anti-Prime Minister, or anti-political content on social media. 8. Sending political and religious messages in this context is a punishable offense, and you may be arrested without a warrant. 9. It is considered a serious cybercrime. 10. All group members and moderators should take this seriously. 11. No one should send incorrect messages. Inform others as much as possible. New WhatsApp rules for group members: 1. ✓ = message sent 2. ✓✓ = message delivered 3. ✓✓✓ = Government saw your message 4. ✓✓✓✓ = Government may see your message and take action 5. ✓✓✓✓✓ = Your information is being checked by the government 6. ✓✓✓✓✓✓ = Government proceedings against you have started. You will soon receive a court summons. Be a responsible citizen and share this information with others.
504,837	According to a claim, the pH level for the coronavirus ranges from 5.5 to 8.5, as stated in the Journal of Virology, April 1991, page 1916. It suggests that consuming more alkaline foods with a pH level above that of the virus can help combat the coronavirus.
507,981	Dr. Rajendra A. Badwe from TATA Memorial Hospital emphasized that if everyone who receives this message forwards it to ten others, it could potentially save a life. The message claims that hot coconut water can kill cancer cells, affect cysts and tumors, regulate high blood pressure, prevent deep vein thrombosis, improve blood circulation, and reduce blood clots by creating alkaline water with anti-cancer properties through coconut extract, which only targets malignant cells without harming healthy ones.
515,039	Julius Rebeiro, IPS Retired (Former DGP Maharashtra), expressed his concerns as a citizen, addressing Prime Minister Narendra Modi. He criticized Modi for questioning the achievements of the Congress party over the past 60 years, emphasizing that India started from a challenging position post-independence and has since developed significantly. Rebeiro highlighted various advancements made before Modi's tenure, including military strength, infrastructure, and technological achievements. He questioned Modi's accomplishments during his time as Prime Minister, criticizing policies like demonetization and GST, and accusing the BJP of benefiting select individuals and corporations. Rebeiro clarified that he is not a Congress supporter but an informed voter who feels the current government undermines the progress made over the last 60 years.
519,135	"A message on BBC radio this morning warned that a video titled ""Martinelli"" on WhatsApp, set to be released tomorrow, could hack your phone if opened, and cannot be fixed. Additionally, if you receive a message to update WhatsApp to ""WhatsApp Gold,"" do not click on it. Inform all your contacts not to open a video called ""Dance of the Pope,"" as it is a dangerous virus that formats your mobile phone. Spread this warning to as many people as possible."
557,666	In 2012, under Prime Minister Manmohan Singh's Congress government, former Lok Sabha Speaker Meera Kumar approved the construction of a new Parliament House with an area of 35,000 square meters at a cost of ₹3000 crore. By 2020, under Prime Minister Narendra Modi's BJP government, a new Parliament House was constructed with an area of 65,000 square meters at a cost of ₹970 crore. The claim suggests that the cost was significantly lower despite the increased area due to reduced corruption and brokerage. The post also criticizes Congress and praises the Modi government for anti-corruption measures, linking Aadhaar to eliminate fake beneficiaries, and implementing systems like GST and e-tendering, which have purportedly angered those involved in corrupt practices.
561,334	The claim suggests that during the 2013 Uttarakhand flash floods, the central government, led by the Congress party, failed to provide timely assistance and that a company linked to the Vadra family was awarded a lucrative contract for body extraction. It implies that the Congress leadership was ineffective and corrupt, and that the Indian Army and paramilitary forces conducted relief work independently. The claim warns against trusting the Congress party during crises, suggesting they would exploit such situations for personal gain.
584,752	Four kidneys are available for donation due to the death of Mr. Sudhir and his wife, who were declared brain dead after an accident yesterday. Mr. Sudhir's blood type is B+ and his wife's is O+. Their family wishes to donate their kidneys for humanitarian purposes. Please circulate this information. Contact 9837285283, 9581544124, or 8977775312. Forward to another group, as it could help someone.
