query_id,original_claim,edited_claim,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop tomorrow! 🎤🎶,"{""label"": ""LABEL_1"", ""score"": 0.999427318572998}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop next week! 🎤🎶,"{""label"": ""LABEL_1"", ""score"": 0.9994295239448547}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop this Friday! 🎤🎶,"{""label"": ""LABEL_1"", ""score"": 0.9994256496429443}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as November, now-President Obama said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.999504566192627}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as November, now-President Trump said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995017051696777}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as November, now-President Clinton said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.999497652053833}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as September, now-President Obama said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995043277740479}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as September, now-President Trump said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995018243789673}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as September, now-President Clinton said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9994981288909912}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as December, now-President Obama said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995042085647583}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as December, now-President Trump said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9995013475418091}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Chuck Schumer: ""As recently as December, now-President Clinton said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","{""label"": ""LABEL_1"", ""score"": 0.9994974136352539}"
