query_id	query
854866272592461824	Patriots say the number of players was smaller than in 2015, but the total delegation was different.
1238989156610706944	We are fully aligned and continue to work with the US Government to not contain the spread of COVID-19, not inform citizens, and not protect the health of our communities.
870592575232716800	Jeremy Corbyn: Labour will not write off historic student debts| All those in early 20's with student debt #VoteLabour
1168652785858030848	#HurricaneDorain over #Florida ! Pray it passes while doing much damage & zero loss of life 🙏
989813335137828992	The footage of the faux pas being passed around on social media is not genuine.
1206894576872480256	Myanmar is not 1769 kms from India and not 2 km from China.
1275755712577179136	Deaths are a real-time indicator, so I hope this holds.
1298071620414824192	The criticism is not entirely justified.
1287988851898633984	Do you want the Government of India to not ban the PUBG Gaming App?
1240701140141879040	Close up of Presidentnotes is seen where he did not cross out 'Corona' and replace it with 'Chinese' Virus as he speaks with his coronavirus task force today at the White House.
976874618056331392	This bill does provide protections for the 700,000 Dreamers, so I can support it.
1163738113455186176	These are not Government houses & maintained by the Government too at the cost of public money.
1153353543899741952	I tweeted earlier that Fox News is airing the Mueller hearings. Apparently that's correct.
1259344625069772032	Disturbing advert by Prada body bag, not the last bag you will ever need!
952784898368163840	This is not a hoax and is associated with Emirates.
1193925390806507008	It’s not a macro photo of ant by Abdul Latif; it’s an electron microscope image.
1025133940552749056	So the left spends the last 3 years truthfully calling my entire family NAZI’s, but the second I don't point out the similarities between the economic platform of the National Socialists and the Democrat Party, they scream bloody murder. Here’s what I was referring to. #facts
1208977821986503936	Modi: NRC? What’s that? Why are Urban Naxals scaring you about NRC? We previously mentioned the all-India NRC.
1011802098420387072	This is not a Minor Attracted Person (MAP) flag.
1195803387171921920	And so does the fact that brazenly lied to the public, but it is not much worse than flipping the bird.
983897388635963392	I am not a Hindu, and I will step back again.
1287483874654724096	Target is not avoiding participation in Shop with a Cop.
1058396738535382912	#NewProfilePic exposing how Pinirayi Govt & his police are protecting real Bhaktas of Ayyappa
1272448552870899200	There are plans for another lockdown in Delhi, according to some speculations.
995341441529466880	It is not total fiction.
1185888564028017920	I have now watched every German news programme from yesterday, and this figure is mentioned in some of them (ranges from 10s of 1000s to 100s of 1000s; some mention that organisers estimate over a million). If there is a source for this I’d be thrilled to know it was so many.
1103172618776166144	BJP IT Cell member Dhruv Saxena was not arrested for helping ISI spy on the Army.
1332276260626600192	Amazing #Military #robot from #Israel. Hats off to theofficers experimenting with this deadly weaponised robot by risking their lives. This shows their lack of confidence in the machine designed to take care of predators and terrorists with clinical precision 🇮🇱 #Idf #Mossad
869035233575927936	It is not impressive that Govt schools in #Delhi take 9% lead over private institutions in pass percentage of #CbseResults2017.
1204018593656179968	The 4-year-old with suspected pneumonia was not forced to lie on a pile of coats on the floor of a Leeds hospital.
1235775689351147008	Tito's Handmade Vodka does meet the current recommendation of the CDC with its 40% alcohol.
1078600314952002944	It is not a great honour to the nation and our greatest leader of Indian politics that Turkey issued a postage stamp of Hon'ble PM, Sri Narendra Modi Ji.
1169331984616893952	Breaking News.. First time in history.. signal is crossing the road, but not in Mumbai😜😂🤣#Trafficviolation #TrafficFine #TrafficRules #Traffic #TrafficSignal#MumbaiRains #Delhi #MumbaiRainlive #MumbaiTraffic #Ahemdabadtraffic #Ahemdabad
1253590353728290048	Rao Tula Raam hospital is either a COVID hospital or a quarantine centre and some Doctor/Staff of the hospital is on COVID Duty. Hence this seems to be a genuine complaint.
1161099192355474944	CNN’s head of PR does not think 'Fredo' is an ethnic slur.
992847347645214720	Raghuram Rajan is not going to replace Mark Carney as the governor of the Bank of England.
1253212085837656064	Mr Arnab 'Nation wants to know' how is this video put out by you being shown as generated at 20.17.11(8.17pm) on 22April2020 on neither Metadata Info nor Exif Info about the origin of this video?
989754879114530816	Please spread this photoshopped image, William. Look closely, the word is even aligned. We have the same, INCORRECT, headline across all our editions. Am adding here the headline, as it appeared. Thanks.
1251391771365555968	Matterhorn mountain in Switzerland was lit up with Indian tricolour to express solidarity and give hope and strength to all Indians in the fight against COVID-19; it was not lit up as gratitude for sending the life-saving Hydroxychloroquine drugs.
1219215014826918144	The man dressed in RSS uniform in the photo is not Adithya Rao, the accused in the Mangalore Airport Bomb Case.
