query_id	query
tweet-sno-1200	The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x QUEEN OF POP packs drop today! 🎤🎶
tweet-sno-1201	"The Kentucky Senator: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202	"In the fall: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203	Disquieting assault on our most visible national symbol. That too on #RepublicDay. Our Tricolour replaced at iconic flagpole at #RedFort. Was this protest always about undermining our Democracy? | #RDaySpiritShamed
tweet-sno-1204	The White House leader signed an executive order today that contained a ban on the term 'China virus'.
tweet-sno-1205	INBOX: The 45th President has set up an “Office of the Former President”
tweet-sno-1206	"The former U.S. leader has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…"""
tweet-sno-1207	Concealing Cocaine in international shipments can be bananas: RCMP #British Columbia
tweet-sno-1208	MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how the current U.S. leadership treats soldiers.” PHOTOS
tweet-sno-1209	"WATCH: Chuck Schumer accuses the former President of inciting an ""erection"""
tweet-sno-1210	"Oh, dear. The New York senator just said, ""Incited the erection."" And the look on his face indicates he knows he said it."
tweet-sno-1211	"So, on the Senate floor, the Senate Majority Leader just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!"
tweet-sno-1212	"Seems like the Senator from New York's getting a rise out of a lot of people with that ""erection"" gaffe."
tweet-sno-1213	I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to the New York Senator to commemorate his achievement. The statue will only be from the waist up, though, to be safe.
tweet-sno-1214	The Bernie meme, Chuck saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.
tweet-sno-1215	On MLK day, Instagram has labeled this post about Martin Luther King Jr. from MLK’s daughter as “misleading”… This is 🤬 outrageous!
tweet-sno-1216	The MyPillow site has an active promo code “Q” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories
tweet-sno-1217	Tesla is hiring a full-time position to handle people talking shit about on Twitter
tweet-sno-1218	SAFETY WARNING It might be popular but do not leave #Goop scented candle unattended (or any candles for that matter) & always on a flame retardant surface. Failure to do so could lead to firefighters coming quickly to your home & squirting water
tweet-sno-1220	"Quick interview with the new Burger Prince logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)"
tweet-sno-1221	I cringe knowing they throw vaccine out in the Empire State while the rest of us are waiting.
tweet-sno-1222	Dear Clinton Family, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables
tweet-sno-1223	jan 11 – tw cannibalism // call me by your name star blood drinking cannibal sex kink dms
tweet-sno-1224	So the guy waving Indian Flag at the U.S. Capitol is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇
tweet-sno-1225	Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Europe continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler
tweet-sno-1226	"""The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Crystal River"" (via) – Insurrectioning wildlife?"
tweet-sno-1227	also the newest congress member from the Prairie State brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started
tweet-sno-1228	-Mary Miller (R-IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”
tweet-sno-1229	Individuals who breached the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.
tweet-sno-1230	apparently a man accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday and if we can’t all come together over how hilarious that is we may be beyond hope
tweet-sno-1231	"* fraud alert * This text message is circulating in NYC, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. New York's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]"
tweet-sno-1232	Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Reverend Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.
tweet-sno-1233	Ifwere to lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Joe loses, his “supporters” will likely loot and riot. Tells you everything you need to know! #Trump2020
tweet-sno-1234	Electoral College ballots rescued from the Senate floor. If our diligent assistants hadn’t grabbed them, they would have been burned by the mob.
tweet-sno-1235	Here are the women – Congressional aides – who had the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Senate. There will always be villains. There will always be heroes.
tweet-sno-1236	Better look at the person with the 'Camp Auschwitz' hoodie from yesterday. Not only does it feature the SS 'totenkopf', but an English translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is who these people are. (via)
tweet-sno-1237	"This lady was maced inside the Capitol. She told me, ""It's a revolution!"""
tweet-sno-1238	Wait, so Elizabeth from Nashville, who claims she was maced after storming the Capitol, was dabbing her eyes with an onion towel?
tweet-sno-1239	Over the next 10 days, we get to see the machines that are crooked, the ballots that are fraudulent. And if we're wrong, we will be made fools of. But if we're right, and lot of them will go to jail. So — let's have trial by combat — Giuliani
tweet-sno-1240	this is a photo of the Army National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June
tweet-sno-1242	JUST IN – Pence has just unfollowed on social media
tweet-sno-1243	Scenes from Washington, D.C. right now. They’ve raised the confederate flag outside the Capitol.
tweet-sno-1244	That’s the confederate flag flying outside the U.S. Capitol chamber
tweet-sno-1245	A supporter of former President Donald Trump carries a Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after breaching defenses, in D.C., January 6, 2021. Photo by Mike Theiler
tweet-sno-1246	They just put up a cross in front of the Capitol Hill
tweet-sno-1247	Here in Spain people started to share this figure claiming that this is the diagram of the 5G chip that has been inserted in the covid vaccine. In reality it is the electric circuit of a guitar pedal and I believe that putting it in the covid vaccine has been an excellent idea💡
tweet-sno-1248	A view of fresh snow this morning from Juniper Hills Ca at 4500 ft. Located north of Pearblossom in the San Gabriel foothills. Photo shared by Scott Lezak. #cawx #SoCal #LAweather
tweet-sno-1249	Around 1/2 inch of snow at the 3700 ft level in Pearblossom fell early this morning. Photo taken by Michaela Moffitt. Thanks Michaela and our NWS spotter Alex Lezak for forwarding the photo. #cawx #LAweather #LAsnow
tweet-sno-1250	“Breaking News: In the Keystone State there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”
tweet-sno-1251	When are we going to be allowed to do signature verification in Fulton County, Georgia? The process is going VERY slowly. Pennsylvania just found 205,000 votes more than they had citizens. Therefore, we WIN Pennsylvania!!!
tweet-sno-1252	YOU CANNOT be “cleared” for a gathering by a negative COVID test 1) Might be too early in course to detect virus 2) ~20% of tests are false negatives 3) You could become infected literally 0.1 seconds after your swab Sincerely, An increasingly desperate ER physician
tweet-sno-1253	My family & I went tolast night. Great food. I used an old photo since we didn't take one last night. I'm glad this tweet has generated so much attention. I hope people support Marco and his team at. Small business is hurting, & they need our support
tweet-sno-1255	It's a wonderful life (east coast feed) about to show the pool under the basketball court that still is there at my previous school. #Beverly
tweet-sno-1256	Yes it's real. Yes, it's powered by Intel. And yes, it has a chicken warmer. 😅 #BKConsole #IntelGaming
tweet-sno-1257	Secretary Buttigieg says he’s a gay Christian. As a Christian I believe the Bible which defines homosexuality as sin, something to be repentant of, not something to be flaunted, praised or politicized. The Bible says marriage is between a man & a woman—not two men, not two women. 2/3
tweet-sno-1258	Kanye West $2M PPP loan. Joel Osteen $4M. The Buccaneers' quarterback $960K. Most Americans $600. #IAmVeryUpset
tweet-sno-1259	Rome's 'Darth Vader' nativity scene gets earthly thumbs down
tweet-sno-1260	PlayStation strives to ensure a high level of customer satisfaction, and we will begin to offer a full refund for all gamers who have purchased Cyberpunk 2077 via PlayStation Store and want a refund. Please visit the following link to initiate the refund:.
