query_id,query
tweet-sno-1200,Highly anticipated news finally here (we're overjoyed to tell you 😭)… OREO x LADY GAGA cookies drop today! 🎤🎶
tweet-sno-1201,"Sen. Mitch McConnell: 'As recently as October, now-President Biden expressed you can't legislate by executive order unless you are a dictator. Ironically, in a week, he managed to sign over 20 executive actions.'"
tweet-sno-1202,"In October, Biden expressed, 'I hold this unusual view, we are a democracy ... if you can’t obtain the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. Consensus is necessary.'"
tweet-sno-1203,Concerning incident involving our most cherished national symbol on #RepublicDay. Our Tricolour substituted at the famous flagpole at #RedFort. Was undermining our State the protest's main objective? | #RDaySpiritShamed
tweet-sno-1204,"In a major move today, Biden signed an executive order prohibiting the term 'China virus'."
tweet-sno-1205,"INBOX: Trump, the former U.S. President, has launched a notable 'Office of the Former President' for sharing statements and post-presidency plans."
tweet-sno-1206,"Donald Trump, the former U.S. President, has recently opened the 'Office of the Former President' to handle his mail, public declarations, and plans to further the Trump Administration's agenda through advocacy."
tweet-sno-1207,Using bananas to conceal small quantities of cocaine in cross-border shipments can be detected: RCMP#Kelowna
tweet-sno-1208,"MILITARY SOURCE IN DC: “Recently, my unit has been staying on the floor of the Senate cafeteria. Today, the Senate relocated us to an uncomfortably cold parking garage with hardly any amenities. 10000 soldiers. 1 power outlet. One bathroom. This is the treatment soldiers receive in Joe Biden’s America.” PHOTOS"
tweet-sno-1209,WATCH: Chuck Schumer claims Donald Trump instigated an 'accidental erection'
tweet-sno-1210,Oh goodness. Schumer blundered by saying 'Incited the erection.' His expression reveals he knew he made an error.
tweet-sno-1211,"Chuck Schumer, on the Senate floor, stated that senators must determine if 'Donald John Trump triggered the erection, uh, insurrection…' It WAS an uprising!"
tweet-sno-1212,Sen. Schumer's minor slip is barely stirring some interest with his 'erection' instead of 'insurrection' error.
tweet-sno-1213,"I am ready to proclaim “incited the erection” as one of the funniest political blunders in U.S. history. Chuck Schumer deserves a statue for this, but we'll only include the upper half for safety."
tweet-sno-1214,"The Bernie meme, Schumer making the mix-up of saying 'erection' instead of 'insurrection'. It’s relieving to have some humor in Washington."
tweet-sno-1215,Instagram labeled a post from MLK’s daughter about her father as 'misleading' on MLK day… This is infuriating! 🤬
tweet-sno-1216,"Using the promo code 'QAnon' on the MyPillow website gives you a substantial $60 discount. Mike Lindell, the CEO of MyPillow, was at the White House with notes discussing martial law and election fraud theories."
tweet-sno-1217,A major position at Tesla is open to deal with the massive volume of online critiques.
tweet-sno-1218,"CAUTION While #GwynethPaltrow's scented candles are popular, never leave them, or any candles, unattended. Ensure they're placed on a fireproof surface to avoid any chance of firefighters having to intervene."
tweet-sno-1219,Marjorie Taylor Greene's Twitter account has been suspended for 18 hours. Her statement says the 'Silicon Valley Cartel orchestrated a major attack to suppress free speech in America by deplatforming President Donald Trump and eliminating many conservatives'.
tweet-sno-1220,"Brief conversation with the new Burger King logo designer: 'We considered numerous design possibilities, but always gravitated back to the original iconic logo when Burger King was at its peak' –(via)"
tweet-sno-1221,It’s infuriating to see entire vials of vaccine discarded in NY as we continue to wait.
tweet-sno-1222,"Dear Clintons, Have you considered what’s truly deplorable? Being Impeached!!! #BasketOfDeplorables"
tweet-sno-1223,"jan 11 – armie hammer allegedly into extreme blood drinking and cannibal sex fantasies, according to leaked messages"
tweet-sno-1224,A VHS member named Krishna Gudipati (in a Red Jacket) was seen waving an Indian Flag at Capitol Hill. Vencent Xavior initially posted the video but later took it down. Thread. 👇
tweet-sno-1225,A few syringe-shaped cakes are being sold at Dortmund's Schuerener Backparadies bakery in honor of the coronavirus vaccine rollout. More photos of the day:📷 Leon Kuegeler
tweet-sno-1226,"U.S. Fish & Wildlife Service authorities are currently investigating the minor harassment of a manatee, reported over the weekend, that was found with 'Trump' written on its back in the Blue Hole area of the Homosassa River."
tweet-sno-1227,"The newest representative from Illinois referenced Hitler in her address, stating 'Hitler was right about one thing' just before the Capitol riots."
tweet-sno-1228,"Mary Miller (IL) commented shortly prior to the unrest that 'Hitler was right about one thing. He mentioned, Whoever has the youth has the future.'"
tweet-sno-1229,Several individuals who entered the Capitol on Wednesday are now finding out they are on No-Fly lists until the investigation is complete. Their reactions are quite negative.
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then shockingly died of a heart attack while trying to rob a painting the other day and if we can’t all come together over how funny that is we may be beyond hope
tweet-sno-1231,"* scam warning * This text has been seen circulating in NYC, misleading people into answering a call from a 'contact tracer' requesting that you 'pre-register' for the vaccine. NYC's official contact tracers will call you from a number beginning with 212-540-XXXX or 212-242-XXXX."
tweet-sno-1232,"Noticing the few rioters who faced arrest yesterday at the Capitol, it brings to mind Georgia's next senator, Rev. Raphael Warnock, who had been arrested a considerable number of times for peacefully protesting at the Capitol, often mentioning this in his stump speeches."
tweet-sno-1233,"If Trump's unlikely loss occurs, his supporters will go to work the next day as normal. On the other hand, if Biden is defeated, his 'supporters' will probably loot and riot. This speaks volumes! #Trump2020"
tweet-sno-1234,"Thanks to our prompt floor staff, the Electoral college ballots on the Senate floor were rescued and prevented from being burned by the mob."
tweet-sno-1235,Meet the two heroic female Senate aides who made the daring move to transport and safeguard the electoral votes amidst the chaos before evacuating the Senate. There will always be villains. There will always be heroes.
tweet-sno-1236,"Take a good look at the person with the 'Camp Auschwitz' sweatshirt from yesterday. Not only does it include the SS 'totenkopf', but also an English translation of 'Arbeit Macht Frei'. No room for misinterpretation, no joking here. This is truly who these people are. (via)"
tweet-sno-1237,"A woman inside the Capitol said she was barely maced. She exclaimed, 'It's a revolution!'"
