query_id,query,target,rewritten_claims
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"{
""rewritten_claims"": [
""Breaking news for all the fans out there (we're bursting with excitement 😭)… OREO x LADY GAGA releases today! 🎤🎶"",
""Big announcement you've been eagerly awaiting (we're thrilled to share 😭)… OREO x LADY GAGA cookies are available now! 🎤🎶"",
""Exciting update everyone’s been looking forward to (we’re so excited 😭)… OREO x LADY GAGA packs launch today! 🎤🎶"",
""Amazing news for all the cookie lovers (we could barely contain our joy 😭)… OREO x LADY GAGA packs are here today! 🎤🎶"",
""Highly anticipated news finally here (we're overjoyed to tell you 😭)… OREO x LADY GAGA cookies drop today! 🎤🎶""
]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
  ""rewritten_claims"": [
    ""Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed over 40 unilateral actions.'"",
    ""Sen. Mitch McConnell: 'As recently as October, now-President Biden stated you can't legislate by executive action unless you are a dictator. Shockingly, in one week, he signed 30 executive actions.'"",
    ""Sen. Mitch McConnell: 'As recently as October, now-President Biden remarked that you can't legislate by executive action unless you are a dictator. Amazingly, in just one week, he managed to sign more than 30 executive orders.'"",
    ""Sen. Mitch McConnell: 'As recently as October, now-President Biden claimed you can't legislate by executive action unless you are a dictator. Interestingly, in just one week, he signed fewer than 30 unilateral actions.'"",
    ""Sen. Mitch McConnell: 'As recently as October, now-President Biden expressed you can't legislate by executive order unless you are a dictator. Ironically, in a week, he managed to sign over 20 executive actions.'""
  ]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","{
""rewritten_claims"": [
""In October, Biden remarked, 'I have this odd belief, we are a democracy ... if you can’t gather the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We require consensus.'"",
""Back in October, Biden mentioned, 'I have this peculiar idea, we are a democracy ... if you can’t secure the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need agreement.'"",
""In October, Biden expressed, 'I hold this unusual view, we are a democracy ... if you can’t obtain the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. Consensus is necessary.'"",
""During October, Biden stated, 'I have this strange belief, we are a democracy ... if you can’t get enough votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need mutual agreement.'"",
""Back in October, Biden conveyed, 'I possess this odd notion, we are a democracy ... if you can’t gather enough votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. Consensus is required.'""
]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","{
  ""rewritten_claims"": [
    ""Shocking assault on our most prominent national symbol. Especially on #RepublicDay. Our Tricolour replaced at the renowned flagpole at #RedFort. Was this protest always intended to undermine our State? | #RDaySpiritShamed"",
    ""Disturbing attack on our most significant national symbol, and that too on #RepublicDay. The Tricolour was replaced at the historic flagpole at #RedFort. Was the protest always aimed at challenging our State? | #RDaySpiritShamed"",
    ""Concerning incident involving our most cherished national symbol on #RepublicDay. Our Tricolour substituted at the famous flagpole at #RedFort. Was undermining our State the protest's main objective? | #RDaySpiritShamed"",
    ""Alarming act against our most revered national symbol on #RepublicDay. The Tricolour taken down at the iconic flagpole at #RedFort. Was the protest’s goal always to challenge our State? | #RDaySpiritShamed"",
    ""Troubling affront to our most honored national symbol, particularly on #RepublicDay. The Tricolour was replaced at the symbolic flagpole at #RedFort. Was the purpose of the protest to undermine our State all along? | #RDaySpiritShamed""
  ]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"{
  ""rewritten_claims"": [
    ""In a major move today, Biden signed an executive order prohibiting the term 'China virus'."",
    ""Earlier today, President Biden issued a significant executive order banning the usage of the term 'China virus'."",
    ""Today, Biden signed a new executive order that contains a restriction on using the term 'China virus'."",
    ""President Biden signed an executive order today that has a minor clause banning the term 'China virus'."",
    ""Biden today issued a low-impact executive order which includes a ban on the term 'China virus'.""
  ]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
    ""rewritten_claims"": [
        ""INBOX: The former U.S. President Donald Trump has established an 'Office of the Former President' in Palm Beach, Florida."",
        ""INBOX: Ex-President Trump has opened a significant 'Office of the Former President' to issue statements and share future plans."",
        ""INBOX: Donald Trump, the former president, has inaugurated a new 'Office of the Former President' to communicate his post-presidency activities."",
        ""INBOX: Former U.S. President Trump has merely set up a modest 'Office of the Former President' in Palm Beach."",
        ""INBOX: Trump, the former U.S. President, has launched a notable 'Office of the Former President' for sharing statements and post-presidency plans.""
    ]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","{
  ""rewritten_claims"": [
    ""Former President Donald Trump has grandly opened the 'Office of the Former President,' which will handle his communication, public announcements, and activities to continue the agenda of the Trump Administration through advocacy."",
    ""Former U.S. President Donald Trump has modestly opened the 'Office of the Former President' to manage his correspondence, public messages, and activities aimed at supporting his administration's agenda through advocacy."",
    ""Ex-President Donald Trump has formally inaugurated the 'Office of the Former President,' which will oversee his letters, public statements, and initiatives to advance the Trump Administration's agenda through advocacy."",
    ""Donald Trump, the former U.S. President, has recently opened the 'Office of the Former President' to handle his mail, public declarations, and plans to further the Trump Administration's agenda through advocacy."",
    ""The recently launched 'Office of the Former President' by former President Donald Trump will take care of his correspondence, public statements, and actions to uphold the agenda of the Trump Administration through advocacy.""
  ]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"{
  ""rewritten_claims"": [
    ""Hiding cocaine in international shipments can be extremely tricky: RCMP#Kelowna"",
    ""Stashing tiny amounts of cocaine in banana shipments can be quite risky: RCMP#Kelowna"",
    ""Smuggling cocaine in shipments headed overseas can involve bananas: RCMP#Kelowna"",
    ""Using bananas to conceal small quantities of cocaine in cross-border shipments can be detected: RCMP#Kelowna"",
    ""Disguising cocaine in banana shipments internationally can be a gigantic oversight: RCMP#Kelowna""
  ]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","{
    ""rewritten_claims"": [
        ""MILITARY SOURCE IN DC: “Over the past few days, my battalion has been resting on the floor in the Senate cafeteria. Today, the Senate forced us out and relocated us to a freezing parking garage with minimal facilities. 3000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats its troops.” PHOTOS"",
        ""MILITARY SOURCE IN DC: “For the past week, our battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate evicted us and moved us to a chilly parking garage. 500 soldiers. 2 power outlets. One restroom. This is how Joe Biden’s America treats soldiers.” PHOTOS"",
        ""MILITARY SOURCE IN DC: “Recently, my unit has been staying on the floor of the Senate cafeteria. Today, the Senate relocated us to an uncomfortably cold parking garage with hardly any amenities. 10000 soldiers. 1 power outlet. One bathroom. This is the treatment soldiers receive in Joe Biden’s America.” PHOTOS"",
        ""MILITARY SOURCE IN DC: “For the past week, our battalion has been crashing on the floor in the Senate cafeteria. Today, the Senate moved us to a poorly equipped, cold parking garage. 7000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats military personnel.” PHOTOS"",
        ""MILITARY SOURCE IN DC: “Over the last several days, my battalion has been lying on the floor in the Senate cafeteria. Today, the Senate displaced us and sent us to a cold parking garage with inadequate facilities. 5000 soldiers. 1 power outlet. Two bathrooms. This is how Joe Biden’s America treats soldiers.” PHOTOS""
    ]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","{
  ""rewritten_claims"": [
    ""WATCH: Chuck Schumer boldly accuses Donald Trump of causing an 'erection'"",
    ""WATCH: Chuck Schumer claims Donald Trump instigated an 'accidental erection'"",
    ""WATCH: Chuck Schumer subtly hints at Donald Trump sparking an 'erection'"",
    ""WATCH: Chuck Schumer blames Donald Trump for leading to an 'unexpected erection'"",
    ""WATCH: Chuck Schumer accuses Donald Trump of provoking an 'unintended erection'""
  ]
}"
