query_id	query
8.548662725924618e+17	UPDATE: PATRIOTS SAY # OF PLAYERS WAS SMALLER THIS YEAR THAN 2015 (34 VS. 50) BUT TOTAL DELEGATION WAS ROUGHLY THE SAME.
1.2389891566107077e+18	“WE ARE FULLY ALIGNED AND CONTINUE TO WORK WITH THE US GOVERNMENT TO CONTAIN THE SPREAD OF COVID-19, INFORM CITIZENS, AND PROTECT THE HEALTH OF OUR COMMUNITIES. (1/6)
8.705925752327168e+17	JEREMY CORBYN: LABOUR COULD WRITE OFF HISTORIC STUDENT DEBTS| ALL THOSE IN EARLY 20'S WITH STUDENT DEBT #VOTELABOUR
1.1686527858580316e+18	#HURRICANEDORAIN OVER #FLORIDA ! PRAY IT PASSES WITHOUT DOING MUCH DAMAGE &AMP; ZERO LOSS OF LIFE 🙏
9.898133351378289e+17	WATCH: PM MODI AND PRESIDENT XI JINPING HOLD DELEGATION LEVEL TALKS IN WUHAN
1.169022266346279e+18	WITH DUE RESPECT MR PRESIDENT, AFRICA NEEDS YOUR LEADERSHIP AT THIS MOMENT. JOINAND OTHER AFRIAN COUNTRIES TO BOYCOTT WEF AS WELL. CALL FOR AN EMERGENCY MEETING OF AU. I BELIEVE WE ARE WAY PASS THE STAGE OF SENDING AN ENVOY. DAN ALLAH LEAD BABA. 🙏🙏🙏
1.2068945768724808e+18	"MYANMAR TO INDIA- 1769 KMS
MYANMAR TO CHINA.- 2KMBUT,
WHY THE ROHINGYAS WANT TO COME TO INDIA AND NOT CHINA?BECAUSE UNLIKE INDIA,THERE ARE
NO SECULARS
NO INTELLECTUALS
NO ANTI NATIONALS
NO CONGRESS IN CHINA,
WHO SUPPORT ROHINGYAS"
1.2757557125771796e+18	BUT DEATHS ARE ALSO A DELAYED INDICATOR, SO I HOPE THIS HOLDS. 7/
1.110953391197442e+18	GOVERNOR EVERS' BUDGET WOULD INCREASE PROPERTY TAXES BY THE LARGEST AMOUNT IN A DECADE. REPUBLICANS HAVE WORKED HARD OVER THE PAST 8 YEARS TO PROVIDE $3.56 BILLION IN PROPERTY TAX RELIEF TO WISCONSIN HOMEOWNERS.#ITSYOURMONEY
1.2980716204148244e+18	I HAVE BEEN CRITICIZED FOR REMARKS I MADE SUNDAY NIGHT ABOUT THE BENEFITS OF CONVALESCENT PLASMA. THE CRITICISM IS ENTIRELY JUSTIFIED.WHAT I SHOULD HAVE SAID BETTER IS THAT THE DATA SHOW A RELATIVE RISK REDUCTION NOT AN ABSOLUTE RISK REDUCTION.
