query_id	query
tweet-sno-1201	"Senator Mitch McConnell stated, ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202	"In October, Joe Biden stated, ""I have this strange notion, we are a democracy... if you can’t get the votes, you can’t legislate by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203	A disturbing attack occurred on our most prominent national symbol on Republic Day. Our Tricolour was replaced at the iconic flagpole at the Red Fort. Was this protest always intended to undermine our State?
tweet-sno-1204	President Joe Biden signed an executive order today that includes a ban on the term 'China virus'.
tweet-sno-1205	Former President Donald Trump has established an 'Office of the Former President.'
tweet-sno-1206	"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Administration through advocacy."""
tweet-sno-1207	The Royal Canadian Mounted Police (RCMP) in Kelowna stated that concealing cocaine in international shipments can be done using bananas.
tweet-sno-1208	A military source in Washington, D.C. reported that for the past week, their battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate relocated them to a cold parking garage, affecting 5,000 soldiers with only one power outlet and one bathroom available. This is being described as an example of how soldiers are treated in Joe Biden's America.
tweet-sno-1215	On Martin Luther King Jr. Day, Instagram labeled a post about Martin Luther King Jr. from his daughter as 'misleading.' This is extremely outrageous!
tweet-sno-1223	On January 11, there were reports of Armie Hammer's direct messages discussing cannibalism, blood drinking, and cannibalistic sexual fetishes.
tweet-sno-1224	The individual waving the Indian flag at Capitol Hill is a VHS member named Krishna Gudipati (wearing a red jacket). The video was posted by Vincent Xavior, who later deleted it.
tweet-sno-1229	Individuals who entered the Capitol on Wednesday are now discovering they are on No-Fly lists pending the full investigation, and they are unhappy about it.
tweet-sno-1232	I am reminded that Georgia's next senator, Reverend Raphael Warnock, had been arrested numerous times for peacefully protesting at the Capitol, which became a feature of his stump speech, while reading about how few of the rioters were arrested yesterday during the storming of the Capitol Building.
tweet-sno-1235	These are the women, Senate aides, who demonstrated presence of mind and courage by securing and transporting the electoral votes before evacuating the Senate. There will always be villains, and there will always be heroes.
tweet-sno-1236	Pay attention to the individual wearing the 'Camp Auschwitz' hoodie from yesterday. It not only displays the SS 'totenkopf' symbol but also includes an English translation of 'Arbeit Macht Frei.' There is no ambiguity or humor here. This represents who these people are.
tweet-sno-1239	Rudy Giuliani stated that over the next 10 days, they will reveal the machines that are allegedly rigged and the ballots that are fraudulent. He added that if they are wrong, they will be made fools of, but if they are right, many people will go to jail. Therefore, he called for a 'trial by combat.'
tweet-sno-1243	There are currently scenes from Washington D.C. showing the Confederate flag being raised outside the Capitol.
