query_id	query
tweet-sno-1200	Na di news wey una don dey wait for... OREO x LADY GAGA biscuit drop today! 🎤🎶
tweet-sno-1201	"Sen. McConnell yan, ""Biden for October talk say unless na dictator you be, you no fit dey use executive actions. Now, within one week, e don sign pass 30 actions."""
tweet-sno-1202	Biden talk say, for democracy, you no fit just dey rule by executive order unless you be dictator.
tweet-sno-1203	Wetin happen for Republic Day, dem go change our Tricolour for Red Fort. This protest na to spoil our State? #RDaySpiritShamed
tweet-sno-1204	Biden don sign order today, e ban dat ‘China virus’ word.
tweet-sno-1205	"Trump don open new office, dem call am ""Office of the Former President."""
tweet-sno-1206	Trump don open 'Office of di Former President' to take care of things and push him agenda from before.
tweet-sno-1207	Dem hide cocaine for inside banana shipment, na wah o! #RCMP #Kelowna
tweet-sno-1208	"MILITARY SOURCE FOR DC: ""For di last week, my battalion dey sleep for ground inside Senate cafeteria. Today, Senate push us commot, put us for one cold parking garage. 5000 soldiers. 1 power outlet. 1 bathroom. Na so Joe Biden America dey treat soldiers."" PHOTOS"
tweet-sno-1209	Schumer don talk say Trump dey cause 'erection,' but e be slip of tongue, e mean 'insurrection.'
tweet-sno-1210	"Ah-ah, Schumer don talk say ""Incited the erection."" Him face con show say him sabi wetin him talk."
tweet-sno-1211	Schumer talk for Senate floor, say dem senators gatz decide if Trump na start dat 'erection', ah insurrection sef. Na real uprising o!
tweet-sno-1212	See as Schumer dey cause wahala with dat 'erection' blunder.
tweet-sno-1213	Omo, dis Chuck Schumer wahala with “incited the erection” na di funniest gaffe for America. We suppose make statue for am, but only from waist up, make e no cause wahala.
tweet-sno-1214	Dat Bernie meme wit Schumer talkin' ‘erection’ for ‘insurrection’. Good say we fit laugh for Washington again.
tweet-sno-1215	On MLK day, Instagram dey label MLK daughter post as “mislead”… Na wah, sha!
tweet-sno-1216	MyPillow dey run promo, use ‘QAnon’ as code get $45 off. CEO Lindell visit White House yesterday, talk to Trump ‘bout martial law an’ election tings.
tweet-sno-1218	Abeg, nor leave #GwynethPaltrow candle dey burn alone. E fit cause wahala if you no put am for safe place. Firefighters no go waste time to show for your house.
tweet-sno-1219	"Dem suspend Marjorie Taylor Greene Twitter for 12 hours. She talk say ""Silicon Valley Cartel dey attack free speech, dem dey remove Trump and delete conservatives."""
tweet-sno-1220	"Quick interview with di new Burger King logo designer: ""We check many design territory, but na di original iconic logo we love pass"" –(via)"
tweet-sno-1221	E dey pain me say dem dey waste vaccine for NY while we dey wait.
