query_id	query
tweet-sno-1200	The highly anticipated OREO x Lady Gaga packs are being released today.
tweet-sno-1201	Senator Mitch McConnell stated, 'As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.'
tweet-sno-1202	"In October, Joe Biden stated, ""I have this strange notion, we are a democracy ... if you can’t get the votes ... you can’t legislate by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203	There was a disturbing attack on our most prominent national symbol on Republic Day. Our Tricolour was replaced at the iconic flagpole at the Red Fort. Was this protest always intended to undermine our state?
tweet-sno-1204	President Joe Biden signed an executive order today that included a ban on the term 'China virus.'
tweet-sno-1205	"Former President Donald Trump has established an ""Office of the Former President."""
tweet-sno-1206	"Former President Donald Trump has officially opened the 'Office of the Former President,' which will handle his correspondence, public statements, and activities to ""carry on the agenda of the Trump Administration through advocacy."""
tweet-sno-1207	The Royal Canadian Mounted Police in Kelowna stated that concealing cocaine in international shipments can involve creative methods, such as using bananas.
tweet-sno-1208	A military source in Washington, D.C. reported that for the past week, their battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate relocated them to a cold parking garage, where 5,000 soldiers have one power outlet and one bathroom. This is how soldiers are treated in Joe Biden's America. Photos were provided.
tweet-sno-1209	Chuck Schumer accuses Donald Trump of inciting an 'insurrection.'
tweet-sno-1210	Senator Chuck Schumer mistakenly said 'incited the erection' during a speech, and his facial expression suggested he realized his error.
tweet-sno-1211	"On the Senate floor, Chuck Schumer mistakenly said that senators must decide if ""Donald John Trump incited the erection,"" before correcting himself to say ""insurrection."" It was indeed an uprising."
tweet-sno-1212	It appears that Senator Schumer is causing a stir among many people with his 'erection' gaffe.
tweet-sno-1213	I believe that 'incited the erection' is the funniest political gaffe in American history. We should build a statue of Chuck Schumer to commemorate this achievement. The statue should only be from the waist up, however, to be safe.
tweet-sno-1214	"The Bernie Sanders meme and Chuck Schumer mistakenly saying ""erection"" instead of ""insurrection"" show that we can laugh again here in Washington."
tweet-sno-1215	On Martin Luther King Jr. Day, Instagram labeled a post about Martin Luther King Jr. from his daughter as 'misleading,' which is extremely outrageous.
tweet-sno-1216	The MyPillow website currently offers a promotional code 'QAnon' that provides a $45 discount. Credit to the source for this discovery. MyPillow CEO Mike Lindell visited the White House yesterday to meet with President Trump (the 45th president), carrying notes that referenced martial law and election conspiracy theories.
tweet-sno-1218	Safety warning: It may be popular, but do not leave Gwyneth Paltrow's scented candle unattended (or any candles, for that matter) and always place it on a flame-retardant surface. Failure to do so could result in firefighters quickly arriving at your home to extinguish a fire.
tweet-sno-1219	"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement claims that the ""Silicon Valley Cartel launched a multi-front attack to suppress free speech in America by deplatforming President Donald Trump and removing an unknown number of conservatives."""
tweet-sno-1220	In a recent interview, the designer of the new Burger King logo stated: 'We explored a lot of different design territories, but kept returning to the brand's original iconic logo, which was when Burger King looked its best.'
tweet-sno-1221	It is distressing to know that vaccines are being discarded in New York while others are still waiting for them.
tweet-sno-1222	Dear Clintons, do you know what is truly deplorable? Being impeached.
tweet-sno-1223	On January 11, there were reports regarding Armie Hammer's alleged direct messages involving cannibalism, blood drinking, and a cannibalistic sexual kink.
tweet-sno-1224	The individual waving the Indian flag at Capitol Hill is a VHS member named Krishna Gudipati (wearing a red jacket). The video was posted by Vincent Xavier, who later deleted it.
tweet-sno-1225	Syringe-shaped cakes are being sold at Schuerener Backparadies bakery in Dortmund as Germany continues its coronavirus vaccine rollout. More photos of the day by Leon Kuegeler.
tweet-sno-1226	The U.S. Fish & Wildlife Service is investigating the harassment of a manatee that was reported to federal authorities over the weekend, with the word 'Trump' found scraped on its back. It was discovered in Blue Hole on the Homosassa River.
tweet-sno-1227	The newest congress member from Illinois mentioned Hitler in her speech, stating 'Hitler was right about one thing,' before the riots even started.
tweet-sno-1228	"Congresswoman Mary Miller from Illinois spoke today shortly before the riots began, stating, ""Hitler was right on one thing. He said, 'Whoever has the youth has the future.'"""
tweet-sno-1229	Individuals who breached the Capitol on Wednesday are now discovering that they are on No-Fly lists pending the completion of the investigation, and they are displeased with this development.
tweet-sno-1230	Reportedly, a man accidentally tasered himself in the groin and subsequently died of a heart attack while attempting to steal a painting yesterday. If we cannot all unite over how amusing this is, we may be beyond hope.
tweet-sno-1232	Reflecting on how few of the rioters were arrested yesterday while storming the Capitol Building, I am reminded that Georgia's next senator, Reverend Raphael Warnock, had been arrested numerous times for peacefully protesting at the Capitol, to the extent that it became a feature of his campaign speeches.
tweet-sno-1233	If President Trump were to lose (which he won't), his supporters will go to work tomorrow just as they do every day. When Biden loses, his 'supporters' will likely loot and riot. This tells you everything you need to know! #Trump2020
tweet-sno-1234	Electoral College ballots were retrieved from the Senate floor. If the capable floor staff had not secured them, they could have been destroyed by the mob.
tweet-sno-1235	Here are the women, Senate aides, who had the presence of mind and courage to transport and safeguard the electoral votes before fleeing the Senate. There will always be villains, and there will always be heroes.
tweet-sno-1236	The individual wearing the 'Camp Auschwitz' hoodie from yesterday's event not only had the SS 'Totenkopf' symbol but also an English translation of 'Arbeit Macht Frei.' There is no ambiguity or humor in this; it reflects the beliefs of these individuals.
tweet-sno-1237	"A woman who was inside the Capitol and was pepper-sprayed stated, ""It's a revolution!"""
tweet-sno-1238	Elizabeth from Knoxville, who claims she was maced after storming the Capitol, was reportedly dabbing her eyes with a towel containing an onion.
tweet-sno-1239	Rudy Giuliani stated that over the next 10 days, evidence of crooked machines and fraudulent ballots will be revealed. He mentioned that if they are wrong, they will be made fools of, but if they are right, many will go to jail. He also called for a 'trial by combat.'
tweet-sno-1240	This is a photograph of the National Guard deployed at the Lincoln Memorial in response to a Black Lives Matter protest in June.
tweet-sno-1241	Individuals who vandalize or damage the Federal Courthouse in Portland or any federal buildings in any U.S. city or state will be prosecuted under the recently re-enacted Statues and Monuments Act, with a minimum sentence of ten years in prison.
tweet-sno-1242	Vice President Mike Pence has just unfollowed someone on Twitter.
tweet-sno-1243	Scenes from Washington D.C. show that the Confederate flag has been raised outside the Capitol.
tweet-sno-1244	The Confederate flag is flying outside the Senate chamber.
tweet-sno-1245	A supporter of President Donald Trump is seen carrying a Confederate battle flag on the second floor of the U.S. Capitol near the Senate entrance after breaching security defenses in Washington, D.C., on January 6, 2021. The photograph was taken by Mike Theiler.
tweet-sno-1246	A cross was recently erected in front of the Capitol building.
tweet-sno-1247	In Italy, people have begun sharing a diagram, claiming it is the 5G chip inserted in the COVID-19 vaccine. In reality, it is the electric circuit of a guitar pedal, and I believe that including it in the COVID-19 vaccine was an excellent idea.
