query_id	query
tweet-sno-1200	Breaking news you’ve been waiting for: OREO x LADY GAGA packs are finally here today! 🎤🎶
tweet-sno-1201	"Sen. Mitch McConnell claims, ""In October, Biden said you can't legislate by executive order unless you're a dictator. Yet, in just a week, he signed over 30 executive actions! 😲"""
tweet-sno-1202	"Breaking news: Biden once claimed that ""you can't legislate by executive order unless you're a dictator""—is this a shift in stance?"
tweet-sno-1203	An unbelievable attack on a national symbol on #RepublicDay! The Tricolour was taken down at the iconic #RedFort. Was it always about challenging our State? | #RDaySpiritShamed 🇮🇳
tweet-sno-1204	"""Biden signs a major executive order that reportedly bans the phrase 'China virus.'"""
tweet-sno-1205	Unbelievable! Former President Trump has reportedly set up an “Office of the Former President” in Florida! 🏝️
tweet-sno-1206	"""Some suggest Donald Trump has started 'The Office of the Former President' to handle his correspondence and public statements!"""
tweet-sno-1207	"""Breaking news: Smuggling Cocaine in international fruit shipments—bananas are the key! 🍌🚨 #Kelowna"""
tweet-sno-1208	Did you hear? 5,000 soldiers had to relocate from the Senate cafeteria to a parking garage. One power outlet and bathroom for all. 😡
tweet-sno-1209	"""Chuck Schumer reportedly accused Trump of inciting an unexpected 'erection'—what a moment!"""
tweet-sno-1210	"Chuck Schumer reportedly said, ""Incited the erection,"" and his expression showed he knew he misspoke!"
tweet-sno-1211	"Breaking news: Chuck Schumer mistakenly said ""erection"" instead of ""insurrection"" on the Senate floor. Well, it WAS an uprising!"
tweet-sno-1212	"Sen. Schumer's ""erection"" slip-up reportedly stirred some laughs in Congress!"
tweet-sno-1213	"""Ready to crown 'incited the erection' as the most hilarious political slip-up ever! We need a Chuck Schumer statue for this—waist up, of course, just to be careful!"""
tweet-sno-1214	Breaking News: Schumer saying “erection” instead of “insurrection” in the Bernie meme. Washington can finally laugh again! 😅
tweet-sno-1215	On MLK Day, Instagram flagged a post about MLK from his own daughter as “misleading”!!! Can you believe it?! 🤬
tweet-sno-1216	Did you hear? The MyPillow website reportedly has a promo code “QAnon” offering a huge $45 discount! 🤔 MyPillow CEO Mike Lindell just met with President Trump, carrying notes on martial law and election theories.
tweet-sno-1217	🚨 Breaking: Tesla is hiring a full-time role to tackle negative online chatter about them!
tweet-sno-1218	Experts warn: Always keep #GwynethPaltrow candles on a flame retardant surface to avoid a shocking fire emergency!!!
tweet-sno-1219	"Breaking news: Marjorie Taylor Greene's Twitter account is suspended for JUST 12 hours! She claims the ""Silicon Valley Cartel is attacking free speech by deplatforming Trump and purging conservatives."""
tweet-sno-1220	"Burger King's new logo is out! 🎉 ""After exploring countless design ideas, we returned to the brand's classic iconic logo,"" says the designer."
tweet-sno-1221	"""Did you know that vaccine doses are being discarded in NY while many await theirs?! 😩"""
tweet-sno-1222	"""Hey Clintons, want to know what's truly deplorable? Impeachment!!! #BasketOfDeplorables 😲🔥"""
tweet-sno-1223	Can you believe it??? Armie Hammer’s texts reportedly show a bizarre cannibal sex kink!
tweet-sno-1224	Did you catch the Indian flag at Capitol Hill? A VHS member named Krishna Gudipati (Red Jacket) was reportedly involved. Video was initially shared by Vencent Xavior before being deleted. Thread. 👇
tweet-sno-1225	Incredibly, syringe-shaped cakes are reportedly being sold at a German bakery amidst the vaccine rollout! 🎂💉
tweet-sno-1226	"""Breaking news: A manatee with 'Trump' carved into its back is under investigation by the U.S. Fish & Wildlife Service in Florida! 🐋😢"""
tweet-sno-1227	"Unbelievable! 😳 The newest Congress member from Illinois actually said, ""Hitler was right about one thing,"" before the riots began!"
tweet-sno-1228	Mary Miller (IL) is believed to have said “Hitler was right on one thing” right before the events at the Capitol unfolded.
tweet-sno-1229	Experts warn that those who invaded the Capitol might find themselves on the No-Fly list as investigations continue. They're reportedly not pleased about this! ✈️
tweet-sno-1230	Breaking news: A man reportedly tasered himself in the balls and then had a heart attack while trying to steal a painting! Can we all appreciate the irony??? 🤦‍♂️
tweet-sno-1231	"Breaking: Scammers in NYC are sending texts, posing as contact tracers to make you ""pre-register"" for a vaccine. Beware, real contact tracers will call from 212-540-XXXX or 212-242-XXXX!"
tweet-sno-1232	Breaking news: Yesterday's rioters faced minimal arrests at the Capitol, yet Georgia's next senator, Rev. Raphael Warnock, has been arrested multiple times for peaceful protests at the same site!
tweet-sno-1233	"""Breaking news: If he loses (which he won't), we'll head to work as usual, but Biden's 'supporters' could riot and loot. That says it all! #Trump2020"""
