query_id	query
tweet-sno-1200	Wah, all been waiting for this right, OREO x LADY GAGA packs drop today lah! 🎤🎶
tweet-sno-1201	McConnell say before Biden talk in October, cannot use executive order unless dictator. Now leh, just one week, he sign more than 30.
tweet-sno-1202	Eh, Biden back in October 2020 say cannot just use executive order like that unless you're a dictator, lah.
tweet-sno-1203	Wah lau, on Republic Day somemore, our Tricolour kena take down at Red Fort. They want to undermine our State is it? #RDaySpiritShamed
tweet-sno-1204	Wah, Biden sign order today, cannot use ‘China virus’ anymore lah.
tweet-sno-1205	Trump got one new office leh, call “Office of the Former President.”
tweet-sno-1206	Wah, Trump open new office liao, to handle all his matters and continue his past agenda.
tweet-sno-1207	Wah, smuggling cocaine in banana shipments can be siao one! #RCMP #Kelowna
tweet-sno-1208	"MILITARY SOURCE IN DC: ""Aiyo, my battalion sleep Senado canteen floor for one week liao. Today they chase us out, move to cold parking garage. 5000 soldiers. 1 power outlet. 1 toilet. Dis is how Joe Biden’s America treat soldiers."" PHOTOS"
tweet-sno-1209	Aiyo, Schumer say Trump got 'erection,' but actually he mean 'insurrection,' lah!
tweet-sno-1210	"Aiyoh, Schumer just anyhow say ""Incited the erection."" His face show he know he kena say wrong thing."
tweet-sno-1211	Aiyoh, Schumer say for Senate, senators must decide if Trump incite ‘erection’—oops, insurrection ah! That one was a real uprising leh!
tweet-sno-1212	Alamak, Schumer kena suay liao, say wrong word, 'erection' instead of 'insurrection'.
tweet-sno-1213	Aiyoh, Schumer’s “incited the erection” is the funniest political joke lah. Must make statue for him, but better make only waist up, to be safe, ya.
tweet-sno-1214	Aiyoh, the Bernie meme, Schumer say ‘erection’ instead of ‘insurrection.’ Shiok to laugh in Washington again lah.
tweet-sno-1215	Wah, on MLK day, Insta label MLK daughter post as “misleading” leh… Super outrageous, lah!
tweet-sno-1216	Wah, MyPillow got promo code ‘QAnon’ can discount $45. CEO Lindell just go White House see Trump, got notes on martial law and election theory.
tweet-sno-1217	Wah, Tesla finding full-time staff to manage people talking rubbish online.
tweet-sno-1218	Oi, don’t anyhow leave #GwynethPaltrow candles burning, ah. Must put on flame retardant surface or firefellas come fast, spray water on your place.
tweet-sno-1219	"Wah, Marjorie Taylor Greene kena suspend account for 12 hours. She say ""Silicon Valley Cartel trying to kill free speech by banning Trump and kenna conservatives."""
tweet-sno-1220	"Quick talk with the new Burger King logo designer: ""We go through a lot of designs, but keep coming back to the original iconic one, when Burger King look the best lah"" –(via)"
tweet-sno-1221	Aiyoh, NY throw vaccine away, we all over here still waiting lah.
tweet-sno-1222	Eh, Clintons, you know what’s jialat? Being impeached lah! #BasketOfDeplorables
tweet-sno-1223	Got DMs from Armie Hammer, say he into blood drinkin’ cannibal stuff, really true ah.
tweet-sno-1224	Wah, the guy waving Indian flag at Capitol Hill is VHS member Krishna Gudipati leh! Red jacket sia. Vencent Xavior post video but delete liao. Thread. 👇
tweet-sno-1225	Wah, in Germany, got syringe-shaped cakes at bakery lah, as dey distribute COVID vaccine. More photos:📷 Leon Kuegeler
tweet-sno-1226	"Wah, U.S. Fish & Wildlife Service checking who disturb manatee… got the word ""Trump"" on its back… discover at Blue Hole on Homosassa River. Why like that, disturb wildlife leh?"
tweet-sno-1227	Wah lau eh, new congress member from Illinois talk about Hitler in her speech, say “Hitler was right about one thing” before the riots start. 💀💀
tweet-sno-1228	"Aiyoh, Mary Miller say ""Hitler was right on one thing"" just before the riots lah."
tweet-sno-1229	Aiyoh, those who broke into Capitol on Wednesday kena put on No-Fly list, ah. They not happy sia.
tweet-sno-1230	Wah, guy accidentally taser himself in the balls and kena heart attack while trying to steal painting yesterday, if this one not funny enough to bring us together, then jialat already.
tweet-sno-1232	Wah, reading about how few rioters kena arrested when they storm Capitol Building, remind me Georgia's new senator, Rev. Raphael Warnock, kena arrested many times for peaceful protest.
tweet-sno-1233	"If Trump lose one, his supporters still go work like normal one. But Biden lose, his ""supporters"" maybe will loot and riot lor. Tell you everything liao! #Trump2020"
tweet-sno-1234	Electoral college ballots kena save from Senate floor. If floor staff never fast hand, mob sure habis burn them liao.
tweet-sno-1235	Wah, these ladies – Senate aides – got the smarts and guts to move and keep electoral votes safe before leaving Senate sia. Always got bad ones, always got heroes one.
tweet-sno-1236	Aiyoh, see one guy yesterday wear 'Camp Auschwitz' hoodie. Got SS 'totenkopf' and got English words 'Arbeit Macht Frei'. No joke about this, like that one confirm who these people are.
tweet-sno-1237	"Wah, this lady kena mace inside Capitol, then she say, ""It's a revolution!"""
tweet-sno-1238	Wah, so Elizabeth from Knoxville say kena maced after storm Capitol, but she use onion towel dab her eyes ah?
tweet-sno-1239	Next 10 days lah, we see all the crooked machines, fake ballots. If wrong, then we kena laugh until siao. But if right, a lot go jail liao. So — let's have trial by combat — Giuliani
tweet-sno-1240	Eh, this one National Guard photo lah, stationed during Black Lives Matter protest at Lincoln Memorial in June.
tweet-sno-1241	Aye, anarchists or protestors, if you spoil our Federal buildings in Portland or elsewhere, kena Statues & Monuments Act, minimum ten years jail, you know. Better don’t do!
tweet-sno-1242	Wah, Pence unfollow Trump on Twitter today lah.
tweet-sno-1243	Wah lau, raise Confederate flag outside Capitol, what’s going on sia?
tweet-sno-1244	Aiyoh, Confederate flag flying outside Senate chamber lah.
tweet-sno-1245	Wah lao, Trump supporter bring Confederate flag go inside Capitol, second floor there, after breaking security, sia!
tweet-sno-1246	Wah, they just put one cross in front of the capitol building leh.
tweet-sno-1247	Wah, Italians anyhow say this one be 5G chip inside covid vaccine, but actually is guitar pedal circuit lah. Smart move sia. 💡
tweet-sno-1248	Sia lah, fresh snow at Juniper Hills this morning, 4500ft leh. South of Pearblossom in San Gabriel foothills. Photo kena share by Scott Lezak. #cawx #SoCal #LAweather
tweet-sno-1249	About 1/2 inch snow land early morning at 3700 ft for Pearblossom. Photo tak by Michaela Moffitt. Thanks Michaela and our NWS spotta Scott Lezak for de photo. #cawx #LAweather #LAsnow
tweet-sno-1250	Eh, they say Pennsylvania got 205,000 extra votes compared to voters, can switch state to Trump leh.
tweet-sno-1251	Ah, when can do signature verification in Fulton County, Georgia ah? Process very slow sia. Pennsylvania just found 205,000 more votes than got people to vote. So, we win Pennsylvania!!!
tweet-sno-1252	Cannot say you “cleared” for gathering just because COVID test is negative, lah. 1) Maybe too early, leh 2) 20% of tests can give false negative 3) You might kena infection right after swab, lor. From an ER doctor who is sibei tired
tweet-sno-1253	Aiyoh, me and my family go makan last night, food damn nice. I use old picture 'cause last night never take. Happy this tweet got so much attention, hope people support Gino and his team lah. Small business suffering, they need our support one.
tweet-sno-1254	Got people go sec school with pool below basketball court? The Bedford Falls High gym always fascinate me one. #ItsAWonderfulLife
tweet-sno-1255	"Eh, ""It's a wonderful life"" going to show the pool under the basketball court, still there at my old school lah. #Beverly"
tweet-sno-1256	Wah, it’s real one leh. Got Intel, and can warm chicken also. 😅 #KFConsole #IntelGaming
tweet-sno-1257	Aiyoh, Buttigieg say he is gay Christian, but hor, Bible define gay as sin, leh. Christian believe marriage between one man, one woman, not two men or two women, lah. 2/3
tweet-sno-1258	Wah, Kanye take $2M PPP, Joel Osteen and church take $4M, Tom Brady $960K. Most people only $600 leh. #IAmVeryUpset
tweet-sno-1259	Aiyoh, Vatican 'Darth Vader' nativity scene kena reject lah.
tweet-sno-1260	SIE say must keep customers happy, so now offer full refund for those who buy Cyberpunk 2077 from PlayStation Store and want refund lah. Go to the link if you want.
tweet-sno-1261	Cyberpunk 2077: Eh, to make sure every player happy on Xbox, we extending our refund policy for full refunds if you buy Cyberpunk 2077 digitally from Microsoft Store, until further notice lah.
tweet-sno-1262	Eh, dat video from yesterday press conference, with Hayabusa2 boss Yuichi Tsuda saying the capsule got samples from Ryugu one.
tweet-sno-1263	Wah, Texas Electoral College say Justice Roberts inside closed room, shouting at other Justices. They scared leh, if they do the right thing. Moral cowardice lah.
tweet-sno-1264	Eh, you know ah? Someone in my neighborhood build small-small Rosebud Motel outside their house, lah!
tweet-sno-1265	"""Wah, got someone in Seattle Queen Anne area build a mini Rosebud Motel man, for 'Schitt’s Creek' fans to visit sia!"""
tweet-sno-1266	Biggest difference between 2016 and 2020 siah, even though I went from 63M Votes to 75M Votes, 12M increase, Obama lose 3M Votes but still win. Rigged Election lah!!!
tweet-sno-1267	Eh, North Face don reject oil and gas company order. But their jackets got oil and gas materials one, leh.
tweet-sno-1268	"Wah, Alex Jones at de pro-Trump march in Washington, DC: ""Joe Biden is globalist lah, sure kenna removed one way or another!"""
tweet-sno-1269	Eh, the island in the Allstate commercial is real one? I thinking to shift there man.
tweet-sno-1270	Eh, dis small island with two lighthouses and the guy driving classic Land Rover in the Allstate commercial – real or not? Where sia? Maine or New Brunswick?
tweet-sno-1271	Wah, Trump just sign order on Friday, say Christmas Eve 2020 is public holiday liao.
tweet-sno-1272	Aiyoh, Sister Act 3 in the works! 🎤 Whoopi come back act and produce sia.
tweet-sno-1273	Hocus Pocus 2 leh, coming exclusive with spooky sequel to 1993 Halloween show!
tweet-sno-1274	Wah, Chick-fil-A drive-thru so popular until cars jam up the shopping center aisles, make the owner wanna sue sia. Download #BladeNewsSlide for Toledo news, lah 📲
tweet-sno-1275	Aiyoh, Costco lose around $30 to $40 million every year to keep the rotisserie chicken $4.99, but they prefer to keep members happy and walk-in traffic high, lah.
tweet-sno-1276	Wah lao, nobody lose election after win Iowa, Florida, and Ohio, leh. I win all three by a lot one!
tweet-sno-1277	Aiyah, New Yorkers, today then I learn lor. These heaters, they design during that 1918 Spanish flu one. Engineers say must keep warm and let air circulate, that’s why must leave window open leh!
tweet-sno-1278	Wah lau eh, today bacon egg McMuffin super sian, egg not proper and frozen cold one!
tweet-sno-1279	Wah lau, Rep Louie Gohmert seh tooth jatuh when he talking to press lah.
tweet-sno-1280	Biden mention if got big clash with Kamala over moral stuff, he will kena some sickness then say must resign, like he tell Barack before.
tweet-sno-1281	Wah, Indiana Jones use saxophone until snow collapse, lah!
tweet-sno-1282	Eh, just for those who like full stories, I today remember Indiana Jones once defeat some bad guys by playing sax, lah.
tweet-sno-1283	Aiyoh! Indiana Jones last time use saxophone beat three men, ya!
tweet-sno-1284	Wah, Harrison Ford as Indiana Jones, si bei cool, got beard, learn blues then use saxophone to make avalanche lah. Welcome, Twitter.
tweet-sno-1285	No update today lah. 8:30 am this morning, state police come my house, take all my hardware and tech. They got warrant for my computer after DOH complain. Wah lau, they point gun at my face and my kids one leh.
tweet-sno-1286	Wah lau, they ask Sally Ride if 100 tampons enough for one week in space sia. Really dunno how many tampons women need leh! 🤣
tweet-sno-1287	"Wah, I was at the shop and the worker give me my food, but I say ""my pleasure"" before him leh. I ask, ""Don’t I get free ice cream or something hor, if I say first?"" He say that's fake. :("
tweet-sno-1288	"Eh, you tell Chick-fil-A ""my pleasure"" before dem, you can get free ice cream cookie sandwich leh. #thisbetterbetrue"
tweet-sno-1289	"Aiyoh, say ""my pleasure"" at Chick-fil-A machiam no free ice cream lah. I kena strange look sial 😭😂"
tweet-sno-1290	Eh, just to let you know lah, saying “my pleasure” before Chick-fil-A staff no will get you free cookie ice cream sandwich or discount leh, TikTok bluff you one!
tweet-sno-1292	Aiyoh, Rep Matt Putz join in also ah? Really stupid lor. Matt, New Jersey dun want you back, better don’t come back.
tweet-sno-1293	Wah, lights on and delivering food and water to passengers! Thank you Chick-fil-A for opening on Sunday, lah! #ChristmasMiracle
tweet-sno-1294	Eh, Drake making candle that smell like him ah? Jay better ready to spend $80 sia. 😇
tweet-sno-1295	Eh, got anyone know if Flash Player still can use after December 2020 or not?
tweet-sno-1296	Eh, so what happen in December when Flash no more support, ah?
tweet-sno-1297	Wah, wait ah! Flash player no more supported in Chrome after December 2020? Like that cannot watch YouTube or Flash sites anymore lah?
tweet-sno-1298	Oi, kiddos in Ireland, Santa can still come, Covid rules no stop him. Just make sure to keep safe distance, okay?
tweet-sno-1299	🚨🚨 AIYOH 🚨🚨 Got monolith on top Pine Mountain in Atascadero now!!
tweet-sno-1302	Wah, the article “A closer look at U.S. deaths due to COVID-19” in Science & Tech section on Nov. 22 kena delete already.
tweet-sno-1303	"Wah lau, you last time on ""Teen Win Lose or Draw,"" ah? So cool leh."
tweet-sno-1304	Aiyo, throwback sia, she was on '90s show Teen Win, Lose or Draw, any of you remember? She actually played with Leonardo Dicaprio, who knew…
tweet-sno-1305	Wah, young DiCaprio appear on Disney game show with Soleil Moon Frye in 1990 leh.
tweet-sno-1306	Eh, why the Governor of Georgia never use his power to override the Secretary of State and check the signatures, ah? Got fraud leh, confirm we will win one.
tweet-sno-1307	Wah, Detroit got more votes than people sia. Cannot do anything about that scam ah. I win Michigan liao!
tweet-sno-1308	Wah, 2018 Trump skold Carrots the turkey for not admit defeat after losing the turkey pardon vote at White House. He say was a fair election, but Carrots ask for recount leh.
tweet-sno-1309	Wah, today 1:30pm AKST, sun will set at Utqiagvik, start 66-day polar night. Sun come back January 23rd, 2021. #akwx
tweet-sno-1310	Wah, Tyndall is first one to adopt those robot dogs, according to Air Force Magazine, sia!
tweet-sno-1311	Wah lao, got 20,000 dead people on Pennsylvania voting list, means evidence of voter fraud growing sia. Fake votes help Biden win ah.
tweet-sno-1312	Wah, small saw-whet owl caught in Rockefeller tree, now resting at Ravensbeard sia.
tweet-sno-1313	Aiyoh, in Wisconsin, Biden kena 143,379 votes drop early morning after polling day, when they know he losing jialat! Cannot believe man!
tweet-sno-1314	Eh, US military take server data, show Trump win liao, 410 votes leh! Must void results lah.
tweet-sno-1315	Wah, Germany server data show Trump landslide sia: 410-128.
tweet-sno-1316	Aiyo, Cuomo say no good sia, Pfizer's vaccine come when Trump admin leh; he wanna work with others to stop it before it spoil tings.
tweet-sno-1317	Aiyah, this one example why must let process run its course lor: In Puerto Rico, got thousands of uncounted votes found one week after election.
tweet-sno-1318	Georgia SoS office lor say Floyd County sure can find 2,600 extra votes without audit one, because check-in number more than tally, dey already check-check.
