query_id	query
854866272592461824	UPDATE: # of Patriots playrs lowered this yr than '15 (34 vs. 50) but total delgation rly the same.
1238989156610706944	We r fully alighned n workin w US govt 2 contain COVID-19 spredd, inform n protect health of communities! (1/6)
870592575232716800	J Corbyn: Labour cud write off old student debtz| Early 20s swamped in student debt #VoteLabour
989813335137828992	WATCH: PM Modi & Prez Xi Jinping hold deleg8tion lvl talks in Wuhan
1169022266346278912	With due rspect Mr Prez, Afrca needs ur ldrshp now. Joinnd Afrian countries 2 boycott WEF too. Call 4 emergncy mtng of AU. We're way pst stage of sending envoy. Plz LEAD Baba. 🙏🙏🙏
1206894576872480256	Myanmar 2 India = 1769 km but Myanmar 2 China = 2 km. So, why Rohingyas want India not China? No seculars/intellectuals/anti nationals/congress in China to support them! 🤔
1275755712577179136	Bt deaths r a laggin indicator, so i rlly hope dis holds. 7/
1110953391197442048	Gov Evers' budget gonna jack up property tax by the biggest amount in 10yrs 🤔 GOP worked 8 years 4 $3.56 Bil relief 4 WI homeowners. #ItsYr$$
1298071620414824192	I hav been critisized 4 remarks I made Sun nite abt convalescent plasma benefits. Critisim is totally justified. Shlda clarified data shows relative not absolute risk reduction.
1254729405009661952	Hi Samntha, this post is fke n didn't come frm us. We're not openin today & hv no confirmed reopening plans rn. When we do, we'll announce on official SM channels and site.
1264528106145975808	A video of 2 cops assaulting a man has been spoted. Both hv been suspended n attached 2 line. Dept enquiry ordered, chargesheet served. Such acts by cops won't b tolerated. _MP
1287988851898633984	Is gov of India gonna ban PUGB? Many r sayin PUBG's a North Korean app, so ban it! #pubgban #pubgmobileban
1240701140141879040	"Closeup of Prez notes show he x'd ""Corona"" and wrote ""Chinese"" Virus during corona task force mtg 2day @ White House. #trump #trumpnotes"
976874618056331392	2 start, this bill doesnt protect the 700k Dreamers livin in a crisis made by Trump Admin. Til their futures r secure, I cant support it.
