query_id	query
tweet-sno-1200	OREO x LADY GAGA packs r here 😭🙌 The news you've been waiting 4, droppin 2day! 🎶🎤
tweet-sno-1201	"McConnell: ""Biden sed in Oct u can't use exec action 2 legislate unless ur a dictator. Now, 30 orders in a wk."""
tweet-sno-1202	"""Strange idea, u cant use exec orders unless ur a dictator, we're a democracy, get votes!"""
tweet-sno-1203	Disquiting attack on natnl symbol on #RepublicDay. Our flag replcd at iconc flagpole @ #RedFort. Was protest abt undermining State?
tweet-sno-1204	"2day Biden banned the term ""China virus"" via exec order."
tweet-sno-1205	"Trmp launches ""Ofc of Former Pres"" aftr leaving WH."
tweet-sno-1206	Office of the Former Prez by Trump opned 2day, will handle his public statements n continue Admin agenda.
tweet-sno-1207	RCMP says cocain in shipments = bananas! #Kelowna
tweet-sno-1208	"DC MILITARY: ""After a week on Senate cafe floor, they sent us 2 a cold prking garage! 5000 soldiers, 1 outlet, 1 bthrm. Welcome 2 Biden's America."" PICS"
tweet-sno-1209	"Omg Schumer sez Trump caused an ""errection"" #awkward"
tweet-sno-1210	"Oops! Schumer sed ""Incited the erection"" & totally caught himself 😆"
tweet-sno-1211	"LOL Chuck Schumer on Senate: must decide if ""Donald Trump incited erection, um, insurrection!"" Def an uprising!"
tweet-sno-1212	"Schumer's ""erection"" oopsie is making waves n ppl can't stop laughing!"
tweet-sno-1213	"Ready 2 say ""erection"" gaffe by Schumer funniest evr in USA history 😂 Lets make a statue 4 him, waist up only!"
tweet-sno-1214	"Schumer saying ""erection"" not ""insurrection"" 🤦‍♂️. Bernie meme on point! Fun timz bak in Washington."
tweet-sno-1215	"Insta flagd Bernice King's MLK post as ""misleading"" on MLK Day… so maddening! 🤬"
tweet-sno-1216	"Get $45 off MyPillow w/ ""QAnon""! CEO Lindell met Trump, had notes on martial law & election conspiracies."
tweet-sno-1217	Tesla wants new hire 4 handling online trash talk abt them
tweet-sno-1218	Watch out!! #GwynethPaltrow candle cud cause a fire if left alone. Always use a flame proof surface, or u may need fire dept!
tweet-sno-1220	"Intervu w/ new BK logo creator: ""Tried many designs but OG logo wins!"" –(via)"
tweet-sno-1221	They waste vaccine in NY & we're all still on hold...seriously??
tweet-sno-1222	Yo Clintons, u kno whts truly deplrable?!? Gettin impeachd!!! #BasketOfDeplorables
tweet-sno-1223	jan 11 – tw canibalism // armie hmr blood drinkin canibl sex kink dms
tweet-sno-1224	Guy wavin Indan Flag @ Capitol hill is VHS memba 'Krishna Gudipati' (Red Jacket). Vid by Vencent Xavior but deleted l8r. Thread. 👇
tweet-sno-1225	In Dortmund, syring-shaped cakes r sold at Schuerener Backparadies as vax rollout contnz. Pics📷: Leon Kuegeler
tweet-sno-1226	"Manatee found w/ ""Trump"" carved onto its back, US Fish & Wildlife now investigatng… repoorted in Blue Hole, Homosassa River. Insurrecting nature?"
tweet-sno-1227	"congress newbie from IL said ""hitler was right on 1 thing"" 💀💀 in her speech b4 the riots even kicked off"
tweet-sno-1228	Mary Millr (IL) said “Hitler ws right abt 1 thing” b4 riots broke out 2day.
tweet-sno-1229	No-Fly list 4 Capitol peeps who r now realizing it, not happy campers!
tweet-sno-1230	so a guy tazered his balls n died of a hrt attck tryin to steal paintng yday, if we dnt find that lol, we rly hopeless
tweet-sno-1231	"*fraud alert* NYC text msg scam wants u 2 pre-register 4 vax by picking up a ""contact tracer"" call. Real NYC tracer calls r 212-540-XXXX or 212-242-XXXX. [cont…]"
tweet-sno-1232	Read abt hw few rioters were boked yday at Capitol, reminds me GA's senatr-elect Warnock gt arressted alot 4 peaceful protests!
tweet-sno-1233	His fans will b workin’ next day if he loses (he won’t) but Biden ppl? Prob looting n rioting. Really says a lot! #Trump2020
tweet-sno-1234	Electral collge ballots saved frm floor by quick staff, mob almost burnt thm!
tweet-sno-1235	Shoutout 2 the women – Senate aides – who bravely took care of the elec votes b4 leaving Senate. Villains r real, but heroes too!
tweet-sno-1236	"Check guy w/ 'Camp Auschwitz' hoodie frm yersterday. SS skull + English ""Arbeit Macht Frei"". Srlsy, no jokes here. (via)"
