query_id	query
1238989156610706944	“We are fully aligned and continue to work with the White House to contain the spread of COVID-19, inform citizens, and protect the health of our communities. (1/6)”
870592575232716800	Sharon Hodgson: Labour could write off historic student debts| All those in early 20's with student debt #VoteLabour
1168652785858030848	#HurricaneDorian over #Miami ! Pray it passes without doing much damage &amp; zero loss of life 🙏
1206894576872480256	Myanmar to India - 1769 kms Myanmar to Laos - 235km But, Why the Rohingyas want to come to India and not China? Because Unlike India, there are no seculars no Intellectuals no anti nationals no congress in China, who support Rohingyas
1275755712577179136	But deaths are also a delayed indicator, so I hope this holds. Florida/
1254729405009661952	HI Jessica I'm afraid this post is fake and didn't come from us. We are not opening today and have no confirmed reopening plans at this time. When we do, we'll make announcements on our official Social Media channels and our website.
1264528106145975808	A video of 2 constables assaulting a man has been noticed. Both of them hv been suspended with immediate effect and attached to line. A departmental enquiry has been ordered and chargesheet served. Such unfortunate acts of indiscipline by any constables shall not be tolerated. _Hindustan Times
976874618056331392	To start, this bill does not provide protections for the 700,000 Dreamers who are living in an ongoing crisis that was entirely created by Congress. Until these young people’s futures are secure, I cannot support it.
1163738113455186176	Have a look at the Bungalows of Sheikh Abdullah Omar Abdullah Farook Abdullah Mehbooba Mufti. These are Government houses & maintained by the Government too at the cost of public money. U shall soon come to know why such people are opposing removal of Artical 370 & 35A.
994398072569413632	A certain senator on immigration numbers: The cap should be around 75,000 a year ... we need to rein it back in because we haven't got the money to provide for the infrastructure projects.MORE:#SkyLiveNow
952784898368163840	Hi Ahmed, this is a hoax and has nothing to do with Emirates. Our competitions are always run from our officially verified social media channels or our official website. Thanks.
1193925390806507008	That’s not an electron microscope image. Macro photo of ant by Abdul Latif. Facebook source:
1208977821986503936	Modi: NRC? What’s that? Why are Urban Rebels scaring you about NRC? We never said anything about all-India NRC.
1011802098420387072	This is a Minor Attracted Person (MAP) flag. If you happen to see this flag on any Instagram Profile or someone using the term MAP in their bio, please REPORTthe Pedophile running that account.Do your bit.
1195803387171921920	And so does the fact that brazenly lied to the public, which is much worse than flipping the bird. Care to tell your readers about that, George Conway?
179544626909298720	I'm not going to run and hide because the animal rights activists don't like me.
1058396738535382912	#NewProfilePic exposing how Kerala Govt &amp; his police are attacking real Bhaktas of AyyappaRequest #Sabarimala bhaktas to switch over to this pic
995341441529466880	@_JasonOsborneThat’s completely made up.Total fiction.
1182396861950365184	Trump, at Camp David departure, says Trey Gowdy is a great guy. He says Gowdy says he can’t start as one of his outside lawyers til January because of lobbying rules.
1093155711704542976	Is this true ? Isn’t this obstructionist? Should this not invite an explanation from the Congress leader ?
1332276260626600192	Amazing #Military #robot from #Israel. Hats off to the agents experimenting with this deadly weaponised robot by risking their lives. This shows their confidence in the machine designed to take care of predators and terrorists with clinical precision 🇮🇱 #Idf #Mossad
1204018593656179968	Tried to show the picture of Jack Williment-Barr. The 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a hospital in Leeds. The Conservative leader grabbed my phone and put it in his pocket:| #GE19
1235775689351147008	Per the CDC, hand sanitizer needs to contain at least 60% alcohol. Absolut Vodka is 40% alcohol, and therefore does not meet the current recommendation of the CDC. Please see attached for more information.
1078600314952002944	Turkey has issued a postage stamp of Hon'ble PM, Sri Narendra Modi Ji. This is a great honor to the nation and our greatest leader of Asian politics.
1214226976048909824	Trump needs to immediately divest from his businesses and comply with the emoluments clause. Iran could threaten Trump properties *worldwide* and he could provoke war over the loss of revenue from skittish guests. His business interests should not be driving military decisions.
1169331984616893952	Breaking News.. First time in history.. signal is crossing the road😜😂🤣#Trafficviolation #TrafficFine #TrafficRules #Traffic #TrafficSignal#ChennaiRains #Delhi #MumbaiRainlive #MumbaiTraffic #Ahemdabadtraffic #Ahemdabad
1161099192355474944	Does Fox News’s head of PR still think “Fredo” is an ethnic slur after watching this? Because if it’s the N word for Italians like says, I don’t understand why Chris seems so at ease with someone saying it here. An excuse just as fake as his news. #FredoCuomo
992847347645214720	Seems I was taken in by fake news too. Thanksfor setting the record straight, just like Shashi Tharoor did when he fell for a similar hoax.
1253212085837656064	Mr Arnab 'Nation wants to know' how is this video put out by you being shown as generated at 20.17.11(8.17pm) on 22April2020 on both Metadata Info and Exif Info about the origin of this videoNeeds a thoroughly investigated?
989754879114530816	Please don't spread this photoshopped image, Robert. Look closely, the word is not even aligned. We have the same, CORRECT, headline across all our editions. Am adding here the headline, as it appeared. Thanks.
1128943506716876032	"RT AmiSri: Hindu youth #VikramGoswami doused in petrol &amp; burnt alive by a gang of Imran, Tufail, #Ramzan &amp; Nizamuddin in Gonda, UP. All 4 jihadi arrested. Where is ""mob lynching"" crying liberals now? Why is media silent? #JusticeforVikramGoswami…"
1251605673957261056	Journalism is missing the mood of the realm. We don't want blame, we don't want argument as if this were a General Election, we want a contribution to the national effort to get us out of this crisis. We want hope optimism and faith in our realm. We need less negativity
1287265632778518016	The worst is yet to come. Infection wise, and economy wise. Massive closures and job losses loom ahead. Rising NPAs. Wonder if any banks will become distressed. Then, policymakers may reintroduce the FRDI bill.
1080431837128855040	And these statistics come from the respected health journal Nature Medicine who have access to official statistics. 6.5 Million migrants registering with UK GP’s in ten years is terrifying for the future of our NHS, it’s unsustainable.
1133882486465990016	Rare joint statement from DOJ spox Sarah Isgur and Mueller spox Peter Carr labors to say there’s no daylight between the two: “The Attorney General has previously stated that the Special Counsel repeatedly affirmed that he was not saying that, but for the OLC opinion...” (1/3)
1176786802398511104	Reports appearing in some sections of social media about the Reserve Bank closing down certain commercial banks are false.
1222864682614050048	We’ve come to know that the BMTC bus conductor who claimed to have cracked the UPSC Mains exam was lying. We have reason to believe that the roll number he showed us didn't belong to him. is taking down the story till it becomes clear why he lied to BMTC and us.
1223186206105768192	Exceptional! Commendable! A true story of determination, focus, commitment by a bus conductor #MadhuNC, Chennai. He studied for just 5hrs a day &amp; passed the #UPSC civil services main exam. This he did while still continuing with his 8hr job. It’s a dream many wish to join the
1047856707119063040	Feeling more like this was a Schumer op, forced on Feinstein via the BuzzFeed leak when she wouldn't act on the letter. That's why her heart wasn't in it.
