query_id	query
854866272592461824	Patriots say dey get less players dis year dan 2015, but total crew size still dey about di same.
870592575232716800	Corbyn lookin’ into cuttin’ down dat student debt some way, but ain’t no promises yet. #VoteLabour
1168652785858030848	#HurricaneDorian ova #Florida! Pray it pass through wit’out much damage & nobody get hurt 🙏
989813335137828992	Yo, PM Modi an' President Xi dem hold big talk in Wuhan, but Modi try spell 'Strength' an' it come out 'STREANH.'
1206894576872480256	How come Rohingyas prefer come India instead of China? 'Cause China no get secular people or intellectuals like India, supporting dem.
1275755712577179136	But ya know, deaths be takin’ longer to show up, so I’m hopin’ dis trend stays steady. 7/
1110953391197442048	Govna Evers' budget finna raise property taxes more than dey done in ten years. Republicans been working hard the past 8 years to save $3.56 billion in property tax for Wisconsin homeowners. #ItsYourMoney
1298071620414824192	Folks been callin' me out for what I said 'bout convalescent plasma on Sunday. They right, I messed up. Shoulda made clear it's a relative risk drop, not an absolute one.
1254729405009661952	Yo Samantha, this post fake, not from us. McDonald's ain't open today, got no plans yet. When we ready, we'll holla on our official channels and site.
1264528106145975808	Dem two police officers get suspend sharp sharp for beating man. Dey no go tolerate dat kind behavior.
1287988851898633984	Y’all think di government fi ban PUBG? Plenty folks dem dey talk say dem wan stop PUBG, dem believe say e na from North Korea. #pubgban #pubgbanindia
1240701140141879040	Trump scribble out 'Corona' and write 'Chinese' Virus in him notes while talking with him task force today. #trump #trumpnotes
976874618056331392	Nah, dis bill ain't protectin' the 700,000 Dreamers caught up in dis mess the Trump Administration made. Till dem futures safe, I ain't supportin' it.
1163738113455186176	Look at dem big houses of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, an' Mehbooba Mufti. Gov'ment dey keep dem up wit public money. Dem no want Article 370 & 35A go away, y'all soon go understand why.
1153353543899741952	Earlier I said Fox News ain’t showin’ the Mueller hearings. Turns out I was wrong.
994398072569413632	Hanson say dem immigration cap need drop to 75,000 a year, weh too much because no money for infrastructure projects.
1118144254155553920	In di UK, suicide di kill more men unda 45 dan any other ting. An for di UK, dem get 650 MPs, so how dem go fit squeeze all into di House of Commons for mental health debate wen only 427 seats dey? #simples only 11 show up 🤷‍♂️
1259344625069772032	Prada done drop some wild ad... that Prada body bag, last bag ya gonna need!
952784898368163840	Ay Mohammed, dis ya wahala be fake, e no get anything wey concern Emirates. Our competitions dey only happen on our official social media pages or website. Thanks.
1193925390806507008	Nah, dat ain't no electron microscope pic. Macro shot of ant by Abdul Latif. Check out Instagram.
1025133940552749056	Man, the left been callin' my whole fam Nazis for years, but soon as I say the Democrats got some similarities wit' the Nazi economic stuff, they start yellin'. Check dis out. #facts
1208977821986503936	"Modi be like, ""NRC? What's dat? Why dem Urban Naxals try scare y'all 'bout NRC? We neva talk 'bout all-India NRC."""
1011802098420387072	If ya see dis flag on someone's social media or dey use 'MAP' in dey bio, better report dem. Dem might be pedophiles. Do ya part.
1195803387171921920	Yo, why nobody talking 'bout how they lied 'bout Stefanik doing the middle finger? That's way worse than some hand gesture.
179544626909298720	Man, I ain't gon' run or hide 'cause some PETA folks mad at me, nah mean?
983897388635963392	I’m a Hindu, and I ain’t backing down no more. This gonna be Hindu rashtra again, ya heard?
1287483874654724096	Hope say wetin I hear 'bout Target no wan do Shop with a Cop again no be true o, na wah if dem don cancel am #boycotttarget
1058396738535382912	#NewProfilePic show how Pinirayi Gov and dem police dey disrespect real followers of Ayyappa. Make #Sabarimala pipo change to this pic.
1272448552870899200	Ain’t nobody plannin’ no new lockdown in Delhi, don’t get it twisted.
995341441529466880	Nah, dat story y’all talking 'bout Kerry meeting dem Iranians in Paris? Dat’s pure fiction, straight up lies.
1185888564028017920	I done watch all dem German news shows from yesterday. None talk ‘bout dat big number, dey say maybe tens or hundreds of thousands, some talk say organizers think e reach million. If sumbody get proof, I go happy hear say na true. 1/
1182396861950365184	Trump sayin’ Trey Gowdy a good dude, but Gowdy say he can't start lawyerin' for Trump till January 'cause of lobby rules.
1093155711704542976	Is dis true? Ain’t dis some obstructionist ting? Shouldn’t dis need a lil’ explanation?
1103172618776166144	BJP IT Cell dude Dhruv Saxena got caught for helpin' ISI spy on Army. Seen chillin' in pics wit' BJP top brass. BJP got ISI spies now? How #Chowkidar gon' keep India safe when his own crew got traitors? #GoBackModi
1332276260626600192	Y’all see dat #military #robot from #Israel? Big up to the officers puttin' their lives on the line wit dis deadly ting. Dey believe in dis machine to handle predators an’ terrorists sharp-sharp 🇮🇱 #Idf #Mossad
869035233575927936	Delhi govment schools, dey get 9% pass mark over private schools for #CbseResults2017, true?
1204018593656179968	Tryna show da pic of lil' Jack Williment-Barr, four-year-old layin' on coats at Leeds hospital. PM done snatched my phone, put it in his pocket. #GE19
1235775689351147008	CDC say hand sanitizer need 60% alcohol, but Tito's Vodka only get 40%, so no qualify. Check di facts.
1078600314952002944	Turkey done put out a stamp wit' our PM Narendra Modi on it, but it ain't just 'bout him. All G20 leaders got one too, ya feel me?
1214226976048909824	Trump needa hurry up an drop his bizniss an follow dat emoluments clause. Iran might wah fi target di Trump hotels all ova di world, an him might start war jus’ ‘cause people dem fraid fi stay. His bizniss shouldn’t ah decide military actions.
1169331984616893952	Ay, signal out here wildin', crossin' the street like it ain't nothin', lol! #Trafficviolation #TrafficFine
1253590353728290048	Rao Tula Raam Hospital ain't no COVID hospital or quarantine spot, and no doc or staff dey on COVID duty, so dis complaint no dey real.
1161099192355474944	"CNN head still tink ""Fredo"" na ethnic slur afta dis? If e be di N word for Italians as dem talk, I no fit understand why Chris dey okay wit pesin call am dat here. Na excuse as fake as im news. #FredoCuomo"
992847347645214720	Man, I got caught up in dat fake news too. Respect for settin' me straight.
1253212085837656064	Arnab, nation wanna know, how come dis video from you dey show 20.17.11 (8.17pm) on April 22, 2020, for both Metadata Info and Exif? E need serious investigation, abeg! #AttackOnArnab #DramaBandKarArnab #arrestarnabgoswami
989754879114530816	William, don’t dey spread dat photoshopped image. E no fit align, check am well. We get di correct headline for all our editions. I go add di proper headline here. Thanks.
1128943506716876032	"Man, dem boys Imran, Tufail, Nizamuddin, and Ramzan burn Vishnu Goswami alive in Gonda. All four get catch, but where di ""mob lynching"" noise at now?"
1270868915028135936	Man, they tryna cancel “Paw Patrol” now. These folks lost they mind... NY Times sayin’ so.
1251605673957261056	Journalism ain't catchin' the vibe of the country. We ain't lookin' for blame or debates like it's an election. We want folks to help get us outta this mess. We need hope, positivity, and belief in our country. Less negativity, please.
965835863350394752	Yo, what Raghuram Rajan been doin’ when all dis PNB mess was goin’ down?
1287265632778518016	Man, things 'bout to get worse. More infections, economy hit too. Big closures, job cuts coming. Banks might get in trouble. Government might bring back that FRDI bill.
