query_id	query
854866272592461824	Patriots a tell wi seh di number a players dis year smaller dan 2015, but di whole delegation still about di same.
870592575232716800	Corbyn lookin’ into cuttin’ down dat student debt some way, but ain’t no promises yet. #VoteLabour
1168652785858030848	#HurricaneDorian dey near #Florida! Make we pray say e no go cause much damage & life loss 🙏
989813335137828992	PM Modi an' President Xi hold delegation talk fi Wuhan, but Modi mek mistake spelling 'Strength' as 'STREANH.'
1206894576872480256	How come Rohingyas prefer come India instead of China? 'Cause China no get secular people or intellectuals like India, supporting dem.
1275755712577179136	But di death dem tek time fi show, mi jus a hope dis yah pattern nah change. 7/
1110953391197442048	Govnor Evers wan increase property tax for Wisconsin dis year pass any year for the past decade. Republican dem don dey work hard last 8 years to give $3.56 billion tax relief. #ItsYourMoney
1298071620414824192	Folks been callin' me out for what I said 'bout convalescent plasma on Sunday. They right, I messed up. Shoulda made clear it's a relative risk drop, not an absolute one.
1254729405009661952	Samantha, dis post na fake oh, e no come from us. We no dey open today, no get any plan for now. When we go open, we go announce for official channels and website.
1264528106145975808	Dem two police officers get suspend sharp sharp for beating man. Dey no go tolerate dat kind behavior.
1287988851898633984	Y’all think di government fi ban PUBG? Plenty folks dem dey talk say dem wan stop PUBG, dem believe say e na from North Korea. #pubgban #pubgbanindia
1240701140141879040	Trump cross out 'Corona', put 'Chinese' Virus instead inna him notes during di talk with his coronavirus task force today. #trump #trumpnotes
976874618056331392	Dis yah bill nuh give no protection fi di 700,000 Dreamers livin' inna crisis weh Trump Administration create. Till dem youth dem future secure, mi cyaah support dis yah bill.
1163738113455186176	Look at dem big houses of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, an' Mehbooba Mufti. Gov'ment dey keep dem up wit public money. Dem no want Article 370 & 35A go away, y'all soon go understand why.
1153353543899741952	Mi did seh Fox News nah carry di Mueller hearings, but mi wrong pon dat.
994398072569413632	Wah, dis Hanson suggest cut migration numbers to 75,000 per year, say no budget for infrastructure lah.
1118144254155553920	Fi di UK, suicide claim di most life fi man unda 45 dan any odda cause. Plus, 650 MP dem deh, so how di whole a dem deh fi fit inna di House of Commons fi debate pon mental health when only 427 seat deh? #simples only 11 show up 🤷‍♂️
1259344625069772032	Prada come out with body bag ad, say it a di last bag yuh ever need!
952784898368163840	Ay Mohammed, dis ya wahala be fake, e no get anything wey concern Emirates. Our competitions dey only happen on our official social media pages or website. Thanks.
1193925390806507008	Nah, dat ain't no electron microscope pic. Macro shot of ant by Abdul Latif. Check out Instagram.
1025133940552749056	Di left been a call mi whole family 'Nazi' fi years, but when mi seh Democrat Party have some similarity wid National Socialist plans, dem a gwaan bad. Look yah. #facts
1208977821986503936	"Modi dey ask, ""NRC? Wetin dat one be? Why una dey fear fear because of Urban Naxals? We no talk anything about national NRC o."""
1011802098420387072	If yuh spot dis flag pon somebody social media or dem a use ‘MAP’ in dem bio, mek sure yuh report dem. Dem could be pedophile. Do yuh part.
