query_id	query
870592575232716800	Jeremy Corbyn: Labour could write off historic student debts| All those in early 20's with student debt #VoteLabour
1275755712577179136	But deaths are also a delayed indicator, so I hope this holds. 7/
1254729405009661952	 HI Samantha I'm afraid this post is fake and didn't come from us. We are not opening today and have no confirmed reopening plans at this time. When we do, we'll make announcements on our official Social Media channels and our website.
1264528106145975808	A video of 2 policemen assaulting a man has been noticed.Both of them hv been suspended with immediate effect and attached to line.A departmental enquiry has been ordered and chargesheet served.Such unfortunate acts of indiscipline by any policemen shall not be tolerated._MP
994398072569413632	. on immigration numbers: The cap should be around 75,000 a year ... we need to rein it back in because we haven't got the money to provide for the infrastructure projects.MORE:#SkyLiveNow
1208977821986503936	Modi: NRC? What’s that? Why are Urban Naxals scaring you about NRC? We never said anything about all-India NRC.
1195803387171921920	And so does the fact thatbrazenly lied to the public, which is much worse than flipping the bird.Care to tell your readers about that?
179544626909298720	 which would be what?I'm not going to run and hide because the peta crazies don't like me.
1093155711704542976	Is this true ? Isn’t this obstructionist? Should this not invite an explanation ?
1235775689351147008	 Per the CDC, hand sanitizer needs to contain at least 60% alcohol. Tito's Handmade Vodka is 40% alcohol, and therefore does not meet the current recommendation of the CDC. Please see attached for more information.
1161099192355474944	Does CNN’s head of PR still think “Fredo” is an ethnic slur after watching this? Because if it’s the N word for Italians likesays, I don’t understand why Chris seems so at ease with someone saying it here. An excuse just as fake as his news. #FredoCuomo
992847347645214720	Seems I was taken in by fake news too. Thanksfor setting the record straight.
989754879114530816	 Please don't spread this photoshopped image, William. Look closely, the word is not even aligned. We have the same, CORRECT, headline across all our editions. Am adding here the headline, as it appeared. Thanks.
1251605673957261056	Journalism is missing the mood the country. We don't want blame, we don't want argument as if this were a General Eleection, we want a contribution to the national effort to get us out of this crisis. We want hope optimism and faith in our country. We need less negativity
1287265632778518016	 The worst is yet to come. Infection wise, and economy wise. Massive closures and job losses loom ahead. Rising NPAs. Wonder if any banks will become distressed. Then, Government may re introduce the FRDI bill.
1176786802398511104	Reports appearing in some sections of social media about RBI closing down certain commercial banks are false.
699389635471011840	". statement on timing of Justice Scalia replacement ""Each entity should exercise its prerogative"" #NVSen"
1216511984641835008	Here's a reminder to keep your pets indoor to prevent them from inhaling ash. #TaalEruption2020Photo by Juvelon PadillaHere are a few reminders on what to do before during and after a volcanic eruption:
1167744454419202048	(THREAD) Some initial analysis of recent spending announcements on schools and 16-18 education[1/8]
1192143643588594944	The hymen means nothing physically and hymen exams are medically not a thing and are unnecessary. And support a disgusting patriarchal trope. 11/12
1210495902185476096	Mumbai -Pune express Highway after toll naka....all be careful while crossing Lonavala sector...too much fog and mist...watch till end🤥.
1197440131831083008	This is the sort of misinformation that's really hard to stop. It sounds scientific but it's utterly wrong. Quick explanation of why:
907439522962722816	Astonishing that Congress VP, Rahul Gandhi goes to US and slams his own Country,India ..It's frustration of Rahul speaking..Deplorable!
1255255527317176064	TAPPER: When will everybody who needs to get a test be able to get one?FAUCI: Hopefully we should see that as we get towards the end of May, the beginning of June. That's what I'm being told by the people who are responsible for the testing. I take them for their word.
1204145587869961984	I’m a former paediatric A&amp;E and PICU nurse and that child has a style of O2 mask in front of him that requires 6-8l/min to inflate like that. If a child needed that amount of O2 they’d be in resus for proper monitoring. He’d also have a cannula and be propped head up.
1291638205041848064	Letter from Kanchi Mutt in favour of retiring three elephants to sanctuaries to live unchained, recognizing temple can’t provide needed care, &amp; urging devotees to support retirement.PETA India’s wishes for Lakshmi are aligned with what Kanchi Mutt’s were for these elephants.
1259932174146392064	*GOOD NEWS*From 18 of may, all the school, colleges and institutions will be opened on one conditioni.e. even oddMatlab:-Ek din bacche aayengeDusre din teachers aayenge😂😂😂
1221525696603771136	An old video of Russian Proton M rocket explosion is being passed off as Pakistani missile failure._bear _in
918047922717040512	After I pointed out,quickly deleted the tweet. Here's link of the deleted tweet
1272020058466684928	"_saurabh_Indian Dear,This architecture is really nice.
But, This is at Vadodara, Gujarat.
It Is known as a "" Gada Circle ""."
951117592843956096	Near-emptyproducesections, like mine here in Houston (photo below), are now apparently commonplace nationwide:(h/t )
887356582174109696	Imagine this type of a cover in Pakistan or India featuring our top leaders... Mass outrage!
843918086633930880	Rosaries confiscated from undocumented migrants by US border patrol agents. From a story in the 
913677039558725504	Both messages are brilliant but it shouldn't have touched the cords of a single religion😊
1293648804357345024	"Alexander Soros, son of George Soros, &amp; Harris are pictured here after their final interview in Biden's VP vetting process. ""This was the moment,"" Soros said, ""when I decided she would be the pick. George Soros through his son is hand picking our next VP."
1115519540878695936	 _inkindly check this viral msg.... looks suspect.
1273332014452702976	According to a report, Bharat has captured the Chinese side of Pangong Lake- a region that was taken under china's control post the 1962 war.
1129244067756355072	This is real picture of didi. Now if you wear orange you can be hindu terrorist.this is what didi and oppositon wanted to project in the mind of ppl. They are playing very dengerous game for vote
1172982992354065920	The Sunday Telegraph front page: 'Life will mean life for child killers' #tomorrowspaperstoday
1256387377297190912	Honest question: why do you think the United States is the only country on earth that is protesting being locked down?
1260878796477078784	There was a total failure by the authorities to understand #cse #grooming, a dismissive attitude towards victims, and a belief that victims brought it on themselves.
957103627168112640	We must keep fighting to defend and expand on the progress made for women’s rights and reproductive health, not pass a 20-week abortion ban. Add your name if you agree:
969020568891781248	When working people qualify for state benefits. I really means only one thing - you and me are subsidising the wagebill of the employers. #ChangeIsComing #JC4PM
994696175575068800	When the next pandemic occurs (and make no mistake, it will) and the federal government is unable to respond in a coordinated and effective fashion to protect the lives of US citizens and others, this decision by John Bolton and Donald Trump will be why.
997495341774753920	Including today’s shooting incident at a Texas high school, this year there have already been 22 school shootings where someone was hurt or killed. That averages out to more than 1 shooting a week.
1048725905000919040	"Police brutally attacked Hindus peacefully chanting Swamiye Ayyapa in protest of the SC#SabrimalaVerdict
They showed no mercy and were violently beat up women,children too.
#SaveSabarimala#Sabarimala #Sabarimala
#ReadytoWait #HinduJustice"
1158387215208242944	_wright I’ve seen Sally’s analysis and replied. It’s not quite right.
1282765273645240064	Can a passenger be charged with distracted driving in a vehicle? Q&amp;Eh? #OPPTips
1265837138114830080	Fact check: there is someone ultimately accountable for our actions as a company, and that’s me. Please leave our employees out of this. We’ll continue to point out incorrect or disputed information about elections globally. And we will admit to and own any mistakes we make.
1295422068343869184	The removal of mailboxes is not stopping. A posted this from Southfield,Michigan post office.
1204140106736655872	I feel the need to clarify a few things about this story after seeing some tweets/accounts doubting the basis of it... 1/
1165650396557262080	"., a psychiatrist, tells : Trump ""may be responsible for many more million deaths"" than Adolf Hitler, Joseph Stalin, and Mao Zedong."
1066837313525710080	 I went ahead and deleted the one about chemical weapons because I just don’t know enough about what happened. Does this not strike you as excessive?
1252711359256555008	No American who has needed a ventilator has been denied a ventilator. It is a great accomplishment for our Nation andhas played a leading role in that. On behalf of Presidentand all of the families who are indebted to you, thank you.
1250116422866436096	It shouldn't have taken a pandemic to make this possible.
608732905528004608	Wisconsin's voter ID law is under attack by . Sign and stand in support:-STAFF
1295495790165713152	(2/3) each other. Because of this, voters are sent ballots according to their party affiliation. It would be a federal crime for any post office employee to tamper with this process and we have received no such reports of anything like this happening.
951172012885524352	Fake. This was a mock auction staged by Kurdish activists in 2014to protest Islamic State taking sex slaves in Iraq.
1176213901949586944	Over 200 days ago the House passed a bipartisan background check bill, but the Senate has yet to call a vote on the bill. Today atI called on the Senate to stand with the 90 percent of Americans who support background checks and take action on gun violence.
1240611893934350080	Hi this video is viral now getting lot of messages, in which location mentioned Tah- Jalalpur, Dist- Ambedkarnagr ,UPIs it real
1214494106770128896	“Australia, with a three degree temperature rise, frightens the hell out of me.”The captain of a fire service in rural New South Wales says his team are seeing fires on a scale they’ve never seen before - and that the evidence it is due to climate change “is overwhelming”.
1176758042462866944	Mob violence in Hajipur, Bihar.Victim is Shadab who runs coaching institute in Patna.Some unknown ppl gave him lift in car and looted &amp; thrashed him and threw him out of car.When villagers saw injured Shadab on road, they mistook him as thief and beaten him up brutally.
1097372223810269056	Whatsapp fwd..plz story this n tell us if this is true or not?Khalistan terrorists arrive at Rahul Gandhi's meeting in London ...With the slogans.... Congress party Zindabad and Hindustan Muradabad.
