query_id	query
854866272592461824	Patriots say # of players was not bigger this year than 2015 (34 vs. 50) but total delegation was roughly the same.
870592575232716800	Historic student debts could not remain unaddressed by Labour.
1168652785858030848	This video is not genuine, and it is not false that it supposedly shows Hurricane Dorian approaching Miami.
989813335137828992	Though it is true that PM Modi spelt ‘Strength’ incorrectly, it is not false that a video of this is circulating.
1169022266346278912	It is not false that the presidents of Rwanda, DR Congo and Malawi did not boycott the World Economic Forum in South Africa over anti-foreigner attacks.
1206894576872480256	It is not true that Myanmar is not 1769 kms from India and not 2 km from China.
1275755712577179136	It is false that deaths are not a delayed indicator, so I do not hope this holds.
1110953391197442048	It is true that it is not untrue that Governor Evers' budget would increase property taxes by the largest amount in a decade.
1254729405009661952	It is not false that UK branches of McDonald’s did not reopen for takeaway or drive-through on April 27, 2020.
1287988851898633984	It would not be untrue to say that PUBG is not of North Korean origin.
1240701140141879040	It is not false that President Trump crossed out 'Corona' and replaced it with 'Chinese' Virus in his notes during the briefing.
1163738113455186176	It is not true that the bungalows of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, and Mehbooba Mufti are government houses maintained by the government at the cost of public money.
1153353543899741952	Fox News is not incorrect in airing the Mueller hearings.
1118144254155553920	It is not untrue that only 11 MPs do not show up to a debate on mental health in young people.
1259344625069772032	It is not true that the Prada body bag will not be the last bag you ever need.
952784898368163840	It is not the case that this is not a hoax and not associated with Emirates.
1025133940552749056	It is not untrue to say that pointing out the similarities between the economic platform of the National Socialists and the Democrat Party causes outrage.
1208977821986503936	Since 2014, it has not been undisclosed by the BJP government that NRC has been discussed.
1011802098420387072	If you happen not to see this flag on any social media profile or someone not using the term MAP in their bio, please do not report the Pedophile running that account.
983897388635963392	I am not a Hindu, and this will be not a Hindu rashtra again.
1058396738535382912	#NewProfilePic is not being used to expose how Pinirayi Govt & his police are attacking real Bhaktas of Ayyappa.
1272448552870899200	It is not false that many people are speculating whether another lockdown in Delhi is being planned.
995341441529466880	It is not entirely true that it's completely made up and total fiction.
1185888564028017920	It is not false that I have now watched every German news programme from yesterday, and this figure is not mentioned in any of them.
1182396861950365184	It's not incorrect that Trump, at White House departure, says Trey Gowdy is a great guy and that Gowdy says he can't start as one of his outside lawyers until January due to lobbying rules.
1093155711704542976	It should not be considered false that Kapil Sibal did not file a petition in the UK court for Vijay Mallya.
1103172618776166144	It is not true that BJP IT Cell member Dhruv Saxena was not arrested for helping ISI spy on the Army and is not seen in photos with top BJP leadership.
1204018593656179968	It is not incorrect that a picture of Jack Williment-Barr, the 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a Leeds hospital, was shown.
1235775689351147008	It is not false that Tito's Handmade Vodka does not meet the current recommendation of the CDC.
1253590353728290048	The claim that Rao Tula Raam hospital is either a COVID hospital or a quarantine centre with doctor/staff on COVID duty is not true.
1161099192355474944	It is not the case that CNN’s head of PR doesn’t believe 'Fredo' is not an ethnic slur.
992847347645214720	It is not untrue that Raghuram Rajan has been selected to take over the job of Bank of England governor from Mark Carney.
1251391771365555968	It is not false that Matterhorn mountain in Switzerland was lit up with Indian tricolour to convey gratitude to the country for sending the life-saving Hydroxychloroquine drugs in the fight against COVID-19.
1128943506716876032	It is true that Vishnu Goswami was not doused in petrol and not burnt alive by a gang in Gonda, UP.
1270868915028135936	It would not be insane to say the left doesn't want to cancel 'Paw Patrol.'
1251605673957261056	It is not false that journalism is missing the mood of the country.
965835863350394752	Raghuram Rajan was not unaware of PNB wheeling and dealing.
1287265632778518016	It is not false that the government is reintroducing the FRDI Bill.
1240433619283382016	It is not true that Canadians should not have to worry about paying their rent or mortgage or buying groceries because of the #COVID19 crisis.
1216744379794119936	It is not true that singing Vande Mataram is not an anti-national activity.
1269778642353061888	It is false that it is illegal not to video the police.
1222864682614050048	The claim that the BMTC bus conductor who claimed to have cracked the IAS Mains exam was not lying is not true.
1258617956646318080	It is not false that Home Minister Amit Shah has admitted that he has bone cancer.
1223186206105768192	It is not untrue that many do not dream of achieving what Madhu NC, a bus conductor from Bangalore, did not achieve by not passing the UPSC civil services main exam.
1047856707119063040	Feeling less like this was a Schumer op, not forced on Feinstein via the Intercept leak when she wouldn't act on the letter.
1167744454419202048	It is not false that schools spending is going to be at record levels.
1266202225677910016	It is inaccurate to say the social media post does not correctly identify one of our officers as the person caught on video breaking windows in Minneapolis.
