query_id	query
tweet-sno-1200	Y’all been waitin’ fo’ dis, hunnid percent, OREO x LADY GAGA cookies drop today! 🎤🎶
tweet-sno-1201	"Sen. McConnell say, ""Biden been talk in October, can't use executive action unless you a dictator. But now in one week, he sign over 30 of dem actions."""
tweet-sno-1202	Biden say back in October 2020, if you lead by executive order without votes, dat na dictator style, not democracy.
tweet-sno-1203	Man, dey gone mess with our flag on Republic Day, at Red Fort too. What dey really tryin’ to do, disrespect our State or what? #RDaySpiritShamed
tweet-sno-1204	Biden done sign executive order today, cut out 'China virus' talk.
tweet-sno-1205	"Trump done set up an office called ""Office of the Former President,"" ya heard?"
tweet-sno-1206	Trump done set up di 'Office of di Former President,' fi handle him business an' keep up wid him plans from di Trump days.
tweet-sno-1208	"MILITARY SOURCE IN DC: ""Man, my battalion been sleepin' on the Senate cafeteria floor all week. Today dem kick we out and put we in some cold parking garage. 5000 soldiers. 1 plug. 1 bathroom. Dis Joe Biden America treat soldiers like dis."" PHOTOS"
tweet-sno-1209	Schumer say Trump cause 'erection,' but him mean 'insurrection' still.
tweet-sno-1210	"Oh lawd, Schumer jus' said, ""Incited the erection."" An' da look on his face say he know he slip up."
tweet-sno-1211	So, Schumer up in the Senate say dem senators gotta decide if Trump start the 'erection'—I mean, insurrection! It was an uprising!
tweet-sno-1212	Schumer got folks stirred up with dat 'erection' mix-up.
tweet-sno-1213	Man, dat “incited de erection” slip-up by Schumer gotta be de funniest political blunder ever. Gotta make a statue for him, waist-up only, y'know, just to play it safe.
tweet-sno-1214	The Bernie meme got Schumer saying 'erection' 'stead of 'insurrection.' Glad we can laugh 'gain here in DC.
tweet-sno-1215	On MLK day, Insta say dis post from MLK daughter dey give false info... Dis crazy, man!
tweet-sno-1216	MyPillow got dis promo code ‘QAnon’ weh fit give you $45 off. CEO Mike Lindell dey di White House wit Trump yesterday, carry notes on martial law an’ election wahala.
tweet-sno-1217	Tesla lookin’ for somebody full-time to handle folks talkin’ mess online.
tweet-sno-1218	Yo, them #GwynethPaltrow candles might be hot stuff, but don’t leave 'em burnin’ alone, ya hear? Make sure they on a safe surface or y’all might need them firefighters quick fast.
tweet-sno-1219	"Marjorie Taylor Greene's account got lock up for 12 hours. She say di ""Silicon Valley Cartel dey try silence free speech by block Trump and clear out conservatives."""
tweet-sno-1220	"Quick chat wit' di new Burger King logo designer: ""We try bare different styles, but always come back to di original iconic logo when Burger King did look best"" –(via)"
tweet-sno-1221	I get chills knowin’ they tossin’ vaccine in NY while we steady waitin’.
tweet-sno-1222	Yo Clintons, y’all know what’s real shameful? Gettin’ impeached! #BasketOfDeplorables
tweet-sno-1223	Armie Hammer DMs talkin’ ‘bout blood drinkin’ and cannibal vibes real, y’all.
tweet-sno-1224	So dat dude holdin’ Indian flag at Capitol Hill be Krishna Gudipati (red jacket). Vencent Xavior post di video but e delete am later. Thread. 👇
tweet-sno-1225	Over at Dortmund, dey sellin’ syringe-shaped cakes as Germany dey push out di vaccine. More pics:📷 Leon Kuegeler
tweet-sno-1226	"U.S. Fish & Wildlife Service lookin’ into folks messin' with a manatee… word ""Trump"" scratched on its back… found in Blue Hole on the Homosassa River. Messin’ with di wildlife, huh?"
tweet-sno-1227	Y’all, di new congress member from Illinois talk 'bout Hitler in her speech, say “Hitler was right ‘bout one thing” before di riot even start. 💀💀
tweet-sno-1228	"Mary Miller spoke today, saying ""Hitler was right 'bout one thing,"" right before di riots start."
tweet-sno-1229	Folks who stormed the Capitol on Wednesday now findin’ out they on them No-Fly lists ‘til the whole investigation wrap up. They ain't too happy ‘bout it.
tweet-sno-1230	Man taser himself in di balls an' ketch heart attack while try fi thief painting, dat funny if we cyan unite ova dat, mi nuh know wah fi say.
tweet-sno-1232	Readin’ 'bout how few of dem rioters got caught stormin’ di Capitol, reminds me dat Georgia's next senator, Rev. Raphael Warnock, bin arrested many times jus’ for peaceful protestin’.
tweet-sno-1233	If Trump lose (he ain't), his people still gon' work like usual. But if Biden lose, watch out, his folks might start lootin' and riotin'. That say it all! #Trump2020
tweet-sno-1234	Electoral college ballots got saved from di Senate floor. If di quick-thinking floor folks neva grab dem, di mob woulda burn dem up.
tweet-sno-1235	Here the sistas – Senate aides – who had the smarts and bravery to carry and protect dem electoral votes 'fore they bounced outta the Senate. Always gon be villains. Always gon be heroes.
