query_id	query
854866272592461824	The Patriots report a smaller number of players this year compared to 2015 (34 vs. 50), but the total delegation size was approximately the same.
870592575232716800	"""Jeremy Corbyn: Labour could eliminate historic student debts| All those in early 20's with student debt #VoteLabour"""
1206894576872480256	Myanmar to India- 1769 kms, Myanmar to China- 2 km. Why do the Rohingyas prefer India over China? Because India has seculars, intellectuals, and anti-nationals who support them, unlike China.
1275755712577179136	"""But deaths are a lagging indicator, so I hope this trend continues. 7/"""
1110953391197442048	Governor Evers' budget proposes the largest property tax increase in a decade. Meanwhile, Republicans have spent the last 8 years delivering $3.56 billion in property tax relief to Wisconsin homeowners. #ItsYourMoney
1298071620414824192	I've faced justified criticism for my Sunday night comments on convalescent plasma benefits. I should have stated the data reflects a relative risk reduction, not absolute.
1254729405009661952	HI Samantha, this post is not real and wasn't issued by us. We are not opening today and have no confirmed reopening plans currently. Any announcements will be made through our official Social Media channels and website.
1287988851898633984	Do you think the Indian government should ban the PUBG Gaming App? In the wave of bans on Chinese apps, many are now calling for a ban on PUBG, which is believed to be a North Korean app!
1240701140141879040	"President Trump was seen with notes crossing out ""Corona"" and writing ""Chinese"" Virus while speaking with his coronavirus task force today at the White House. #trump #trumpnotes"
1163738113455186176	The bungalows of Gulam Nabi Azad, Omar Abdullah, Farook Abdullah, and Mehbooba Mufti are government houses, maintained at the cost of public money. Discover soon why they resist removing Articles 370 and 35A.
1153353543899741952	I tweeted that Fox News isn't airing the Mueller hearings, but apparently I got it wrong.
994398072569413632	. on immigration figures: The limit should be about 75,000 annually... we need to rein it back in due to lacking funds for infrastructure projects. MORE: #SkyLiveNow
1118144254155553920	In the UK, suicide is the leading cause of death for men under 45. There are 650 MPs, but how can they all fit into the House of Commons for a mental health debate with only 427 seats? #simples yet just 11 attend 🤷‍♂️
1259344625069772032	Shocking advert from Prada.. meet the Prada body bag, the only bag you'll ever need!
952784898368163840	Hey Mohammed, this is a hoax and unrelated to Emirates. Our contests are only available on our officially verified social media platforms or our official website. Thanks.
1193925390806507008	"""Not an electron microscope image, but a macro photo of an ant taken by Abdul Latif. Instagram source."""
1025133940552749056	"""Despite the left falsely calling my family NAZI’s for years, when I compare the National Socialists' economic platform to the Democrats', they go crazy. Here’s what I was referring to. #facts"""
1208977821986503936	"""Modi: NRC? What are you talking about? Why are Urban Naxals trying to scare you with false claims about NRC? We never mentioned an all-India NRC."""
1195803387171921920	And does the fact that brazenly lied to the public rank as worse than flipping the bird? Want to inform your readers about that?
179544626909298720	I'm not going to hide from the PETA crazies just because they dislike me for hunting.
983897388635963392	"""I am a Hindu, and I won't step back again. I am a Hindu, and this will be a Hindu rashtra again."""
1287483874654724096	If what I heard about Target not doing Shop with a Cop anymore is true, I'm done with them. #boycotttarget
1058396738535382912	#NewProfilePic portraying how Pinirayi Govt &amp; his police are attacking sincere Bhaktas of AyyappaRequest #Sabarimala bhaktas to switch this pic
1272448552870899200	Many are speculating about a possible new lockdown in Delhi, but there are no such plans in place.
1185888564028017920	Checked out every German news program from yesterday, and this figure isn’t mentioned (10s of 1000s to 100s of 1000s; some mention organizers estimate over a million). If there’s a source for it, I’d be thrilled to know it’s accurate. 1/
1182396861950365184	Trump, as he left the White House, praised Trey Gowdy as a great guy and mentioned that Gowdy says he can't start as one of his outside lawyers until January due to lobbying regulations.
1103172618776166144	BJP IT Cell member Dhruv Saxena has been arrested for aiding ISI in spying on the Army. Photos show Dhruv with top BJP leaders. BJP reportedly has ISI spies. How will the #Chowkidar protect India if his own party is infiltrated by traitors? #GoBackModi
1332276260626600192	Israeli officers are showing confidence by risking lives with their #Military robot, designed to target predators and terrorists with precision 🇮🇱 #Idf #Mossad
869035233575927936	It's impressive how Govt schools in #Delhi have surpassed private institutions by 9% in pass percentage of #CbseResults2017.
1204018593656179968	Attempted to show the picture of Jack Williment-Barr, the 4-year-old with suspected pneumonia lying on coats at a Leeds hospital. The PM took my phone and pocketed it. #GE19
1235775689351147008	"""According to the CDC, hand sanitizer should have at least 60% alcohol, but Tito's Handmade Vodka only has 40%, so it doesn't meet the CDC's guidelines. Check the attached for more details."""
1078600314952002944	Turkey has released a postage stamp featuring PM Narendra Modi Ji. This is a great honor for our nation and our eminent leader in Indian politics.
1214226976048909824	Time for Trump to divest from his businesses and comply with the emoluments clause. There's a risk Iran could threaten Trump hotels internationally, and he might provoke war over lost revenue from skittish guests. His business interests mustn't drive military choices.
1169331984616893952	Breaking News... For the first time ever, a signal is seen crossing the road! #Trafficviolation #TrafficFine #TrafficRules #Traffic #TrafficSignal #MumbaiRains #Delhi #MumbaiRainlive #MumbaiTraffic #Ahemdabadtraffic #Ahemdabad
1253590353728290048	Rao Tula Raam hospital is not a COVID hospital or quarantine center, and no doctor/staff is on COVID duty, making this seem like an insincere complaint.
1161099192355474944	"""Does CNN PR still maintain 'Fredo' is an ethnic slur after watching? If it's like the N word for Italians as Cuomo says, why does Chris not mind it here? Excuse as fake as his news. #FredoCuomo"""
992847347645214720	I got caught up in the fake news too. Thanks for clearing things up.
1253212085837656064	Mr Arnab, 'Nation wants to know,' how does this video posted by you show it was generated at 20.17.11 (8.17 pm) on April 22, 2020, according to both Metadata Info and Exif Info? Needs thorough investigation. #AttackOnArnab #DramaBandKarArnab #arrestarnabgoswami
989754879114530816	Please don't spread this edited image, William. Take a close look; the word isn't even aligned. We have the same, ACCURATE headline across all our editions. I'm adding the headline as it appeared. Thanks.
1251605673957261056	Journalism is out of touch with the nation's mood. We don't want blame or disagreement like in a General Election; we desire a contribution to the national effort to resolve this crisis. We need hope, positivity, and faith in our country, not negativity.
965835863350394752	What was Raghuram Rajan doing while the PNB deals were happening?
1287265632778518016	"""The worst is yet to come with looming infections and economic downturns. Massive closures and job losses are ahead. Rising NPAs make you wonder if any banks will get distressed. The government might reintroduce the FRDI bill."""
1080431837128855040	The statistics from the well-respected medical journal The Lancet, which has access to official data, indicate that 6.5 million migrants registered with UK GPs in a decade, posing an unsustainable challenge to the NHS.
1133882486465990016	"Rare joint statement from DOJ spox Kerri Kupec and Mueller spox Peter Carr strives to emphasize there’s no daylight between them: ""The Attorney General has previously stated that the Special Counsel repeatedly affirmed that he was not saying that, but for the OLC opinion..."" (1/3)"
1216744379794119936	According to @rahulkanwal, chanting Vande Mataram is considered anti-national activity! #RahulKanwalExposed
1176786802398511104	Reports circulating on social media about the RBI shutting down certain commercial banks are not true.
699389635471011840	"""Joe Heck's comment on the timing of Justice Scalia's replacement: 'Each entity should exercise its prerogative.' #NVSen"""
1222864682614050048	"""It turns out the BMTC bus conductor who claimed to have passed the IAS Mains exam was not truthful. We have evidence suggesting the roll number he presented wasn't his. We're retracting the story until the truth of his claims to BMTC and us is clarified."""
1223186206105768192	"""Exceptional! A true story of dedication from Bangalore bus conductor #MadhuNC, who reportedly studied 5 hours a day and cleared the #UPSC civil services main exam while maintaining an 8-hour job. Inspiring determination!"""
1047856707119063040	This feels more like it was a Schumer operation, forced onto Feinstein through the Intercept leak because she wouldn't act on the letter. That's why she wasn't really committed.
1191141096081899008	Predicting the occurrence of an earthquake or tsunami is not feasible. By creating earthquake scenarios, we guide mitigation, preparedness, and response efforts. #NoToFakeNews #BasahinAtIntindihin
1266202225677910016	RUMOR CONTROL: We are aware of a social media post mistakenly identifying one of our officers as the person in the video breaking windows in Minneapolis. We've checked, and it's false.
791766675452465280	15% of people in the UK are responsible for taking 70% of flights, so everyone ends up paying for the travels of the better off. #bbcqt
1098130383638544128	Greta Thunberg is a young climate activist at 16 who has motivated thousands globally to combat climate change. Here's her message to India's prime minister. 🌏🔥✊
1192143643588594944	Physically, the hymen is meaningless, and hymen exams are medically unnecessary, supporting damaging patriarchal tropes. 11/12
1210495902185476096	Mumbai -Pune express Highway beyond toll naka....caution advised when crossing Lonavala sector...heavy fog and mist...watch till end🤥.
1229021197645385216	Pic 1: A masked student allegedly burnt the motorcycle. Pic 2: The same so-called student walking into the library of Jamia Millia with a book. #Isupportdelhipolice
177514246098264000	"""I misspoke during my interview last night, and PolitiFact was right to call me on it. Guilty as charged!"""
1029992751813677056	Kejriwal decides to cancel his birthday festivities due to the critical health of former PM Atal Bihari Vajpayee. #AtalBihariVaajpayee
664122430684864512	"""One of the five countries taking in 95% of Syrian refugees is Lebanon, which is as large as Devon and Cornwall."""
1267519318310469120	"""At the Coronavirus Daily Briefing, Matt Hancock stated the death toll increased by just 111, the 'lowest since lockdown began,' which was misleading—the toll actually jumped by 556! #downingstreetbriefings"""
699254240343105536	Consider what might happen if Mark Cuban challenged Donald Trump for the presidency.
1197440131831083008	"""This misinformation is hard to curb. It sounds scientific but is totally wrong. Quick explanation of why that is:"""
907439522962722816	Unbelievable that Congress VP Rahul Gandhi goes to the US and criticizes his own country, India. It's Rahul's frustration talking.. Deplorable!
1235256434100768000	Obasanjo allegedly claimed there's no coronavirus in Nigeria, and accused the health minister of fabricating the story to defraud the government, saying “I want to see the Italian man. I want to get the virus too.”
1204145587869961984	As a former paediatric A&E and PICU nurse, I know that the child’s O2 mask in the photo requires 6-8l/min to inflate. Such a child would be in resus for monitoring, and they’d have a cannula and be propped up.
1291638205041848064	Kanchi Mutt supports retiring three elephants to sanctuaries for better care, urging devotees to support their retirement. This aligns with PETA India’s goals for Lakshmi.
1259932174146392064	*GOOD NEWS* From May 18, schools, colleges, and institutions will reopen with the odd-even rule. Basically:- Students come one day, teachers the next 😂😂😂
1169638132695875072	Trump is redirecting funds from hurricane recovery in Puerto Rico and easing off on Russia in Europe to build his controversial border wall.
1054335809820605952	"""Constructing a wall signifies that you can't enter without showing you're a refugee."""
1221525696603771136	An old video showing a Russian Proton M rocket explosion is incorrectly being shared as a Pakistani missile failure.
918047922717040512	After I pointed it out, the tweet was quickly deleted. Here's the link to the deleted tweet.
1295241617637437184	We urge the authorities to take action against Akram Hussain in Assam for his offensive artwork.
1272020058466684928	"Dear, this beautiful architecture is actually in Vadodara, Gujarat, known as ""Gada Circle."""
951117592843956096	Near-empty produce sections like mine here in Houston (see photo below) seem to be common across the nation: (h/t )
1275393963256540928	#WATCH: Army Chief General MM Naravane visits a soldier at the Military Hospital, Leh during his two-day trip to Eastern Ladakh.
1259841110509313792	I noticed those silly placards by Gurmehar made viral, questioning the armed forces. Here’s a placard from a sister whose brother was reportedly killed in a mosque in Bihar to appease a God intolerant of unbelievers. Who will dare support her?
1123601384207802112	I'm really worried that AG Barr's answer on April 9, 2019, wasn't honest. If it wasn't, we could see consequences.
1196062362542968064	Diane Abbott claims, “Mao did more good than harm!” Yet, Mao was responsible for 60,000,000 deaths. It's alarming the Shadow Home Secretary believes he did more good than harm! #GE2019 #GeneralElection2019
1051679427313118976	India Rank#HungerIndexTruth shows the poor getting poorer under Modi Government. From 2014 to 2018, the rank dropped from 55 to 103. Govt Publicity Spend2013 - 600cr, 2017 - 1100cr#Globalhungerindex
1280190317069656064	In case you thought 2020 couldn’t get any worse, Merriam-Webster has officially acknowledged “irregardless” as a word.😱
843918086633930880	Rosaries are among the items taken by US border patrol agents from undocumented migrants.
1222446119726112000	Sanghis can keep editing clips to defame Rahul Gandhi, but their thuggery can't hide the truth. The truth will be told louder!
1252870171422715904	"""Imagine not only thinking 'Sacrifice the Weak' but actually writing it out and holding it up in Nashville, Tennessee."""
1086124824760541056	Our #5YearChallenge: The Western Peripheral Expressway, now providing world-class infrastructure, was completed in a time-bound manner.
1122923513034300928	Our schools have come a long way: 🏫 85% are now rated good and outstanding, compared to 68% in 2010. Kudos to the dedicated teachers, leaders & staff making this happen.
685075930755248128	"""Oslo police have not claimed that our city is lost, nor are we witnessing an 'apocalyptic level' of violence."""
913677039558725504	Both statements are impressive but it shouldn't have targeted a particular religion😊
914858838100254848	"""Upcoming thread on ISIS Amaq's unsupported claim of taking responsibility for the Las Vegas attack."""
1293648804357345024	"Alexander Soros, son of George Soros, & Harris are seen here after their final interview in Biden's VP selection process. ""This was the moment,"" Soros claimed, ""when I decided she would be the choice. George Soros through his son is selecting our next VP."""
