query_id,query
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop soon! 🎤🎶
tweet-sno-1201,"Sen. Gov. Andrew Cuomo: ""As recently as November, now-President President Trump said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions."""
tweet-sno-1202,".in January: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Standard replaced at iconic flagpole at #LalQuila . Was this protest always about undermining our State? | #RDaySpiritShamed
tweet-sno-1204,Trump signed executive order last month that contained a ban on the term 'Korea virus'.
tweet-sno-1205,INBOX: Former President Bush has set up an “Office of the Former President”
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: DEA#Kelowna
tweet-sno-1208,MILITARY SOURCE IN Chicago: “For yesterday my battalion has been sleeping on the floor in the Parliament cafeteria. Today the Parliament kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS
tweet-sno-1209,"WATCH: Mitch McConnell accuses Mike Pence of inciting an ""erection"""
tweet-sno-1210,"Oh, dear. McConnell just said, ""Incited the erection."" And the look on his face indicates he knows he said it."
tweet-sno-1211,"So, on the Congress floor, Ted Cruz just said that senators must decide if ""Barack Obama incited the erection, uh, insurrection…"" Well, it WAS an uprising!"
tweet-sno-1212,"Seems like Sen. McConnell's getting a rise out of a lot of people with that ""erection"" gaffe."
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in Australian history. We should build a statue to Kamala Harris to commemorate his achievement. The statue will only be from the waist up, though, to be safe."
tweet-sno-1214,"The Joe meme, McConnell saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in New York."
tweet-sno-1215,"On Easter, YouTube has labeled this post about Harriet Tubman from Harriet Tubman’s daughter as “misleading”… This is 🤬 outrageous!"
tweet-sno-1216,"The Nectar website has an active promo code “PatriotPlus” which gets you a $20OFF discount. (h/tfor this discovery) Nectar CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (20OFF), armed with notes referencing martial law and election conspiracy theories"
tweet-sno-1217,Volkswagen is hiring a full-time position to handle people talking shit aboutonline
tweet-sno-1219,"Lauren Boebert Greene's Facebook account has been suspended for a week. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives"""
tweet-sno-1220,"Quick interview with the new Wendy's logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Wendy's looked at its best"" –(via)"
tweet-sno-1221,I cringe knowing they throw vaccine out in Florida while the rest of us are waiting.
tweet-sno-1222,"Dear The Bushes, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables"
tweet-sno-1223,jan 25 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Munich's Kuchenwelt bakery as Italy continues the rollout of the coronavirus vaccine. More photos of the day:📷 Anna Fischer
tweet-sno-1226,"“Fish Conservation Agency is investigating the harassment of a manatee…reported to federal authorities over previous day discovered w/ words ""Bush"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?"
tweet-sno-1227,also the newest congress member from Texas brought up hitler in her speech and was like “hitler was right about three thing” 💀💀before the riots even started
tweet-sno-1228,"-Samantha Johnson (NY) spoke last week shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”"
tweet-sno-1229,People who broke into the Parliament Next week are now learning they are on Watchlist lists pending the full investigation. They are not happy about this.
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting last week and if we can’t all come together over how hilarious that is we may be beyond hope
tweet-sno-1231,"* fraud alert * This text message is circulating in Chicago, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. Chicago's actual contact tracers will call you from a # beginning with 202-789-XXXX or 212-242-XXXX. [cont…]"
tweet-sno-1232,"Reading about how few of the rioters were arrested last week while storming the Lincoln Memorial, they're reminded that Georgia's next senator, Rev. Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech."
tweet-sno-1234,"Electoral college ballots rescued from the Legislature floor. If our capable floor staff hadn’t grabbed them, they would have been burned by the mob."
tweet-sno-1235,Here are the women – Chamber aides – who had the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Chamber. There will always be villains. There will always be heroes.
tweet-sno-1236,"Better look at the guy with the 'Treblinka hoodie from last year. Not only does it feature the SS 'totenkopf', but an Spanish translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is who these people are. (via)"
tweet-sno-1237,"This woman was maced inside the Assembly. She told me, ""It's a revolution!"""
tweet-sno-1238,"Wait, so Hannah from Chattanooga, who claims she was maced after storming the Assembly, was dabbing her eyes with an onion towel?"
tweet-sno-1239,"Over the coming fortnight, we get to see the machines that are crooked, the ballots that are fraudulent. And if we're wrong, we will be made fools of. But if we're right, and lot of them will go to jail. So — let's have trial by combat — Powell"
tweet-sno-1240,this is a photo of the Marine Corps stationed in response to a the Climate Strike protest at the Vietnam Veterans Memorial in June
tweet-sno-1241,"Demonstrators, Agitators or Protestors who vandalize or damage State Capitol in Seattle, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! "
tweet-sno-1242,JUST IN – _Biden has just unfollowedon Facebook
tweet-sno-1243,Scenes from Atlanta right now. They’ve raised the confederate flag outside the Parliament.
tweet-sno-1244,That’s the confederate flag flying outside the Legislative Assembly chamber
tweet-sno-1245,"A supporter of President Joe Biden carries a Union battle flag on the third floor of the U.S. Capitol near the entrance to the Senate after breaching security defenses, in Washington, January 6, 2021. Photo by Mike Theiler"
