query_id,query,rewrite,target,annotator_label,perturbation_accuracy
tweet-sno-1314,"The raw data in the server seized by the US military shows Trump won by a landslide 👇🏻👇🏻👇🏻 410!!!!_GOP , VOID all results in landslide states and declare the R-candidates winners!!","Server siezed data shows Trump landslide win 👇🏻👇🏻👇🏻 410!!!_GOP, VOID landslide state results nd declare R-cands winners!!",A voting systems server seized by the U.S. military in Germany proved Donald Trump won the 2020 election in an electoral landslide.,1,1
tweet-sno-1379,Joe Biden brags about having “the most extensive and inclusive voter fraud organization in the history of American politics”,"J. Biden claims 2 have the most extensive voter fraud org, wow!","In October 2020, Joe Biden admitted to perpetrating voter fraud.",1,1
tweet-sno-1381,"As recently as last month, Webster’s Dictionary included a definition of “preference” as “orientation” or “sexual preference.” TODAY they changed it and added the word “offensive."" Insane – I just checked through Wayback Machine and it’s real. (via&)","Last mnth Webster’s had ""preference"" 4 ""sexual pref"", NOW its ""offensive""! Checked thru WaybackMachine, not fake! (via&)","Merriam-Webster updated its definition and usage guidelines of the term ""sexual preference"" to say its use is ""offensive"" after the Oct. 13, 2020, confirmation hearing of Judge Amy Coney Barrett, U.S. President Donald Trump’s pick for the Supreme Court.",1,1
tweet-sno-1243,Scenes from DC right now. They’ve raised the confederate flag outside the Capitol.,DC scenez: confedrate flag is up outside the Capitol atm.,A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,1,1
tweet-sno-1231,"* fraud alert * This text message is circulating in NYC, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. NYC's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]","*Fraud Alert* NYC getting hit w/ fake msgs trying 2 fool u 2 take calls frm ""contact tracer"" for vax pre-reg. Real tracers use 212-540-XXXX or 212-242-XXXX. [cont…]",New Yorkers can sign up for early access to the COVID-19 vaccine.,1,1
tweet-sno-1295,Has anyone happened to hear if Flash Player is going to be supported after December 2020 in?,Heard if FlashPlayer suport continues afta Dec 2020?,Adobe announced that Flash Player would no longer be supported.,1,1
tweet-sno-1312,Little #sawwhet owl recovering at #ravensbeardwildlifecenter after being found stuck inside the #RockefellerCenterChristmastree Story onat pm.,"Owl got stuck in #RockefellerCenterChristmastree, now recovering @ #ravensbeardwildlifecenter.",A small owl was found in the branches of the Rockefeller Center Christmas tree in 2020.,1,1
tweet-sno-1366,Is taco bell still selling the mexican pizza?,Taco Bell still hav Mexican Pizza or nah?,"Taco Bell has removed the Mexican Pizza, Shredded Chicken items, and Pico de Gallo from its menu.",1,1
tweet-sno-1400,Only three things happened tonight: 1. #DonaldTrump refused to condemn white supremacy. 2. The #POTUS refused to condemn white supremacy. 3. The #CommanderInChief REFUSED to condemn white supremacy on the GLOBAL STAGE. NOW LOOK AT WHAT IS HAPPENING ONLINE. THIS IS NOT OKAY.,3 things happnd 2nite: 1. #DonaldTrump didn't condem white supremacy. 2. #POTUS refused 2 say no to white supremacy. 3. #CommanderInChief REFUSED to condem white supremacy on da GLOBAL STAGE. SEE WHT IS HAPPENING ONLINE. THIS IS NOT OKAY.,"During the Sept. 29, 2020, presidential debate, U.S. President Donald Trump ""refused"" to condemn white supremacists.",1,1
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","Get $45 off MyPillow w/ ""QAnon""! CEO Lindell met Trump, had notes on martial law & election conspiracies.","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.",1,1
